開催日,レース,実際3連単,予測3連単,予測確率,的中,TOP10
2020-07-09,3,5-3-6,5-3-6,0.30791990235213007,True,5-3-6(0.3079) / 5-6-3(0.1724) / 3-5-6(0.1348) / 5-3-2(0.0671) / 6-5-3(0.0665) / 3-5-2(0.0294) / 5-2-3(0.0281) / 3-6-5(0.0266) / 6-3-5(0.0234) / 5-3-1(0.0186)
2020-07-09,4,3-1-2,3-1-5,0.08604033364128542,False,3-1-5(0.0860) / 3-5-1(0.0853) / 3-1-2(0.0728) / 3-5-2(0.0708) / 3-2-1(0.0680) / 3-2-5(0.0667) / 3-1-4(0.0298) / 3-5-4(0.0289) / 1-3-5(0.0268) / 5-3-1(0.0265)
2020-07-09,5,2-3-4,2-3-4,0.08741417194857712,True,2-3-4(0.0874) / 2-4-3(0.0792) / 2-3-5(0.0642) / 2-3-6(0.0615) / 2-5-3(0.0536) / 2-6-3(0.0509) / 2-4-5(0.0450) / 2-4-6(0.0431) / 2-5-4(0.0415) / 2-6-4(0.0394)
2020-07-09,7,4-6-1,4-6-1,0.18336189228321825,True,4-6-1(0.1834) / 4-1-6(0.1333) / 6-4-1(0.0917) / 4-6-2(0.0905) / 1-4-6(0.0609) / 4-2-6(0.0536) / 6-4-2(0.0452) / 4-1-2(0.0408) / 4-2-1(0.0333) / 6-1-4(0.0272)
2020-07-09,9,3-5-1,3-5-6,0.3348959509744115,False,3-5-6(0.3349) / 3-6-5(0.2173) / 5-3-6(0.0893) / 3-5-2(0.0562) / 6-3-5(0.0545) / 3-5-1(0.0262) / 3-2-5(0.0258) / 3-6-2(0.0214) / 3-5-4(0.0184) / 3-2-6(0.0151)
2020-07-09,10,4-6-1,4-6-1,0.20645783556933248,True,4-6-1(0.2065) / 6-4-1(0.1089) / 4-1-6(0.0962) / 4-6-2(0.0935) / 4-6-5(0.0650) / 6-4-2(0.0493) / 1-4-6(0.0414) / 4-2-6(0.0383) / 6-4-5(0.0343) / 4-5-6(0.0258)
2020-07-09,11,2-1-3,2-6-1,0.21604258096032372,False,2-6-1(0.2160) / 2-1-6(0.1692) / 2-6-3(0.0739) / 6-2-1(0.0574) / 2-3-6(0.0441) / 1-2-6(0.0433) / 2-1-3(0.0397) / 2-6-5(0.0370) / 2-6-4(0.0308) / 2-3-1(0.0302)
2020-07-10,1,5-4-6,5-4-6,0.20965526573742618,True,5-4-6(0.2097) / 5-4-2(0.1083) / 4-5-6(0.0947) / 5-4-1(0.0894) / 5-6-4(0.0861) / 4-5-2(0.0489) / 5-2-4(0.0405) / 4-5-1(0.0404) / 5-1-4(0.0329) / 6-5-4(0.0318)
2020-07-10,2,4-5-6,4-5-6,0.11731604568114568,True,4-5-6(0.1173) / 4-5-3(0.0879) / 4-6-5(0.0644) / 5-4-6(0.0618) / 4-5-2(0.0594) / 4-5-1(0.0560) / 5-4-3(0.0463) / 4-3-5(0.0459) / 5-4-2(0.0313) / 4-2-5(0.0297)
2020-07-10,3,4-2-5,4-2-5,0.21148413305102817,True,4-2-5(0.2115) / 4-5-2(0.1045) / 4-2-6(0.0907) / 2-4-5(0.0843) / 4-2-1(0.0551) / 4-2-3(0.0540) / 4-6-2(0.0392) / 2-4-6(0.0362) / 5-4-2(0.0359) / 4-1-2(0.0229)
2020-07-10,5,5-4-1,5-4-6,0.17173538400968386,False,5-4-6(0.1717) / 5-4-3(0.1411) / 5-6-4(0.1114) / 5-3-4(0.0873) / 5-4-1(0.0530) / 5-6-3(0.0402) / 5-4-2(0.0393) / 5-3-6(0.0383) / 4-5-6(0.0329) / 5-1-4(0.0289)
2020-07-10,9,2-4-5,2-4-5,0.13309545178104923,True,2-4-5(0.1331) / 2-4-3(0.1221) / 2-5-4(0.0709) / 2-4-6(0.0672) / 2-3-4(0.0641) / 2-4-1(0.0570) / 4-2-5(0.0501) / 4-2-3(0.0459) / 2-6-4(0.0328) / 2-1-4(0.0274)
2020-07-11,2,3-6-1,3-6-1,0.11110346716599333,True,3-6-1(0.1111) / 3-6-5(0.1041) / 3-6-4(0.0748) / 3-1-6(0.0684) / 3-5-6(0.0633) / 3-6-2(0.0559) / 3-4-6(0.0433) / 6-3-1(0.0372) / 6-3-5(0.0349) / 3-2-6(0.0313)
2020-07-11,6,4-1-2,4-1-2,0.08344797475676853,True,4-1-2(0.0834) / 4-1-3(0.0772) / 4-1-6(0.0757) / 4-2-1(0.0539) / 4-3-1(0.0492) / 4-6-1(0.0480) / 1-4-2(0.0458) / 1-4-3(0.0424) / 1-4-6(0.0416) / 2-4-1(0.0255)
2020-07-11,8,4-1-2,4-1-2,0.1225267253377131,True,4-1-2(0.1225) / 4-1-5(0.0991) / 4-2-1(0.0967) / 4-5-1(0.0733) / 4-1-3(0.0542) / 4-2-5(0.0486) / 1-4-2(0.0464) / 4-5-2(0.0456) / 1-4-5(0.0375) / 4-3-1(0.0358)
2020-07-11,12,2-4-1,2-4-1,0.160092145971608,True,2-4-1(0.1601) / 2-1-4(0.1384) / 2-4-5(0.1023) / 2-5-4(0.0751) / 2-1-5(0.0693) / 4-2-1(0.0613) / 2-5-1(0.0588) / 1-2-4(0.0512) / 4-2-5(0.0391) / 5-2-4(0.0266)
2020-07-12,4,2-3-6,2-3-6,0.11156741056489275,True,2-3-6(0.1116) / 2-6-3(0.0947) / 2-3-5(0.0717) / 2-3-4(0.0593) / 2-5-3(0.0541) / 2-4-3(0.0433) / 2-6-5(0.0423) / 2-5-6(0.0377) / 2-6-4(0.0350) / 3-2-6(0.0318)
2020-07-12,5,2-5-1,2-5-1,0.08794428330971445,True,2-5-1(0.0879) / 2-1-5(0.0731) / 2-5-6(0.0550) / 2-5-4(0.0488) / 2-6-5(0.0409) / 2-5-3(0.0390) / 5-2-1(0.0381) / 2-4-5(0.0355) / 1-2-5(0.0300) / 2-1-6(0.0299)
2020-07-13,3,6-5-2,6-5-2,0.2405798871399402,True,6-5-2(0.2406) / 6-2-5(0.1914) / 5-6-2(0.0673) / 6-5-4(0.0642) / 2-6-5(0.0516) / 6-5-1(0.0374) / 6-2-4(0.0368) / 6-4-5(0.0368) / 6-4-2(0.0265) / 6-2-1(0.0215)
2020-07-13,4,2-6-1,2-6-1,0.16865061861313257,True,2-6-1(0.1687) / 2-6-3(0.1139) / 2-6-5(0.1028) / 2-1-6(0.0814) / 2-6-4(0.0742) / 2-3-6(0.0520) / 2-5-6(0.0464) / 6-2-1(0.0428) / 2-4-6(0.0326) / 6-2-3(0.0289)
2020-07-13,6,4-2-6,4-2-6,0.118884417726068,True,4-2-6(0.1189) / 4-2-1(0.0997) / 4-6-2(0.0943) / 4-1-2(0.0752) / 4-6-1(0.0479) / 4-2-3(0.0472) / 4-1-6(0.0455) / 2-4-6(0.0334) / 4-2-5(0.0315) / 4-3-2(0.0314)
2020-07-13,9,2-3-6,2-3-6,0.15286976384217124,True,2-3-6(0.1529) / 2-6-3(0.0940) / 2-3-1(0.0862) / 3-2-6(0.0801) / 2-3-4(0.0512) / 2-1-3(0.0468) / 3-2-1(0.0451) / 6-2-3(0.0427) / 3-2-4(0.0268) / 2-4-3(0.0262)
2020-07-13,10,3-4-1,3-4-1,0.21145497811733044,True,3-4-1(0.2115) / 3-1-4(0.1436) / 4-3-1(0.0791) / 3-4-5(0.0716) / 1-3-4(0.0495) / 3-5-4(0.0383) / 3-4-6(0.0378) / 3-4-2(0.0339) / 3-1-5(0.0271) / 4-3-5(0.0268)
