venue,year,month,start_day,grade,race_name
徳山,2025,1,1,一般,ｔｙｓテレビ山口杯争奪戦
徳山,2025,1,7,一般,ＢＯＡＴＢｏｙＣＵＰ
徳山,2025,1,13,一般,西部記者クラブ杯争奪戦
徳山,2025,1,22,一般,サンケイスポーツ杯争奪戦
徳山,2025,2,2,一般,第１４回ボートレースレディースＶＳルーキーズバトル
徳山,2025,2,22,一般,くだまつ健康パーク杯争奪戦
徳山,2025,3,3,一般,スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第４戦
徳山,2025,3,15,一般,住信ＳＢＩネット銀行賞
徳山,2025,4,2,一般,日本トーター杯争奪戦
徳山,2025,4,20,一般,ＫＲＹ山口放送杯争奪戦
徳山,2025,5,1,一般,九州スポーツ杯争奪戦
徳山,2025,5,12,一般,くだまつ健康パーク杯争奪戦
徳山,2025,5,24,一般,日本モーターボート選手会会長賞
徳山,2025,6,4,一般,西部記者クラブ杯争奪戦
徳山,2025,6,13,一般,住信ＳＢＩネット銀行賞
徳山,2025,6,25,一般,トライアングルカップ
徳山,2025,7,5,一般,すなっち波乗り王決定戦
徳山,2025,7,17,一般,ｔｙｓテレビ山口杯争奪戦
徳山,2025,8,6,一般,にっぽん未来プロジェクトｉｎ徳山
徳山,2025,8,15,一般,黒神杯争奪戦
徳山,2025,8,30,一般,マクール杯争奪徳山ヴィーナスシリーズ第１２戦
徳山,2025,9,13,一般,サッポロビールカップ
徳山,2025,10,9,一般,マンスリーＢＯＡＴＲＡＣＥ杯争奪戦
徳山,2025,10,16,一般,すなっちーずスタジアムカップ
徳山,2025,10,25,一般,スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１９戦
徳山,2025,11,9,一般,中日スポーツ杯争奪戦
徳山,2025,12,1,一般,にっぽん未来プロジェクトｉｎ徳山
徳山,2025,12,9,一般,ニッカン・コム杯争奪戦
徳山,2025,12,29,一般,ＢＴＳ田布施開設９周年記念スポーツニッポン杯争奪戦
