year,month,grade,start_day,race_name
2014,2,G1,14,Ｇ１第５７回四国地区選手権競走
2014,5,G1,22,Ｇ１京極賞　開設６２周年記念競走
2014,1,G3,20,Ｇ３女子リーグ戦競走第９戦
2014,3,G3,6,Ｇ３新鋭リーグ戦競走第１４戦
2014,9,G3,28,Ｇ３第２４回　ＪＲ四国ワープ杯競走
2014,7,SG,21,ＳＧ第１９回オーシャンカップ
2014,1,一般,5,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞
2014,1,一般,12,ボートピア朝倉開設２１周年記念
2014,1,一般,29,第３回琴参バスカップ
2014,2,一般,5,香川県中部広域競艇事業組合４５周年記念
2014,2,一般,25,丸亀市議会議長杯争奪Ｕ―３５男女Ｗ優勝戦
2014,3,一般,17,スポーツニッポンカップ
2014,3,一般,25,日本財団会長杯争奪ナイター王決定戦
2014,4,一般,2,まるポカップ
2014,4,一般,12,四国アイランドリーグｐｌｕｓ杯
2014,4,一般,21,報知グリーンカップ
2014,4,一般,29,創刊６５周年記念　日刊スポーツカップ
2014,5,一般,7,安岐真人杯争奪瀬戸の大魔神大賞
2014,6,一般,22,ＢＰまるがめ開設２８周年記念ペプシコーラカップ
2014,7,一般,2,キヤンテイーンカップ
2014,7,一般,12,Ｂカードメンバー大感謝祭　日本トーター杯
2014,7,一般,30,サッポロビールカップ２０１４
2014,8,一般,7,四国新聞社杯
2014,8,一般,17,ＲＮＣ杯争奪　サマーチャンピオンレース
2014,8,一般,22,まるポカップ
2014,9,一般,6,デイリースポーツカップ
2014,9,一般,19,オータムナイトレース
2014,10,一般,18,丸亀市議会議長杯
2014,10,一般,26,ヴィーナスシリーズ第８戦
2014,11,一般,4,スポーツニッポンカップ
2014,11,一般,16,第４回琴参バスカップ
2014,11,一般,24,ボートピア朝倉開設２２周年記念
2014,12,一般,3,発刊５０周年記念　大阪スポーツカップ
2014,12,一般,16,ていゆうニュースアダムスキーカップ
2014,12,一般,26,年末ファン感謝ゴールデンカップ
