year,month,grade,start_day,race_name
2015,2,G1,15,Ｇ１第５８回四国地区選手権競走
2015,5,G1,21,Ｇ１京極賞　開設６３周年記念競走
2015,8,G1,9,第２９回レディースチャンピオン
