year,month,grade,start_day,race_name
2015,1,一般,4,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞
2015,1,一般,13,サンケイスポーツカップ
2015,1,一般,22,日本モーターボート選手会会長杯
2015,1,一般,30,テレボートカップ・ＪＬＣ杯争奪男女Ｗ優勝戦
2015,2,一般,7,マンスリーＢＯＡＴＲＡＣＥ杯
2015,2,一般,25,香川県中部広域競艇事業組合４６周年記念
2015,3,一般,18,日本財団会長杯争奪ナイター王決定戦
2015,4,一般,2,ジャパンネット銀行杯
2015,4,一般,17,四国アイランドリーグｐｌｕｓ杯
2015,4,一般,24,デイリースポーツカップ
2015,5,一般,4,丸亀市合併１０周年　安岐真人杯争奪瀬戸の大魔神大賞
2015,5,一般,12,日刊スポーツカップ
2015,6,一般,2,楽天銀行杯
2015,6,一般,20,報知グリーンカップ
2015,6,一般,28,ボートピア丸亀開設２９周年記念ペプシコーラカップ
2015,7,一般,5,大阪スポーツカップ
2015,7,一般,30,キヤンテイーンカップ
2015,8,一般,20,ＲＮＣ杯争奪サマーチャンピオンレース
2015,9,一般,3,まるポカップ
2015,9,一般,14,スポーツニッポンカップ
2015,9,一般,27,サッポロビールカップ２０１５
2015,10,一般,7,大阪創刊６０周年記念サンケイスポーツカップ
2015,10,一般,16,四国新聞社杯
2015,10,一般,31,マクール杯
2015,11,一般,9,Ｂカードメンバー大感謝祭　日本トーター杯
2015,11,一般,18,マンスリーＢＯＡＴＲＡＣＥ杯争奪　男女Ｗ優勝戦
2015,11,一般,29,第５回琴参バスカップ
2015,12,一般,6,香川県中部広域競艇事業組合４７周年記念
2015,12,一般,16,ていゆうニュースアダムスキーカップ
2015,12,一般,26,年末ファン感謝ゴールデンカップ
