year,month,grade,start_day,race_name
2025,1,一般,3,市長杯争奪　ＢＯＡＴ　ＲＡＣＥまるがめ大賞
2025,1,一般,13,市制施行２０周年記念　丸亀市議会議長杯
2025,1,一般,20,サンケイスポーツカップ
2025,1,一般,30,にっぽん未来プロジェクト競走ｉｎまるがめ
2025,2,一般,19,ＢＴＳ朝倉開設３２周年記念　マクール杯
2025,2,一般,27,日刊スポーツカップ
2025,3,一般,11,スカパー！・ＪＬＣ杯争奪　ルーキーシリーズ第５戦
2025,3,一般,17,大阪スポーツカップ
2025,3,一般,24,ナイター王決定戦！　楽天銀行杯
2025,4,一般,3,Ｂカードメンバー大感謝祭　日本トーター杯
2025,4,一般,13,ＰａｙＰａｙ銀行杯
2025,4,一般,21,にっぽん未来プロジェクト競走ｉｎまるがめ
2025,5,一般,1,報知グリーンカップ
2025,5,一般,9,市制２０周年記念　安岐真人杯争奪　瀬戸の大魔神大賞
2025,5,一般,22,スポーツニッポンカップ
2025,6,一般,15,ふじむら杯
2025,6,一般,21,デイリースポーツカップ
2025,7,一般,15,創刊７０周年記念　サンケイスポーツカップ
2025,7,一般,22,サッポロビールカップ２０２５
2025,7,一般,30,ヴィーナスシリーズ第１０戦　蒼月まるるカップ
2025,8,一般,8,日本財団会長杯　〜瀬戸内オーシャンズＸ〜
2025,8,一般,13,ＢＴＳまるがめ開設３９周年記念
2025,8,一般,22,ＲＮＣ杯争奪　サマーチャンピオンレース
2025,9,一般,7,楽天銀行杯　丸亀―１グランプリ
2025,9,一般,18,日本モーターボート選手会会長杯
2025,10,一般,16,スカパー！・ＪＬＣ杯争奪　ルーキーシリーズ第１８戦
2025,10,一般,25,ＢＴＳ西予開設１０周年記念
2025,11,一般,2,日刊スポーツカップ
2025,11,一般,20,マンスリーＢＯＡＴ　ＲＡＣＥ杯
2025,12,一般,1,四国新聞社杯
2025,12,一般,8,香川県中部ボートレース事業組合５７周年記念
2025,12,一般,15,トランスワードトロフィー２０２５
2025,12,一般,27,丸亀市議会議長杯
