venue,year,month,start_day,grade,race_name
徳山,2018,2,4,G1,Ｇ１徳山クラウン争奪戦　開設６４周年記念競走
徳山,2018,11,7,G1,Ｇ１徳山クラウン争奪戦　開設６５周年記念競走
徳山,2018,8,15,G3,黒神杯争奪Ｇ３徳山オールレディース
徳山,2018,8,30,G3,Ｇ３サッポロビールカップ
徳山,2018,12,18,G3,オラレ田布施開設２周年　Ｇ３徳山マスターズ第９戦
徳山,2018,6,24,SG,第２８回グランドチャンピオン
徳山,2018,1,3,一般,ｔｙｓテレビ山口杯争奪戦
徳山,2018,1,18,一般,ニッカン・コム杯争奪戦
徳山,2018,1,26,一般,楽天銀行杯争奪戦
徳山,2018,2,17,一般,山口新聞社杯争奪戦
徳山,2018,2,25,一般,マンスリーＢＯＡＴＲＡＣＥ杯争奪戦
徳山,2018,3,5,一般,スカパー！・ＪＬＣカップ
徳山,2018,3,13,一般,すなっちスプリングカップ
徳山,2018,3,21,一般,防長交通杯争奪戦
徳山,2018,3,31,一般,中日スポーツ杯争奪戦
徳山,2018,4,11,一般,スポーツニッポン杯争奪戦
徳山,2018,4,22,一般,２０１８ＢＯＡＴ　Ｂｏｙ　ＣＵＰ
徳山,2018,5,1,一般,トライアングルカップ
徳山,2018,5,12,一般,エフエム山口カップ
徳山,2018,5,24,一般,ｔｙｓテレビ山口杯争奪戦
徳山,2018,6,2,一般,ｙａｂ山口朝日放送杯争奪戦
徳山,2018,6,8,一般,ＫＲＹ山口放送杯争奪戦
徳山,2018,7,9,一般,住信ＳＢＩネット銀行賞
徳山,2018,7,21,一般,防長交通杯争奪戦
徳山,2018,7,28,一般,スポーツ報知杯争奪戦
徳山,2018,8,7,一般,レノファ山口ＣＵＰ
徳山,2018,9,15,一般,マンスリーＢＯＡＴＲＡＣＥ杯争奪戦
徳山,2018,9,25,一般,山口新聞社杯争奪戦
徳山,2018,10,8,一般,日本ＭＢ選手会会長杯　オラレ徳山開設１０周年記念
徳山,2018,10,15,一般,スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１８戦
徳山,2018,10,25,一般,日刊スポーツ杯争奪戦
徳山,2018,11,16,一般,中日スポーツ杯争奪戦
徳山,2018,11,25,一般,すなっちゃ徳山開設７周年記念競走
徳山,2018,12,9,一般,ＢＰ呉開設２６周年記念　ニッカン・コム杯争奪戦
