開催日,日目,レース,開催日,着,actual_boat1_win,P(1号艇1着),予測,的中
2024-01-09,5,12,2024-01-09,2,0,0.44026793407044557,0,True
2024-01-10,6,1,2024-01-10,1,1,0.6654723581479265,1,True
2024-01-10,6,2,2024-01-10,1,1,0.6016695392101099,1,True
2024-01-10,6,3,2024-01-10,2,0,0.4444448074518484,0,True
2024-01-10,6,4,2024-01-10,1,1,0.6798240974008559,1,True
2024-01-10,6,5,2024-01-10,1,1,0.7429084303508469,1,True
2024-01-10,6,6,2024-01-10,1,1,0.8505333843005919,1,True
2024-01-10,6,7,2024-01-10,1,1,0.7597685090465324,1,True
2024-01-10,6,8,2024-01-10,1,1,0.8260720365719194,1,True
2024-01-10,6,9,2024-01-10,2,0,0.19426279913489705,0,True
2024-01-10,6,10,2024-01-10,2,0,0.0443015960368215,0,True
2024-01-10,6,11,2024-01-10,5,0,0.3800483144420273,0,True
2024-01-10,6,12,2024-01-10,2,0,0.8772100299033359,1,False
2024-01-15,1,1,2024-01-15,2,0,0.36412621623755026,0,True
2024-01-15,1,2,2024-01-15,4,0,0.3827278959198399,0,True
2024-01-15,1,3,2024-01-15,1,1,0.30818056355821644,0,False
2024-01-15,1,4,2024-01-15,5,0,0.09544854688104672,0,True
2024-01-15,1,6,2024-01-15,3,0,0.6658204699523472,1,False
2024-01-15,1,7,2024-01-15,1,1,0.5934523777866647,1,True
2024-01-15,1,8,2024-01-15,1,1,0.8465071060795936,1,True
2024-01-15,1,9,2024-01-15,1,1,0.29722704919179543,0,False
2024-01-15,1,10,2024-01-15,2,0,0.7719360035920043,1,False
2024-01-15,1,11,2024-01-15,1,1,0.7492008576427821,1,True
2024-01-15,1,12,2024-01-15,2,0,0.6338208824680325,1,False
2024-01-16,2,1,2024-01-16,2,0,0.2501749001551209,0,True
2024-01-16,2,2,2024-01-16,2,0,0.6329822147850481,1,False
2024-01-16,2,3,2024-01-16,3,0,0.02918236577950549,0,True
2024-01-16,2,5,2024-01-16,1,1,0.4116097960602167,0,False
2024-01-16,2,6,2024-01-16,1,1,0.5524919074612821,1,True
2024-01-16,2,7,2024-01-16,4,0,0.1718529697393083,0,True
2024-01-16,2,8,2024-01-16,1,1,0.8400278563557311,1,True
2024-01-16,2,9,2024-01-16,1,1,0.6017958829133675,1,True
2024-01-16,2,10,2024-01-16,1,1,0.7843194280420075,1,True
2024-01-16,2,11,2024-01-16,1,1,0.5738214405831469,1,True
2024-01-16,2,12,2024-01-16,1,1,0.8454752803087355,1,True
2024-01-17,3,1,2024-01-17,2,0,0.3787789473665752,0,True
