race_key,実際,的中,予測1,予測2,予測3,予測4,予測5
2025-08-19_R6,2-5-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-19_R7,4-2-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-19_R12,3-2-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-20_R4,6-4-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-20_R5,2-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-20_R7,6-2-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-20_R10,2-5-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-21_R3,3-1-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-21_R4,2-3-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-21_R5,2-6-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-21_R6,4-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-21_R10,2-1-5,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-22_R1,6-4-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-22_R2,2-6-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-22_R3,6-1-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-22_R10,6-4-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-09-03_R1,3-1-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-09-03_R2,2-3-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-09-03_R3,2-1-6,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-09-03_R4,6-5-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-09-03_R5,4-3-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-09-03_R6,3-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-09-04_R2,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-09-04_R3,4-5-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
