race_key,実際,的中,予測1,予測2,予測3,予測4,予測5
2025-05-27_R10,2-1-6,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-05-27_R12,2-1-4,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-05-28_R4,2-1-4,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-05-28_R12,6-3-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-05-29_R2,3-2-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-05-29_R4,5-3-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-05-29_R5,3-5-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-05-30_R1,2-1-5,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-05-30_R4,2-1-5,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-05-30_R10,4-3-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-05-31_R5,3-5-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-05-31_R8,3-4-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-01_R1,5-2-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-01_R2,2-5-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-01_R3,5-4-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-01_R6,3-2-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-01_R10,5-3-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-09_R2,5-1-4,0,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-06-09_R3,6-2-1,0,2-3-4,2-4-3,3-2-4,3-4-2,4-2-3
2025-06-09_R4,6-4-1,0,2-3-6,2-6-3,3-2-6,3-6-2,6-2-3
2025-06-09_R5,2-1-5,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-09_R6,2-4-1,0,2-3-1,2-3-4,2-3-5,2-3-6,3-2-1
2025-06-09_R7,4-1-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-09_R10,2-1-3,0,2-4-5,2-5-4,4-2-5,4-5-2,5-2-4
2025-06-10_R2,2-1-5,0,2-3-4,2-4-3,3-2-4,3-4-2,4-2-3
2025-06-10_R4,4-5-3,0,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-06-10_R5,4-2-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-10_R11,4-1-2,0,2-3-4,2-4-3,3-2-4,3-4-2,4-2-3
2025-06-11_R2,2-6-1,0,2-5-1,2-5-3,2-5-4,2-5-6,5-2-1
2025-06-11_R7,2-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-11_R9,5-1-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-11_R11,2-1-3,0,2-1-4,2-3-4,2-4-1,2-4-3,2-4-5
2025-06-11_R12,4-5-6,0,2-1-6,2-3-6,2-4-6,2-5-6,2-6-1
2025-06-12_R1,5-2-6,0,2-3-6,2-6-3,3-2-6,3-6-2,6-2-3
2025-06-12_R2,4-2-3,0,2-3-4,3-2-4,3-4-2,4-3-2,2-4-3
2025-06-12_R3,2-1-4,1,2-1-4,2-3-4,2-4-1,2-4-3,2-4-5
2025-06-12_R4,4-2-1,0,2-1-4,2-3-4,2-5-4,2-6-4,3-2-4
2025-06-12_R5,2-6-1,0,2-3-4,2-4-3,3-2-4,3-4-2,4-2-3
2025-06-12_R6,2-6-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-13_R3,3-4-5,0,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-06-13_R5,2-1-5,0,2-3-4,2-4-3,3-2-4,3-4-2,4-2-3
2025-06-13_R7,3-6-5,0,2-1-5,2-3-5,2-4-5,2-5-1,2-5-3
2025-06-13_R10,2-1-3,0,2-4-5,2-5-4,4-2-5,4-5-2,5-2-4
2025-06-14_R1,2-4-5,0,2-3-4,2-4-3,3-2-4,3-4-2,4-2-3
2025-06-14_R2,2-3-5,1,2-3-5,2-5-3,3-2-5,3-5-2,5-2-3
2025-06-14_R3,2-6-3,1,2-3-6,3-2-6,3-6-2,6-3-2,2-6-3
2025-06-14_R9,3-6-5,0,2-1-5,2-3-5,2-4-5,2-5-1,2-5-3
2025-06-14_R12,2-3-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-15_R2,3-5-2,0,2-1-3,2-4-3,2-5-3,2-6-3,3-1-2
2025-06-15_R3,5-4-6,0,2-1-4,2-3-4,2-4-1,2-4-3,2-4-5
2025-06-15_R9,2-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-15_R11,5-4-6,0,2-1-5,2-3-5,2-4-5,2-5-1,2-5-3
