venue,year,month,start_day,grade,race_name
徳山,2023,1,1,一般,２０２３西京波者決定戦
徳山,2023,1,28,一般,くだまつ健康パーク杯争奪戦
徳山,2023,2,5,一般,ニッカン・コム杯争奪戦
徳山,2023,2,14,一般,果子乃季バレンタインカップ
徳山,2023,2,25,一般,周南工場夜景カップ　本命バトル
徳山,2023,3,5,一般,マクール杯争奪徳山ヴィーナスシリーズ第２２戦
徳山,2023,3,19,一般,防長交通杯争奪戦
徳山,2023,3,31,一般,中日スポーツ杯争奪戦
徳山,2023,4,11,一般,山口新聞社杯争奪戦
徳山,2023,4,17,一般,トライアングルカップ
徳山,2023,4,23,一般,周南市制施行２０周年記念競走
徳山,2023,5,3,一般,レノファ山口カップ
徳山,2023,5,11,一般,住信ＳＢＩネット銀行賞
徳山,2023,5,31,一般,九州スポーツ杯争奪戦
徳山,2023,6,8,一般,にっぽん未来プロジェクト競走ｉｎ徳山
徳山,2023,6,15,一般,ＫＲＹ山口放送杯争奪戦
徳山,2023,7,5,一般,日本財団会長杯争奪戦
徳山,2023,7,14,一般,西部発刊２５周年記念スポーツ報知杯争奪戦
徳山,2023,7,23,一般,日本トーター杯争奪戦
徳山,2023,8,5,一般,ｔｙｓテレビ山口杯争奪戦
徳山,2023,8,16,一般,黒神杯争奪戦
徳山,2023,9,3,一般,日刊スポーツ杯争奪戦
徳山,2023,9,11,一般,日本モーターボート選手会会長賞
徳山,2023,9,20,一般,サンケイスポーツ杯争奪戦
徳山,2023,9,28,一般,楽天銀行杯争奪戦
徳山,2023,10,6,一般,中日スポーツ杯争奪戦
徳山,2023,10,14,一般,スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１７戦
徳山,2023,10,27,一般,マクール杯争奪徳山ヴィーナスシリーズ第１４戦
徳山,2023,11,17,一般,にっぽん未来プロジェクト競走ｉｎ徳山
徳山,2023,11,28,一般,マンスリーＢＯＡＴＲＡＣＥ杯争奪戦
徳山,2023,12,6,一般,創刊７５周年記念デイリースポーツ杯争奪戦
徳山,2023,12,15,一般,ＢＴＳ田布施開設７周年記念ニッカン・コム杯争奪戦
徳山,2023,12,23,一般,防長交通杯争奪戦
