venue,year,month,start_day,grade,race_name
徳山,2022,9,18,G1,徳山クラウン争奪戦開設６９周年記念競走
徳山,2022,3,24,G3,サッポロビールカップ
徳山,2022,6,23,G3,サッポロビールカップ
徳山,2022,1,1,一般,２０２２西京波者決定戦競走
徳山,2022,1,9,一般,ＫＲＹ山口放送杯争奪戦
徳山,2022,1,19,一般,マンスリーＢＯＡＴＲＡＣＥ杯争奪男女Ｗ優勝戦
徳山,2022,1,29,一般,住信ＳＢＩネット銀行賞
徳山,2022,2,6,一般,徳山下松港開港１００周年記念競走
徳山,2022,2,17,一般,全国工場夜景サミット開催記念周南工場夜景カップ
徳山,2022,3,6,一般,中日スポーツ杯争奪戦
徳山,2022,3,15,一般,防長交通杯争奪戦
徳山,2022,4,2,一般,楽天銀行杯争奪戦
徳山,2022,4,12,一般,山口新聞社杯争奪戦
徳山,2022,4,21,一般,西日本スポーツ杯争奪戦
徳山,2022,4,29,一般,日本モーターボート選手会会長賞
徳山,2022,5,10,一般,トライアングルカップ
徳山,2022,5,21,一般,九州スポーツ杯争奪戦
徳山,2022,6,3,一般,日本財団会長杯争奪戦
徳山,2022,6,10,一般,エフエム山口カップ
徳山,2022,7,1,一般,ｙａｂ山口朝日放送杯争奪戦
徳山,2022,7,12,一般,住信ＳＢＩネット銀行賞
徳山,2022,7,27,一般,スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１２戦
徳山,2022,8,5,一般,ＢＯＡＴＢｏｙＣＵＰ
徳山,2022,8,13,一般,黒神杯争奪戦
徳山,2022,8,21,一般,レノファ山口カップ
徳山,2022,8,31,一般,ｔｙｓテレビ山口杯争奪戦
徳山,2022,9,10,一般,マンスリーＢＯＡＴＲＡＣＥ杯争奪戦
徳山,2022,9,28,一般,日刊スポーツ杯争奪戦
徳山,2022,10,8,一般,楽天銀行杯争奪戦
徳山,2022,10,28,一般,デイリースポーツ杯争奪戦
徳山,2022,11,5,一般,ＢＴＳ徳山開設１３周年記念日本トーター杯争奪戦
徳山,2022,11,20,一般,サンケイスポーツ杯争奪戦
徳山,2022,12,3,一般,スポーツ報知杯争奪戦
徳山,2022,12,12,一般,スポーツニッポン杯争奪戦
徳山,2022,12,21,一般,ＢＴＳ田布施開設６周年記念ＫＲＹ山口放送杯争奪戦
