venue,year,month,start_day,grade,race_name
徳山,2015,3,31,G2,Ｇ２徳山モーターボート大賞
徳山,2015,8,7,G3,Ｇ３サッポロビールカップ
徳山,2015,9,21,G3,スポーツニッポン杯争奪　Ｇ３徳山オールレディース
徳山,2015,1,2,一般,ＫＲＹ山口放送杯争奪戦
徳山,2015,1,10,一般,ｔｙｓテレビ山口杯争奪戦
徳山,2015,1,19,一般,日本財団会長杯争奪戦
徳山,2015,1,31,一般,住信ＳＢＩネット銀行賞
徳山,2015,2,6,一般,モーニングレース４周年記念　超・本命バトル
徳山,2015,2,18,一般,山口新聞社杯争奪戦
徳山,2015,2,28,一般,すなっちウインターカップ
徳山,2015,3,10,一般,楽天銀行杯争奪戦
徳山,2015,3,22,一般,防長交通杯争奪戦
徳山,2015,4,13,一般,日刊スポーツ杯争奪　徳山ヴィーナスシリーズ第１戦
徳山,2015,4,26,一般,ＢＯＡＴ　Ｂｏｙ　カップ
徳山,2015,5,4,一般,トライアングルカップ
徳山,2015,5,18,一般,デイリースポーツ杯争奪戦
徳山,2015,6,2,一般,スポーツ報知杯争奪戦
徳山,2015,6,11,一般,新東通信杯争奪戦
徳山,2015,6,19,一般,九州スポーツ杯争奪　ほぼオール女子バトル
徳山,2015,7,4,一般,サンケイスポーツ大阪創刊６０周年記念競走
徳山,2015,7,12,一般,日本モーターボート選手会会長賞
徳山,2015,7,21,一般,マクール杯争奪戦
徳山,2015,7,29,一般,日本トーター杯争奪戦
徳山,2015,8,19,一般,黒神杯争奪戦
徳山,2015,8,31,一般,日本財団会長杯争奪戦
徳山,2015,9,9,一般,中日スポーツ杯争奪戦
徳山,2015,9,30,一般,オラレ徳山開設７周年記念競走
徳山,2015,11,26,一般,ニッカン・コム杯　徳山の陣
徳山,2015,12,6,一般,ＢＰ呉開設２３周年記念　スカパー！・ＪＬＣカップ
徳山,2015,12,15,一般,すなっちゃ徳山４周年記念　エフエム山口カップ
徳山,2015,12,23,一般,ｙａｂ山口朝日放送杯争奪戦
