登番,名前漢字,級,身長,体重,勝率,複勝率,直近10年勝率,直近10年2連帯率,直近10年3連帯率,直近5年勝率,直近5年2連帯率,直近5年3連帯率,1着率,2着率,3着率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数,算出期間自,算出期間至
2014,高　塚　　清　一,B1,164,54,3.8,18.2,4.71,25.6,44.8,4.42,23.9,39.8,3.7,14.6,11.0,3,12,82,0,0,0.19,15,46.6,0.15,2.4,14,7.1,0.21,4.2,10,20.0,0.21,4.2,15,20.0,0.19,3.3,17,11.7,0.19,3.5,11,0.0,0.24,5.0,1,6,1,4,2,0,0,1,3,4,0,5,0,2,0,2,4,2,2,1,2,3,5,2,0,2,2,3,6,4,0,0,1,3,2,5,2024-05-01,2024-10-31
2538,高　橋　　二　朗,B1,163,53,3.96,19.1,4.34,18.4,37.4,4.22,17.1,36.2,4.5,14.6,12.4,4,13,89,0,0,0.19,13,38.4,0.21,4.2,19,21.0,0.21,3.9,15,13.3,0.2,3.4,16,12.5,0.17,3.6,17,17.6,0.19,3.6,8,12.5,0.18,4.0,2,3,1,3,4,0,1,3,2,4,6,3,0,2,4,3,3,3,0,2,2,3,5,3,1,2,2,5,4,2,0,1,0,2,2,3,2024-05-01,2024-10-31
2878,富　山　　弘　幸,A2,163,57,5.6,36.0,5.77,37.5,59.0,5.68,35.4,57.8,12.5,23.5,20.6,17,32,136,1,0,0.17,28,67.8,0.18,3.7,25,44.0,0.16,3.6,25,28.0,0.17,3.8,24,33.3,0.17,3.6,19,15.7,0.18,4.1,15,6.6,0.19,4.5,9,10,5,2,0,2,3,8,5,7,2,0,1,6,7,4,6,1,2,6,6,5,5,0,2,1,2,7,5,1,0,1,3,4,3,4,2024-05-01,2024-10-31
3024,西　島　　義　則,A1,166,58,6.85,58.0,6.97,55.9,70.6,6.89,54.8,69.6,30.9,27.2,11.7,50,44,162,7,1,0.16,61,65.5,0.16,3.0,91,52.7,0.16,2.9,6,66.6,0.13,2.7,2,50.0,0.18,3.0,1,100.0,0.19,5.0,1,0.0,0.11,3.0,29,11,7,9,3,2,18,30,10,9,16,7,3,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2024-05-01,2024-10-31
3054,北　川　　幸　典,B1,163,57,4.76,28.0,5.96,43.1,59.7,5.74,40.7,58.2,20.0,8.0,18.0,10,4,50,0,0,0.18,12,83.3,0.17,3.3,5,40.0,0.21,4.0,7,14.2,0.19,4.1,8,12.5,0.15,3.9,8,0.0,0.18,4.6,9,0.0,0.19,4.6,7,3,0,1,0,1,2,0,2,1,0,0,0,1,3,0,2,1,1,0,1,2,3,1,0,0,1,2,2,2,0,0,2,0,2,5,2024-05-01,2024-10-31
3070,山　室　　展　弘,B1,167,53,4.89,29.6,6.29,47.4,65.1,5.86,43.2,60.6,16.7,13.0,18.5,9,7,54,1,0,0.17,10,70.0,0.14,3.1,21,33.3,0.18,3.7,11,9.0,0.19,4.5,10,10.0,0.15,3.6,2,0.0,0.13,4.0,0,0.0,0.0,0.0,5,2,0,1,0,1,3,4,2,2,6,4,1,0,2,2,2,4,0,1,6,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2024-05-01,2024-10-31
3072,西　田　　　　靖,B1,160,56,4.52,24.2,5.12,33.4,47.7,4.78,29.0,42.6,13.1,11.1,16.2,13,11,99,0,0,0.15,20,50.0,0.17,2.6,71,19.7,0.14,3.0,7,0.0,0.19,3.3,0,0.0,0.0,0.0,1,0.0,0.19,5.0,0,0.0,0.0,0.0,6,4,1,5,2,2,7,7,15,10,15,16,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-05-01,2024-10-31
3075,中　村　　裕　将,B1,164,54,4.42,24.4,5.56,39.1,53.0,5.24,34.2,49.6,9.2,15.3,11.2,9,15,98,0,0,0.15,15,66.6,0.14,2.4,18,38.8,0.17,3.7,17,17.6,0.16,3.8,19,21.0,0.13,3.1,15,0.0,0.16,3.7,14,0.0,0.17,3.9,4,6,2,2,1,0,2,5,2,5,1,3,1,2,1,3,6,3,2,2,3,5,5,2,0,0,3,8,0,4,0,0,0,2,7,5,2024-05-01,2024-10-31
3081,岡　本　　慎　治,B1,160,51,4.29,22.7,5.57,38.2,55.5,5.21,32.4,50.8,6.3,16.5,20.3,5,13,79,0,0,0.17,13,61.5,0.16,3.0,12,25.0,0.15,3.2,13,23.0,0.15,3.0,16,18.7,0.18,3.5,16,6.2,0.17,3.4,8,0.0,0.21,5.1,5,3,1,1,0,2,0,3,2,0,6,1,0,3,4,2,2,2,0,3,5,3,4,1,0,1,2,2,6,4,0,0,2,1,2,3,2024-05-01,2024-10-31
3105,内　山　　文　典,B1,164,54,4.84,28.5,5.27,32.5,52.2,5.29,32.5,51.8,8.6,20.0,18.1,9,21,105,1,0,0.17,18,66.6,0.17,3.2,18,22.2,0.18,3.8,16,50.0,0.17,3.8,16,6.2,0.15,3.4,15,6.6,0.18,3.6,22,18.1,0.18,4.3,6,6,2,1,1,2,0,4,4,4,2,4,2,6,2,2,2,2,1,0,4,4,3,4,0,1,5,4,2,2,0,4,2,6,6,4,2024-05-01,2024-10-31
3107,平　岡　　重　典,B1,163,50,4.56,18.8,5.0,28.3,46.1,4.77,25.2,42.3,10.0,8.9,22.2,9,8,90,0,0,0.2,15,60.0,0.19,3.9,16,25.0,0.21,4.4,14,14.2,0.18,4.3,16,6.2,0.2,3.6,16,6.2,0.21,3.8,13,0.0,0.22,4.5,6,3,2,2,1,1,2,2,7,2,1,2,0,2,1,5,3,3,1,0,6,5,2,2,0,1,1,4,7,3,0,0,3,4,3,3,2024-05-01,2024-10-31
3141,山　来　　和　人,B1,159,57,3.56,15.3,4.43,25.1,39.3,4.29,24.2,37.6,4.4,11.0,12.1,4,10,91,0,0,0.18,17,35.2,0.15,3.2,18,22.2,0.14,2.8,17,11.7,0.19,3.8,9,11.1,0.21,4.7,19,5.2,0.22,3.9,11,0.0,0.19,4.5,2,4,2,2,6,1,0,4,3,5,4,2,1,1,2,3,7,3,1,0,0,0,3,5,0,1,4,1,7,6,0,0,0,2,6,3,2024-05-01,2024-10-31
3156,金　子　　良　昭,B1,160,55,4.63,27.5,5.61,39.2,52.7,5.4,36.4,50.4,8.6,19.0,13.8,10,22,116,1,0,0.17,21,42.8,0.16,3.7,25,32.0,0.15,2.9,27,40.7,0.15,3.4,32,12.5,0.19,3.3,7,0.0,0.18,3.9,4,0.0,0.18,3.3,4,5,1,3,3,4,2,6,5,6,4,2,3,8,4,2,7,3,1,3,4,8,9,7,0,0,2,3,2,0,0,0,0,1,3,0,2024-05-01,2024-10-31
3158,島　川　　光　男,A1,161,54,6.36,51.6,6.14,46.1,61.3,6.21,45.7,62.9,25.8,25.8,10.6,39,39,151,5,1,0.15,29,89.6,0.14,3.2,28,57.1,0.15,3.7,25,56.0,0.14,3.0,24,50.0,0.16,2.9,24,33.3,0.16,3.1,21,9.5,0.17,3.7,22,4,2,1,0,0,8,8,3,4,4,1,4,10,5,4,1,1,2,10,3,4,2,3,2,6,2,5,9,0,1,1,1,7,7,4,2024-05-01,2024-10-31
3159,江　口　　晃　生,A1,165,55,7.1,57.2,7.36,60.6,74.8,7.36,61.0,75.3,32.0,25.2,17.5,33,26,103,5,1,0.15,34,73.5,0.16,3.2,68,50.0,0.15,3.1,1,0.0,0.16,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,5,4,4,1,0,13,21,14,9,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-01,2024-10-31
3161,古　場　　輝　義,A2,161,53,5.53,34.1,5.69,37.1,58.6,5.59,35.7,57.0,13.2,20.9,24.0,17,27,129,1,0,0.17,27,55.5,0.15,3.1,30,43.3,0.18,3.9,27,33.3,0.17,3.9,21,19.0,0.19,4.0,19,15.7,0.17,4.1,5,0.0,0.12,3.8,11,4,7,4,1,0,2,11,8,3,4,2,2,7,6,7,2,3,2,2,6,4,2,5,0,3,4,4,4,4,0,0,0,1,3,1,2024-05-01,2024-10-31
3175,渡　辺　　千　草,B1,157,49,5.09,29.9,5.39,31.5,54.8,5.27,29.7,52.8,9.3,20.6,22.7,9,20,97,0,0,0.17,21,52.3,0.16,3.3,19,42.1,0.15,3.2,16,12.5,0.21,3.6,15,33.3,0.16,2.9,15,20.0,0.18,3.7,11,0.0,0.22,4.9,5,6,3,3,2,2,3,5,5,3,3,0,0,2,5,3,4,2,1,4,5,1,2,2,0,3,3,4,2,3,0,0,1,2,5,3,2024-05-01,2024-10-31
3176,長谷川　　　　巌,B1,159,51,4.41,21.5,5.0,29.9,48.1,4.75,26.8,44.7,8.6,12.9,18.1,10,15,116,0,0,0.18,17,47.0,0.14,1.6,23,34.7,0.17,3.5,20,15.0,0.17,3.6,19,10.5,0.19,3.9,22,18.1,0.18,3.8,15,0.0,0.23,4.7,6,2,4,2,2,1,3,5,4,6,3,1,0,3,4,6,4,3,0,2,6,4,1,6,1,3,3,3,6,6,0,0,0,4,6,5,2024-05-01,2024-10-31
3188,日　高　　逸　子,A2,154,45,6.09,41.2,6.47,46.2,66.1,6.21,43.6,63.7,16.2,25.0,22.3,24,37,148,3,0,0.16,34,73.5,0.15,3.1,24,37.5,0.19,3.8,20,55.0,0.16,3.0,31,29.0,0.16,3.7,23,17.3,0.15,3.2,16,18.7,0.16,3.8,16,9,5,3,0,1,0,9,6,5,4,0,4,7,5,1,2,1,3,6,10,4,2,5,1,3,5,7,5,2,0,3,2,4,4,3,2024-05-01,2024-10-31
3202,三　品　　隆　浩,B1,158,55,4.95,31.9,4.53,23.2,40.7,4.5,23.7,40.6,9.3,22.7,17.5,9,22,97,0,0,0.17,19,52.6,0.16,3.0,16,62.5,0.18,3.3,14,35.7,0.16,3.6,15,13.3,0.16,2.9,15,13.3,0.18,4.1,18,11.1,0.2,4.0,4,6,4,3,1,1,1,9,1,1,1,3,2,3,4,1,1,3,1,1,2,3,5,3,1,1,3,4,4,2,0,2,3,3,6,4,2024-05-01,2024-10-31
3207,田　村　　美　和,B1,156,54,4.35,21.2,4.19,21.5,36.6,4.18,20.9,35.3,3.8,17.5,16.2,3,14,80,0,0,0.17,13,30.7,0.21,4.1,16,12.5,0.17,3.6,17,47.0,0.19,3.0,11,9.0,0.16,2.9,19,10.5,0.14,2.9,4,0.0,0.2,4.5,1,3,1,4,2,2,0,2,6,3,2,2,2,6,0,4,3,2,0,1,4,4,1,0,0,2,2,4,6,5,0,0,0,3,0,1,2024-05-01,2024-10-31
3211,北　川　　敏　弘,B1,162,55,4.24,19.1,4.97,27.7,47.3,4.61,22.5,41.1,5.1,14.1,18.2,5,14,99,0,0,0.17,15,40.0,0.2,4.3,19,10.5,0.19,3.9,19,26.3,0.18,3.5,17,23.5,0.13,2.5,18,11.1,0.13,3.2,11,0.0,0.18,3.6,4,2,6,1,1,1,0,2,3,6,4,4,0,5,3,5,4,2,0,4,5,1,3,4,1,1,1,6,5,4,0,0,0,3,5,3,2024-05-01,2024-10-31
3212,亀　本　　勇　樹,B1,162,61,4.28,22.7,5.44,35.5,53.3,4.84,28.6,45.3,6.3,16.5,13.9,5,13,79,0,0,0.17,11,54.5,0.14,3.4,26,23.0,0.17,3.3,14,7.1,0.17,3.4,14,7.1,0.19,3.8,10,30.0,0.13,3.0,4,25.0,0.29,5.5,3,3,2,1,1,1,1,5,3,3,10,4,0,1,1,7,2,2,0,1,2,4,5,2,0,3,3,0,2,2,1,0,0,1,1,1,2024-05-01,2024-10-31
3224,栗　山　　繁　洋,B1,161,54,4.55,28.3,4.8,28.9,46.3,4.75,28.9,45.0,8.3,20.0,12.5,10,24,120,0,0,0.17,16,43.7,0.18,4.5,21,33.3,0.2,4.0,21,38.1,0.14,2.7,24,25.0,0.17,3.6,24,16.6,0.16,3.1,14,14.2,0.17,4.1,3,4,1,3,3,2,1,6,4,3,2,5,3,5,5,5,0,3,3,3,2,3,7,6,0,4,3,8,2,7,0,2,0,3,4,5,2024-05-01,2024-10-31
3226,浦　田　　信　義,B1,164,51,4.25,23.8,4.96,29.3,46.7,4.84,28.7,44.3,4.6,19.3,12.8,5,21,109,0,0,0.18,18,33.3,0.19,4.6,21,33.3,0.17,4.0,20,25.0,0.15,3.6,19,21.0,0.18,3.4,18,11.1,0.17,4.1,13,15.3,0.21,4.5,2,4,5,1,2,3,2,5,0,5,5,4,0,5,5,5,4,1,1,3,4,5,4,2,0,2,0,4,8,4,0,2,0,1,7,3,2024-05-01,2024-10-31
3232,山　川　　美由紀,A1,152,47,6.91,51.9,6.56,48.2,65.3,6.31,44.6,63.8,29.9,22.0,19.7,38,28,127,3,2,0.14,31,80.6,0.12,2.3,21,57.1,0.16,2.9,21,52.3,0.14,2.0,22,72.7,0.12,2.4,19,5.2,0.16,2.7,13,7.6,0.17,4.0,16,9,3,1,1,1,9,3,4,5,0,0,4,7,5,4,1,0,8,8,3,2,1,0,0,1,5,5,6,2,1,0,5,4,2,1,2024-05-01,2024-10-31
3233,小　畑　　実　成,B1,163,55,4.1,20.8,5.69,37.1,57.0,5.28,32.4,51.2,9.7,11.1,15.3,7,8,72,0,0,0.16,11,63.6,0.16,2.7,14,14.2,0.13,2.3,12,25.0,0.19,3.5,12,8.3,0.18,3.7,11,18.1,0.13,3.0,12,0.0,0.17,2.8,3,4,1,1,1,1,1,1,6,1,4,1,2,1,0,2,1,5,0,1,2,2,4,3,1,1,0,2,3,4,0,0,2,3,4,3,2024-05-01,2024-10-31
3246,星　野　　政　彦,B1,161,56,4.27,26.6,4.81,27.0,44.6,4.61,24.9,42.1,9.6,17.0,10.6,9,16,94,0,0,0.16,15,66.6,0.16,2.8,17,35.2,0.18,3.4,18,16.6,0.15,3.3,22,18.1,0.15,2.9,18,11.1,0.15,2.9,4,0.0,0.2,3.0,6,4,1,2,2,0,1,5,3,2,4,2,1,2,2,5,6,2,0,4,2,3,7,5,1,1,1,0,8,7,0,0,1,0,2,1,2024-05-01,2024-10-31
3251,平　石　　和　男,A2,164,50,5.8,32.8,6.12,40.6,60.6,5.81,37.3,58.7,14.8,18.1,30.2,22,27,149,2,0,0.19,26,69.2,0.18,3.7,29,44.8,0.2,4.8,26,19.2,0.18,4.4,19,21.0,0.18,4.2,30,23.3,0.2,4.6,19,10.5,0.21,5.5,13,5,6,1,1,0,4,9,6,8,2,0,3,2,9,3,1,8,1,3,10,1,4,0,1,6,11,5,6,1,0,2,3,5,4,4,2024-05-01,2024-10-31
3256,三　角　　哲　男,A1,164,52,6.65,51.5,6.83,51.8,68.1,6.51,48.3,64.8,26.2,25.4,14.6,34,33,130,9,3,0.13,25,92.0,0.13,2.8,23,56.5,0.14,2.9,25,40.0,0.13,2.6,26,57.6,0.12,2.4,17,29.4,0.14,3.1,14,7.1,0.15,3.1,13,10,1,0,0,1,5,8,3,5,1,1,3,7,3,10,2,0,8,7,5,4,1,1,4,1,4,4,1,3,1,0,3,4,3,3,2024-05-01,2024-10-31
3257,田　頭　　　　実,A1,157,52,6.62,52.7,7.1,59.7,69.8,6.88,57.2,67.5,29.7,23.1,11.0,27,21,91,3,0,0.12,22,77.2,0.1,1.6,54,44.4,0.12,2.5,12,58.3,0.1,2.1,3,0.0,0.38,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15,2,2,1,1,1,12,12,6,10,8,6,0,7,1,2,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-01,2024-10-31
3265,今　村　　暢　孝,A2,162,51,6.32,45.9,6.92,57.4,71.5,6.6,53.9,69.0,21.6,24.3,21.6,16,18,74,3,0,0.14,24,70.8,0.16,3.8,46,36.9,0.13,2.8,3,0.0,0.17,4.3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,6,2,3,1,1,5,12,12,7,6,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-01,2024-10-31
3268,森　　　　竜　也,B2,162,54,3.69,12.5,5.7,39.4,57.7,5.37,35.6,53.0,4.2,8.3,20.8,2,4,48,0,0,0.21,6,50.0,0.17,2.8,8,25.0,0.18,3.6,7,0.0,0.2,4.7,7,14.2,0.19,3.1,11,0.0,0.22,4.5,9,0.0,0.26,5.7,1,2,1,0,1,0,0,2,1,2,2,1,0,0,2,0,0,4,1,0,2,2,1,1,0,0,2,3,4,2,0,0,2,1,3,3,2024-05-01,2024-10-31
3273,石　田　　　　豪,B1,158,52,3.87,19.0,4.96,29.5,47.3,4.76,28.6,44.1,10.0,9.0,11.0,10,9,100,1,0,0.17,14,71.4,0.15,3.3,16,12.5,0.18,3.8,14,28.5,0.16,2.8,18,5.5,0.18,4.3,18,5.5,0.19,4.2,19,5.2,0.18,4.6,6,4,0,4,0,0,1,1,3,4,2,5,3,1,3,2,2,2,0,1,2,4,4,7,0,1,1,5,4,7,0,1,2,2,4,10,2024-05-01,2024-10-31
3277,齋　藤　　　　勇,B1,161,53,4.36,22.3,4.59,24.3,41.1,4.5,22.9,39.6,14.5,7.9,9.2,11,6,76,0,0,0.19,15,66.6,0.17,3.3,13,23.0,0.22,4.2,13,15.3,0.16,2.9,10,10.0,0.21,4.1,14,7.1,0.2,3.8,11,0.0,0.2,4.5,8,2,2,2,0,1,2,1,1,5,4,0,1,1,1,7,0,3,0,1,0,2,5,1,0,1,1,3,3,6,0,0,2,1,8,0,2024-05-01,2024-10-31
3280,垣　内　　清　美,B1,160,52,4.6,26.2,4.91,31.3,46.1,4.44,27.2,39.8,13.8,12.5,13.8,11,10,80,0,0,0.2,15,73.3,0.2,4.6,13,30.7,0.21,3.7,15,26.6,0.2,4.3,10,0.0,0.15,3.1,16,12.5,0.17,3.4,11,0.0,0.26,4.3,7,4,2,1,1,0,1,3,3,2,2,2,2,2,1,5,2,3,0,0,3,2,2,2,1,1,2,3,5,4,0,0,0,4,2,5,2024-05-01,2024-10-31
3282,池　本　　輝　明,B1,162,52,4.53,22.0,5.41,34.2,52.9,5.09,30.5,48.0,5.1,16.9,20.3,6,20,118,0,0,0.18,15,40.0,0.15,3.5,27,33.3,0.19,4.0,21,28.5,0.18,3.1,23,13.0,0.16,3.7,22,9.0,0.17,3.4,10,0.0,0.24,4.9,3,3,2,4,2,1,1,8,5,3,9,1,2,4,4,5,4,2,0,3,5,7,8,0,0,2,6,3,5,5,0,0,2,2,4,2,2024-05-01,2024-10-31
3284,渡　邊　　伸太郎,B1,161,52,5.24,32.1,6.06,42.3,61.1,5.72,37.5,56.1,13.1,19.0,17.5,18,26,137,1,0,0.17,23,69.5,0.16,2.5,22,27.2,0.2,4.0,23,52.1,0.17,3.5,25,20.0,0.18,4.0,33,12.1,0.15,3.2,11,9.0,0.15,3.8,10,6,2,2,2,1,2,4,4,3,4,5,4,8,6,2,2,1,2,3,3,9,5,3,0,4,7,8,13,1,0,1,2,5,2,1,2024-05-01,2024-10-31
3286,坂　東　　　　満,B1,160,54,4.58,23.1,4.79,27.9,44.6,4.46,24.4,40.1,12.6,10.5,17.9,12,10,95,0,0,0.15,14,78.5,0.15,1.7,17,29.4,0.13,3.0,19,5.2,0.14,2.6,19,26.3,0.13,2.9,13,0.0,0.17,3.4,13,0.0,0.18,3.8,10,1,1,1,0,0,1,4,4,2,3,3,0,1,8,7,3,0,1,4,2,3,4,4,0,0,0,4,4,5,0,0,2,3,5,3,2024-05-01,2024-10-31
3289,高　橋　　淳　美,B2,154,46,3.68,13.5,5.12,33.6,49.1,4.73,28.8,44.4,8.1,5.4,10.8,3,2,37,0,0,0.2,6,33.3,0.18,3.2,6,16.6,0.19,4.3,7,0.0,0.2,3.0,6,16.6,0.23,4.0,5,0.0,0.17,3.4,7,14.2,0.2,5.1,1,1,0,2,1,0,0,1,1,1,2,1,0,0,1,3,3,0,1,0,0,2,1,2,0,0,2,1,2,0,1,0,0,0,4,1,2024-05-01,2024-10-31
3290,倉　谷　　和　信,B1,162,52,4.43,22.6,6.32,46.3,64.9,5.52,37.5,55.4,9.4,13.2,17.0,5,7,53,0,0,0.18,10,50.0,0.16,3.3,12,25.0,0.19,3.7,11,18.1,0.15,3.1,8,25.0,0.23,3.9,7,0.0,0.17,4.1,5,0.0,0.16,4.0,5,0,0,4,1,0,0,3,1,1,5,2,0,2,2,2,3,2,0,2,4,0,1,1,0,0,1,1,4,1,0,0,1,1,2,1,2024-05-01,2024-10-31
3293,宮　内　　由紀英,B1,160,53,4.13,16.2,4.38,20.2,38.9,4.17,18.2,35.8,4.7,11.6,18.6,4,10,86,1,0,0.19,14,57.1,0.15,3.1,15,0.0,0.17,3.8,14,21.4,0.22,4.2,15,13.3,0.21,5.2,16,6.2,0.18,3.8,12,0.0,0.21,5.1,2,6,2,3,1,0,0,0,6,2,4,3,1,2,4,1,2,4,1,1,1,5,2,5,0,1,2,6,6,1,0,0,1,3,6,2,2024-05-01,2024-10-31
3294,野　中　　義　生,B1,160,54,4.85,29.2,4.62,26.7,42.6,4.47,25.0,39.9,8.8,20.4,16.8,10,23,113,1,0,0.14,15,73.3,0.15,2.5,19,36.8,0.18,2.9,20,30.0,0.13,2.5,20,20.0,0.11,2.3,24,8.3,0.15,2.5,15,20.0,0.1,2.0,6,5,2,0,0,2,0,7,4,4,3,1,1,5,3,4,5,2,1,3,5,2,5,4,1,1,3,7,5,7,1,2,2,4,6,0,2024-05-01,2024-10-31
3297,藤　丸　　光　一,B1,154,49,5.32,36.9,6.02,43.5,61.7,5.62,38.3,56.6,10.9,26.1,19.3,13,31,119,0,0,0.18,18,66.6,0.17,2.9,51,31.3,0.2,3.9,34,38.2,0.16,3.2,12,16.6,0.19,3.3,4,25.0,0.17,4.3,0,0.0,0.0,0.0,6,6,4,2,0,0,5,11,9,7,9,10,1,12,8,3,5,5,1,1,2,4,2,2,0,1,0,0,1,2,0,0,0,0,0,0,2024-05-01,2024-10-31
3300,川　崎　　智　幸,A2,161,54,5.69,36.8,6.35,45.3,62.8,6.12,43.0,61.8,18.4,18.4,19.1,26,26,141,2,0,0.13,27,59.2,0.14,3.3,25,48.0,0.14,3.3,23,34.7,0.13,2.8,24,37.5,0.13,2.5,23,17.3,0.13,3.0,19,15.7,0.13,2.8,14,2,6,3,1,1,5,7,6,2,4,1,2,6,8,3,4,0,3,6,1,6,6,2,1,3,4,3,4,8,1,2,2,4,6,4,2024-05-01,2024-10-31
3302,谷　川　　里　江,B1,142,46,5.23,37.6,5.81,41.2,56.0,5.55,38.4,52.7,24.8,12.9,7.9,25,13,101,1,0,0.17,20,90.0,0.17,3.1,17,41.1,0.21,4.1,20,30.0,0.16,2.8,14,28.5,0.13,2.5,18,16.6,0.16,3.5,12,0.0,0.2,3.8,13,5,0,2,0,0,3,4,2,2,3,3,4,2,1,2,4,7,3,1,1,2,4,3,2,1,4,5,2,4,0,0,0,4,5,3,2024-05-01,2024-10-31
3303,渡　辺　　　　豊,A2,166,56,5.8,37.2,5.65,35.8,57.4,5.79,37.7,58.7,16.3,20.9,22.5,21,27,129,1,0,0.18,27,62.9,0.18,4.1,23,47.8,0.19,4.0,28,32.1,0.15,3.3,14,42.8,0.17,4.4,19,26.3,0.2,3.9,18,0.0,0.2,5.1,10,7,6,4,0,0,4,7,7,1,2,1,3,6,5,7,5,1,2,4,2,3,3,0,2,3,5,6,1,2,0,0,4,6,4,4,2024-05-01,2024-10-31
3304,烏　野　　賢　太,B1,164,52,5.4,36.4,6.24,43.8,60.6,5.97,41.4,57.7,20.9,15.5,13.5,31,23,148,1,0,0.16,30,80.0,0.17,3.4,27,25.9,0.16,3.9,26,57.6,0.16,3.2,20,25.0,0.14,2.5,28,10.7,0.15,3.4,17,0.0,0.18,4.2,18,6,2,1,3,0,2,5,4,6,5,5,7,8,3,3,2,3,1,4,4,4,5,2,3,0,5,7,9,4,0,0,2,4,9,2,2024-05-01,2024-10-31
3305,小　野　　信　樹,B1,162,53,4.07,21.3,4.49,27.8,39.4,4.27,24.3,35.9,11.7,9.7,9.7,12,10,103,0,0,0.17,14,57.1,0.18,3.6,18,16.6,0.17,3.4,19,42.1,0.21,3.9,20,15.0,0.13,2.7,18,0.0,0.17,3.8,14,0.0,0.18,5.0,6,2,0,4,1,1,1,2,5,3,5,2,3,5,2,1,3,5,2,1,1,4,4,8,0,0,2,10,2,4,0,0,0,1,4,9,2024-05-01,2024-10-31
3306,武　田　　正　紀,B1,163,55,4.41,20.5,4.3,21.2,37.1,4.24,20.9,35.7,9.8,10.8,18.6,10,11,102,0,0,0.16,15,40.0,0.18,3.7,18,16.6,0.15,3.0,21,23.8,0.17,3.1,18,22.2,0.15,3.2,16,6.2,0.16,3.4,14,14.2,0.18,3.4,2,4,2,3,1,3,1,2,4,2,7,2,4,1,4,4,6,2,3,1,5,4,4,1,0,1,2,4,4,5,0,2,2,3,4,3,2024-05-01,2024-10-31
3313,本　吉　　正　樹,B1,162,56,4.44,26.6,4.43,22.3,40.0,4.26,20.0,38.4,8.6,18.1,15.2,9,19,105,0,0,0.18,16,68.7,0.17,3.7,21,33.3,0.16,3.6,13,30.7,0.15,2.7,18,11.1,0.2,4.1,19,21.0,0.19,3.9,18,0.0,0.22,4.6,6,5,0,3,0,1,2,5,3,2,4,5,0,4,3,1,2,2,0,2,5,1,7,3,1,3,4,4,3,4,0,0,1,5,5,7,2024-05-01,2024-10-31
3315,広　瀬　　聖　仁,B1,162,54,5.19,30.7,5.05,29.9,48.5,4.99,29.2,48.1,12.1,18.7,20.9,11,17,91,2,0,0.16,12,58.3,0.18,3.5,20,35.0,0.15,2.8,16,43.7,0.16,3.4,18,16.6,0.15,2.9,16,18.7,0.2,3.9,9,11.1,0.17,3.0,5,2,2,2,0,1,0,7,6,2,5,0,4,3,2,2,3,2,1,2,5,5,3,2,1,2,3,3,5,2,0,1,1,0,7,0,2024-05-01,2024-10-31
3319,山　崎　　義　明,A2,166,54,5.61,39.5,6.09,41.0,62.4,5.98,40.0,61.0,16.0,23.6,17.4,23,34,144,3,0,0.14,27,70.3,0.16,3.1,29,37.9,0.14,2.8,24,50.0,0.14,2.3,27,33.3,0.13,2.4,22,22.7,0.12,2.8,15,6.6,0.15,3.6,13,6,4,2,0,1,2,9,6,5,4,3,5,7,4,4,2,2,3,6,3,6,5,4,0,5,3,2,8,4,0,1,5,3,4,2,2024-05-01,2024-10-31
