登番,名前漢字,級,身長,体重,勝率,複勝率,直近10年勝率,直近10年2連帯率,直近10年3連帯率,直近5年勝率,直近5年2連帯率,直近5年3連帯率,1着率,2着率,3着率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数,算出期間自,算出期間至
4264,長　尾　　章　平,A1,166,56,6.93,57.2,6.15,43.2,64.7,6.03,42.2,63.9,27.0,30.2,17.6,43,48,159,7,0,0.16,38,84.2,0.13,2.1,22,54.5,0.16,3.0,28,60.7,0.16,3.3,29,51.7,0.16,3.0,24,50.0,0.15,3.4,18,16.6,0.2,4.3,28,4,4,1,0,1,1,11,3,3,3,1,8,9,8,2,0,1,4,11,2,4,4,4,2,10,3,3,1,5,0,3,8,4,2,1,2024-11-01,2025-04-30
4266,長　田　　頼　宗,A1,168,56,6.6,45.0,6.81,46.9,63.2,6.96,49.4,65.7,23.3,21.7,15.0,28,26,120,3,2,0.15,26,88.4,0.13,2.6,18,33.3,0.17,3.2,20,50.0,0.14,2.7,20,20.0,0.15,3.0,18,38.8,0.15,3.3,18,22.2,0.16,3.8,20,3,2,0,0,0,2,4,7,2,1,2,1,9,1,2,4,2,1,3,4,7,5,0,4,3,1,5,1,4,0,4,3,4,4,3,2024-11-01,2025-04-30
4268,和　合　　俊　介,B1,167,63,3.48,12.9,4.15,20.6,35.4,3.96,18.8,32.0,3.2,9.7,10.8,3,9,93,0,0,0.16,10,40.0,0.15,2.3,17,23.5,0.15,2.8,21,14.2,0.15,2.7,15,6.6,0.17,3.7,17,0.0,0.17,3.7,13,0.0,0.21,4.5,3,1,1,1,1,3,0,4,1,3,4,5,0,3,3,8,1,6,0,1,3,5,4,1,0,0,1,5,6,5,0,0,1,2,4,6,2024-11-01,2025-04-30
4269,杉　山　　裕　也,A1,167,54,6.58,43.2,6.75,50.1,68.4,6.71,50.3,69.5,24.6,18.6,27.1,29,22,118,4,1,0.15,22,90.9,0.15,2.5,22,40.9,0.14,2.4,19,15.7,0.15,2.7,24,41.6,0.15,3.3,15,33.3,0.16,3.1,16,25.0,0.19,4.2,17,3,2,0,0,0,2,7,6,2,2,2,1,2,6,6,2,2,6,4,10,1,1,2,2,3,4,2,2,2,1,3,4,2,1,5,2024-11-01,2025-04-30
4270,岸　本　　雄　貴,B1,160,65,4.53,23.7,4.38,22.9,41.0,4.34,22.8,40.6,7.2,16.5,17.5,7,16,97,0,0,0.18,13,53.8,0.15,3.2,15,26.6,0.19,3.5,22,31.8,0.17,3.5,14,7.1,0.2,3.7,19,5.2,0.19,3.5,14,21.4,0.21,4.6,4,3,3,2,1,0,1,3,4,2,1,4,1,6,4,6,4,1,1,0,3,4,3,2,0,1,3,7,4,4,0,3,0,2,1,8,2024-11-01,2025-04-30
4271,川　崎　　公　靖,B1,164,54,4.47,19.8,4.83,27.7,45.7,4.69,26.2,43.2,10.3,9.5,17.2,12,11,116,0,0,0.16,15,60.0,0.15,2.7,22,13.6,0.17,3.2,19,15.7,0.15,2.3,24,12.5,0.15,2.5,23,17.3,0.17,3.3,13,7.6,0.17,3.5,5,4,1,1,1,3,2,1,4,5,5,5,1,2,5,7,4,0,3,0,7,7,6,1,1,3,2,5,7,5,0,1,1,5,5,1,2024-11-01,2025-04-30
4272,大　場　　広　孝,B1,170,59,5.19,26.1,5.21,30.7,52.1,5.14,30.0,50.6,11.1,15.1,27.0,14,19,126,1,0,0.15,16,81.2,0.14,2.1,25,44.0,0.17,3.5,22,18.1,0.15,2.8,21,9.5,0.17,3.4,24,8.3,0.13,3.0,18,5.5,0.15,3.4,8,5,2,1,0,0,3,8,8,3,2,1,1,3,10,3,3,2,2,0,4,10,3,2,0,2,6,5,4,7,0,1,4,5,4,4,2024-11-01,2025-04-30
4273,佐　藤　　　　旭,B1,161,54,5.09,26.8,4.96,30.7,48.9,5.18,31.6,51.9,15.1,11.8,24.4,18,14,119,0,0,0.19,19,63.1,0.17,3.0,21,38.1,0.19,4.0,20,30.0,0.19,4.3,21,4.7,0.2,4.8,25,20.0,0.18,3.6,13,0.0,0.2,4.8,10,2,4,1,0,2,2,6,6,3,2,2,4,2,5,2,5,2,1,0,6,6,2,5,1,4,4,6,7,3,0,0,4,4,1,4,2024-11-01,2025-04-30
4274,長　畑　　友　輔,B1,168,52,4.61,28.1,4.84,28.2,44.4,4.79,27.6,43.8,11.7,16.5,12.6,12,17,103,1,0,0.15,15,66.6,0.15,2.9,20,20.0,0.17,3.1,18,38.8,0.13,2.7,17,23.5,0.16,2.9,19,21.0,0.15,3.2,14,0.0,0.14,2.9,4,6,0,1,3,1,4,0,3,3,7,3,1,6,2,6,3,0,1,3,3,2,3,5,2,2,0,5,5,5,0,0,5,2,1,6,2024-11-01,2025-04-30
4275,菅　野　　はやか,B1,158,54,3.81,14.1,4.08,18.6,35.5,4.07,18.8,35.4,6.1,8.1,16.2,6,8,99,0,0,0.21,14,35.7,0.22,4.1,21,19.0,0.2,4.1,19,5.2,0.21,4.2,12,25.0,0.15,3.4,21,4.7,0.24,4.2,12,0.0,0.23,4.4,3,2,1,2,4,2,1,3,5,4,4,4,0,1,3,5,4,6,2,1,5,0,2,2,0,1,1,9,5,5,0,0,1,2,3,6,2024-11-01,2025-04-30
