venue,year,month,start_day,grade,race_name
徳山,2017,1,4,一般,ｙａｂ山口朝日放送杯争奪戦
徳山,2017,1,17,一般,スカパー！・ＪＬＣカップ
徳山,2017,1,28,一般,マンスリーＢＯＡＴＲＡＣＥ杯争奪戦
徳山,2017,2,6,一般,モーニングレース開催６周年記念山口新聞社杯争奪戦
徳山,2017,2,22,一般,住信ＳＢＩネット銀行賞
徳山,2017,3,3,一般,楽天銀行杯争奪戦
徳山,2017,3,21,一般,防長交通杯争奪戦
徳山,2017,3,31,一般,すなっちスプリングカップ
徳山,2017,4,27,一般,日刊スポーツ杯争奪戦
徳山,2017,5,7,一般,トライアングルカップ
徳山,2017,5,18,一般,ＢＯＡＴ　Ｂｏｙカップ
徳山,2017,5,31,一般,スポーツニッポン杯争奪戦
徳山,2017,6,7,一般,デイリースポーツ杯争奪戦
徳山,2017,6,15,一般,日本財団会長杯争奪　ヴィーナスシリーズ第４戦
徳山,2017,6,24,一般,九州スポーツ杯争奪戦
徳山,2017,7,1,一般,スポーツ報知杯争奪戦
徳山,2017,7,9,一般,日本トーター杯争奪戦
徳山,2017,7,28,一般,レノファ山口カップ　男女Ｗ優勝戦
徳山,2017,8,6,一般,日本モーターボート選手会会長賞
徳山,2017,8,15,一般,黒神杯争奪戦
徳山,2017,10,13,一般,新中央スタンドＯＰＥＮ記念競走
徳山,2017,10,31,一般,オラレ徳山開設９周年記念　新東通信杯争奪戦
徳山,2017,11,7,一般,サンケイスポーツ杯争奪戦
徳山,2017,11,16,一般,住信ＳＢＩネット銀行賞
徳山,2017,11,28,一般,山口マツダ周南東店ファンタジー杯
徳山,2017,12,9,一般,すなっちゃ徳山開設６周年記念　エフエム山口カップ
徳山,2017,12,18,一般,ＢＰ呉開設２５周年記念　ｙａｂ山口朝日放送杯争奪戦
徳山,2017,12,26,一般,オラレ田布施開設１周年記念　ＫＲＹ山口放送杯争奪戦
