開催日,レース番号,オッズ時点,123,124,125,126,132,134,135,136,142,143,145,146,152,153,154,156,162,163,164,165,213,214,215,216,231,234,235,236,241,243,245,246,251,253,254,256,261,263,264,265,312,314,315,316,321,324,325,326,341,342,345,346,351,352,354,356,361,362,364,365,412,413,415,416,421,423,425,426,431,432,435,436,451,452,453,456,461,462,463,465,512,513,514,516,521,523,524,526,531,532,534,536,541,542,543,546,561,562,563,564,612,613,614,615,621,623,624,625,631,632,634,635,641,642,643,645,651,652,653,654
2022-01-01,2,10分前,35.8,55.3,76.6,89.7,56.0,28.4,40.5,71.5,58.0,43.7,48.2,112.1,85.8,61.8,67.0,120.3,88.9,165.6,211.1,231.5,59.8,75.3,92.4,123.7,117.0,91.6,98.3,194.0,120.9,109.3,73.7,229.1,147.5,118.3,98.7,384.6,253.3,321.4,512.8,936.4,50.7,29.2,36.7,85.1,69.0,73.2,61.0,149.5,36.1,32.3,17.0,85.1,67.0,71.0,21.1,91.2,163.1,219.7,229.1,215.3,72.0,60.1,53.0,143.5,101.5,93.6,61.5,158.3,65.4,79.1,29.9,128.9,42.9,42.6,31.6,69.7,215.3,265.8,209.1,203.1,125.9,115.1,103.0,159.5,151.6,146.5,120.3,259.4,139.8,140.7,57.1,250.4,82.8,84.7,53.1,102.5,287.1,478.6,303.3,205.1,241.9,250.4,406.3,552.2,365.0,448.7,458.2,742.6,256.4,538.4,448.7,615.3,489.4,448.7,347.3,347.3,598.2,978.9,552.2,299.1
