開催日,日目,レース,天気,風向,風速,波高
2018-01-01,3,1,晴,西,6,6
2018-01-01,3,2,晴,西,6,6
2018-01-01,3,3,晴,西,6,6
2018-01-01,3,4,晴,西,6,6
2018-01-01,3,5,晴,西,6,6
2018-01-01,3,6,晴,西,6,6
2018-01-01,3,7,晴,西,6,6
2018-01-01,3,9,晴,北西,4,4
2018-01-01,3,10,晴,北西,5,5
2018-01-01,3,11,晴,北西,5,5
2018-01-01,3,12,晴,北西,6,6
2018-01-02,4,2,晴,南西,3,3
2018-01-02,4,3,晴,南西,3,3
2018-01-02,4,5,晴,南西,2,2
2018-01-02,4,6,晴,南西,3,3
2018-01-02,4,7,晴,西,4,4
2018-01-02,4,8,晴,西,6,6
2018-01-02,4,9,晴,北西,5,5
2018-01-02,4,10,晴,北西,7,7
2018-01-02,4,11,晴,北西,6,6
2018-01-02,4,12,晴,北西,6,6
2018-01-03,5,1,晴,北西,4,4
2018-01-03,5,2,晴,北西,4,4
2018-01-03,5,3,曇り,北西,5,5
2018-01-03,5,4,曇り,北西,4,4
2018-01-03,5,5,曇り,北西,5,5
2018-01-03,5,6,晴,北西,5,5
2018-01-03,5,7,晴,北西,4,4
2018-01-03,5,8,晴,北西,5,5
2018-01-03,5,9,晴,北西,4,4
2018-01-03,5,10,晴,北西,5,5
2018-01-03,5,11,晴,北西,4,4
2018-01-03,5,12,晴,北西,4,4
2018-01-04,6,1,晴,南西,3,3
2018-01-04,6,2,晴,南西,1,1
2018-01-04,6,3,晴,南西,1,1
2018-01-04,6,4,晴,南西,1,1
2018-01-04,6,5,晴,南西,1,1
2018-01-04,6,6,晴,南西,1,1
2018-01-04,6,7,晴,南,1,1
2018-01-04,6,8,晴,南,1,1
2018-01-04,6,9,晴,南,1,1
2018-01-04,6,10,晴,南西,1,1
2018-01-04,6,11,晴,西,1,1
2018-01-04,6,12,晴,西,1,1
2018-01-07,1,1,曇り,北,4,4
2018-01-07,1,2,曇り,北,3,3
2018-01-07,1,3,曇り,北東,3,3
2018-01-07,1,4,曇り,北東,2,2
2018-01-07,1,5,曇り,東,3,3
2018-01-07,1,6,曇り,東,3,3
2018-01-07,1,7,曇り,東,3,3
2018-01-07,1,9,曇り,東,2,2
2018-01-07,1,10,曇り,東,1,1
2018-01-07,1,11,曇り,東,1,1
2018-01-07,1,12,曇り,東,1,1
2018-01-08,2,1,雨,南西,1,1
2018-01-08,2,2,雨,南西,1,1
2018-01-08,2,3,曇り,西,1,1
2018-01-08,2,4,雨,東,1,1
2018-01-08,2,5,曇り,東,1,1
2018-01-08,2,6,雨,西,1,1
2018-01-08,2,7,雨,西,1,1
2018-01-08,2,8,曇り,北,2,2
2018-01-08,2,9,雨,北,1,1
2018-01-08,2,10,雨,南東,1,1
2018-01-08,2,11,雨,南,1,1
2018-01-08,2,12,曇り,南,1,1
2018-01-09,3,1,曇り,西,6,6
2018-01-09,3,2,晴,西,6,6
2018-01-09,3,3,曇り,西,6,6
2018-01-09,3,4,晴,西,6,6
2018-01-09,3,5,曇り,西,7,7
2018-01-09,3,6,曇り,西,6,6
2018-01-09,3,7,曇り,西,7,7
2018-01-09,3,8,曇り,西,7,7
2018-01-09,3,9,雨,西,7,7
2018-01-09,3,10,曇り,西,6,6
2018-01-09,3,11,曇り,西,5,5
2018-01-09,3,12,曇り,南西,5,5
2018-01-10,4,1,曇り,南西,4,4
2018-01-10,4,2,曇り,南西,4,4
2018-01-10,4,3,曇り,南西,5,5
2018-01-10,4,5,曇り,西,6,6
2018-01-10,4,6,曇り,西,6,6
2018-01-10,4,7,曇り,西,7,7
2018-01-10,4,8,曇り,西,6,6
2018-01-10,4,9,曇り,西,5,5
2018-01-10,4,10,曇り,西,5,5
2018-01-10,4,11,曇り,西,7,7
2018-01-10,4,12,曇り,西,8,8
2018-01-11,5,2,曇り,西,7,7
2018-01-11,5,4,晴,西,7,7
2018-01-11,5,5,曇り,西,8,8
2018-01-11,5,6,曇り,西,8,8
2018-01-11,5,7,晴,西,8,8
2018-01-11,5,9,晴,西,7,7
2018-01-11,5,10,晴,西,7,7
2018-01-11,5,11,晴,西,6,6
2018-01-12,6,1,晴,西,2,2
2018-01-12,6,2,晴,西,2,2
2018-01-12,6,3,雪,西,2,2
2018-01-12,6,4,晴,西,4,4
2018-01-12,6,5,晴,西,3,3
2018-01-12,6,6,晴,西,4,4
2018-01-12,6,7,晴,南,2,2
2018-01-12,6,8,晴,西,3,3
2018-01-12,6,9,晴,西,3,3
2018-01-12,6,10,晴,北西,3,3
2018-01-12,6,11,晴,北西,3,3
2018-01-12,6,12,晴,西,4,4
2018-01-20,1,1,晴,南西,2,2
2018-01-20,1,2,晴,南西,2,2
2018-01-20,1,3,晴,西,2,2
2018-01-20,1,4,晴,南西,2,2
2018-01-20,1,5,晴,南西,2,2
2018-01-20,1,6,晴,南西,1,1
2018-01-20,1,7,晴,南西,2,2
2018-01-20,1,8,晴,南西,1,1
2018-01-20,1,9,晴,南,1,1
2018-01-20,1,10,晴,南東,1,1
2018-01-20,1,11,晴,南東,1,1
2018-01-20,1,12,晴,北東,1,1
2018-01-21,2,1,晴,南西,2,2
2018-01-21,2,2,晴,南西,2,2
2018-01-21,2,3,晴,南西,2,2
2018-01-21,2,4,晴,南西,2,2
2018-01-21,2,5,晴,南西,2,2
2018-01-21,2,6,晴,南西,2,2
2018-01-21,2,7,晴,南西,2,2
2018-01-21,2,8,晴,南西,1,1
2018-01-21,2,9,晴,北,3,3
2018-01-21,2,10,晴,北,3,3
2018-01-21,2,11,晴,北,4,4
2018-01-21,2,12,晴,北,4,4
2018-01-22,3,1,雨,北,3,3
2018-01-22,3,2,雨,北,3,3
2018-01-22,3,3,雨,北,3,3
2018-01-22,3,4,雨,北,2,2
2018-01-22,3,5,曇り,東,2,2
2018-01-22,3,6,曇り,東,3,3
2018-01-22,3,7,曇り,南,2,2
2018-01-22,3,8,曇り,南西,1,1
2018-01-22,3,9,曇り,南西,2,2
2018-01-22,3,10,曇り,南,3,3
2018-01-22,3,11,曇り,南,2,2
2018-01-23,4,1,曇り,北西,7,7
2018-01-23,4,2,曇り,北西,7,7
2018-01-23,4,3,曇り,北西,8,8
2018-01-23,4,4,晴,北西,8,8
2018-01-23,4,5,晴,北西,7,7
2018-01-23,4,6,晴,北西,8,8
2018-01-23,4,7,曇り,北西,7,7
2018-01-23,4,8,曇り,北西,7,7
2018-01-23,4,9,曇り,北西,7,7
2018-01-23,4,10,曇り,北西,7,7
2018-01-23,4,11,曇り,北西,7,7
2018-01-23,4,12,曇り,北西,7,7
2018-01-24,5,1,晴,北西,8,8
2018-01-24,5,2,晴,北西,9,9
2018-01-24,5,3,晴,北西,9,9
2018-01-24,5,4,晴,北西,9,9
2018-01-24,5,5,晴,北西,9,9
2018-01-24,5,6,晴,北西,9,9
2018-01-25,6,2,晴,西,5,5
2018-01-25,6,3,晴,西,6,6
2018-01-25,6,4,晴,西,7,7
