開催日,日目,レース,天気,風向,風速,波高
2017-01-01,2,1,晴,南西,2,2
2017-01-01,2,2,晴,南西,2,2
2017-01-01,2,3,晴,南西,2,2
2017-01-01,2,4,晴,南西,2,2
2017-01-01,2,5,晴,南西,2,2
2017-01-01,2,6,晴,南,2,2
2017-01-01,2,7,晴,南東,3,3
2017-01-01,2,8,晴,南東,3,3
2017-01-01,2,9,晴,南東,3,3
2017-01-01,2,10,晴,南東,3,3
2017-01-01,2,11,晴,南東,3,3
2017-01-01,2,12,晴,南東,2,2
2017-01-02,3,1,晴,南西,1,1
2017-01-02,3,2,晴,南西,2,2
2017-01-02,3,3,晴,南西,4,4
2017-01-02,3,4,晴,南西,4,4
2017-01-02,3,5,晴,西,4,4
2017-01-02,3,6,晴,西,4,4
2017-01-02,3,7,晴,南西,4,4
2017-01-02,3,8,晴,西,5,5
2017-01-02,3,9,晴,西,5,5
2017-01-02,3,10,晴,西,5,5
2017-01-02,3,11,晴,西,5,5
2017-01-02,3,12,晴,西,5,5
2017-01-03,4,1,晴,南西,3,3
2017-01-03,4,2,晴,南西,2,2
2017-01-03,4,3,晴,南西,2,2
2017-01-03,4,4,晴,南西,2,2
2017-01-03,4,5,晴,南西,2,2
2017-01-03,4,6,晴,南西,2,2
2017-01-03,4,8,晴,南西,2,2
2017-01-03,4,9,晴,南西,1,1
2017-01-03,4,10,晴,南西,1,1
2017-01-03,4,11,晴,南東,1,1
2017-01-03,4,12,晴,南東,1,1
2017-01-04,5,1,晴,南西,3,3
2017-01-04,5,2,晴,南西,3,3
2017-01-04,5,3,晴,南西,3,3
2017-01-04,5,4,曇り,南西,3,3
2017-01-04,5,5,曇り,南西,2,2
2017-01-04,5,6,曇り,南西,2,2
2017-01-04,5,7,曇り,北西,4,4
2017-01-04,5,8,曇り,北西,4,4
2017-01-04,5,9,晴,北,5,5
2017-01-04,5,10,晴,北,4,4
2017-01-04,5,11,晴,北,4,4
2017-01-04,5,12,晴,北,3,3
2017-01-05,6,2,曇り,北西,5,5
2017-01-05,6,3,曇り,北,5,5
2017-01-05,6,4,曇り,北西,5,5
2017-01-05,6,5,晴,北西,6,6
2017-01-05,6,6,晴,北西,6,6
2017-01-05,6,7,晴,北西,6,6
2017-01-05,6,8,晴,北,6,6
2017-01-05,6,9,晴,北,6,6
2017-01-05,6,10,晴,北,6,6
2017-01-05,6,11,晴,北,5,5
2017-01-05,6,12,晴,北,5,5
2017-01-12,1,1,晴,南西,4,4
2017-01-12,1,2,晴,南西,4,4
2017-01-12,1,3,曇り,南西,4,4
2017-01-12,1,4,晴,南西,5,5
2017-01-12,1,5,曇り,南西,4,4
2017-01-12,1,6,曇り,南西,5,5
2017-01-12,1,7,曇り,西,6,6
2017-01-12,1,8,曇り,西,6,6
2017-01-12,1,9,晴,西,6,6
2017-01-12,1,10,晴,西,4,4
2017-01-12,1,11,晴,南西,4,4
2017-01-12,1,12,晴,南西,5,5
2017-01-13,2,1,曇り,北西,6,6
2017-01-13,2,2,晴,北西,6,6
