開催日,日目,レース,天気,風向,風速,波高
2014-01-01,3,2,晴,西,5,5
2014-01-01,3,3,晴,南西,4,4
2014-01-01,3,4,晴,南西,4,4
2014-01-01,3,5,晴,南西,4,4
2014-01-01,3,6,晴,南西,4,4
2014-01-01,3,7,晴,南西,4,4
2014-01-01,3,8,晴,西,4,4
2014-01-01,3,9,晴,西,5,5
2014-01-01,3,10,晴,西,4,4
2014-01-01,3,11,晴,西,5,5
2014-01-01,3,12,晴,西,5,5
2014-01-02,4,2,晴,南西,2,2
2014-01-02,4,3,晴,南西,2,2
2014-01-02,4,4,晴,南西,1,1
2014-01-02,4,5,晴,南,1,1
2014-01-02,4,6,晴,南,1,1
2014-01-02,4,7,晴,南西,1,1
2014-01-02,4,8,晴,南,1,1
2014-01-02,4,9,晴,南西,1,1
2014-01-02,4,10,晴,西,1,1
2014-01-02,4,11,晴,北西,2,2
2014-01-02,4,12,晴,北西,3,3
2014-01-03,5,1,晴,西,2,2
2014-01-03,5,2,晴,北西,1,1
2014-01-03,5,5,曇り,南,1,1
2014-01-03,5,6,曇り,南,2,2
2014-01-03,5,7,曇り,南,1,1
2014-01-03,5,8,曇り,南,1,1
2014-01-03,5,9,曇り,東,2,2
2014-01-03,5,10,曇り,南東,2,2
2014-01-03,5,11,曇り,南東,2,2
2014-01-03,5,12,曇り,南東,2,2
2014-01-04,6,1,曇り,北,4,4
2014-01-04,6,2,曇り,北,4,4
2014-01-04,6,3,曇り,北,4,4
2014-01-04,6,4,曇り,北西,5,5
2014-01-04,6,5,曇り,東,2,2
2014-01-04,6,6,曇り,北,1,1
2014-01-04,6,7,曇り,東,2,2
2014-01-04,6,8,曇り,東,2,2
2014-01-04,6,9,曇り,東,1,1
2014-01-04,6,10,曇り,東,1,1
2014-01-04,6,11,曇り,北,3,3
2014-01-04,6,12,曇り,北,5,5
2014-01-05,7,1,晴,東,2,2
2014-01-05,7,2,晴,東,2,2
2014-01-05,7,3,晴,南東,2,2
2014-01-05,7,5,晴,東,2,2
2014-01-05,7,6,晴,南東,1,1
2014-01-05,7,7,晴,南東,1,1
2014-01-05,7,9,晴,南東,1,1
2014-01-05,7,10,晴,東,1,1
2014-01-05,7,11,晴,東,2,2
2014-01-05,7,12,晴,南東,3,3
2014-01-08,1,1,雨,無風,0,0
2014-01-08,1,2,雨,北東,1,1
2014-01-08,1,3,雨,北,1,1
2014-01-08,1,4,雨,北東,1,1
2014-01-08,1,5,雨,東,1,1
2014-01-08,1,6,雨,北東,1,1
2014-01-08,1,7,雨,北,2,2
2014-01-08,1,8,雨,北東,1,1
2014-01-08,1,9,雨,北,2,2
2014-01-08,1,10,雨,北西,3,3
2014-01-08,1,11,雨,北西,3,3
2014-01-08,1,12,雨,北西,3,3
2014-01-09,2,1,曇り,北西,5,5
2014-01-09,2,2,曇り,北西,4,4
2014-01-09,2,3,曇り,北西,4,4
2014-01-09,2,4,曇り,北西,2,2
2014-01-09,2,5,雨,西,2,2
2014-01-09,2,6,曇り,北西,6,6
2014-01-09,2,7,曇り,北西,6,6
2014-01-09,2,8,曇り,北,7,7
2014-01-09,2,9,曇り,北西,6,6
2014-01-09,2,10,曇り,北西,6,6
2014-01-09,2,11,曇り,北西,6,6
2014-01-09,2,12,曇り,北西,5,5
2014-01-10,3,1,曇り,西,5,5
2014-01-10,3,2,晴,西,6,6
2014-01-10,3,3,曇り,西,5,5
2014-01-10,3,4,曇り,西,5,5
2014-01-10,3,5,曇り,西,6,6
2014-01-10,3,6,曇り,北西,6,6
2014-01-10,3,7,曇り,北西,4,4
2014-01-10,3,8,曇り,北西,5,5
2014-01-10,3,9,曇り,西,5,5
2014-01-10,3,10,曇り,北西,5,5
2014-01-10,3,11,曇り,北西,6,6
2014-01-10,3,12,曇り,西,5,5
2014-01-11,4,1,晴,西,2,2
2014-01-11,4,2,曇り,西,1,1
2014-01-11,4,3,曇り,北西,2,2
2014-01-11,4,4,曇り,北西,1,1
2014-01-11,4,5,曇り,北西,2,2
2014-01-11,4,7,曇り,西,2,2
2014-01-11,4,8,曇り,北西,2,2
2014-01-11,4,9,曇り,北西,2,2
2014-01-11,4,10,曇り,北西,3,3
2014-01-11,4,11,曇り,北西,2,2
2014-01-11,4,12,曇り,北西,3,3
2014-01-12,5,1,晴,西,5,5
2014-01-12,5,2,晴,北西,4,4
2014-01-12,5,3,晴,北西,3,3
2014-01-12,5,4,曇り,西,3,3
2014-01-12,5,5,曇り,西,4,4
2014-01-12,5,6,曇り,西,5,5
2014-01-12,5,7,曇り,北西,3,3
2014-01-12,5,8,曇り,北西,3,3
2014-01-12,5,9,曇り,西,4,4
2014-01-12,5,10,曇り,西,4,4
2014-01-12,5,11,曇り,西,6,6
2014-01-12,5,12,曇り,西,6,6
2014-01-15,1,1,曇り,南,2,2
2014-01-15,1,2,晴,南,3,3
2014-01-15,1,3,曇り,南西,3,3
2014-01-15,1,4,曇り,南,3,3
2014-01-15,1,5,曇り,南,2,2
2014-01-15,1,6,曇り,西,3,3
2014-01-15,1,7,曇り,西,4,4
2014-01-15,1,8,曇り,西,5,5
2014-01-15,1,9,曇り,北西,4,4
2014-01-15,1,10,曇り,北西,2,2
2014-01-15,1,11,曇り,北西,3,3
2014-01-15,1,12,曇り,北西,3,3
2014-01-16,2,1,曇り,南西,1,1
2014-01-16,2,2,曇り,南西,1,1
2014-01-16,2,3,晴,南西,1,1
2014-01-16,2,4,晴,南西,1,1
2014-01-16,2,5,曇り,南西,1,1
2014-01-16,2,6,曇り,南,1,1
