開催日,日目,レース,天気,風向,風速,波高
2019-01-01,4,1,曇り,南西,1,1
2019-01-01,4,2,曇り,南西,3,3
2019-01-01,4,3,曇り,南西,4,4
2019-01-01,4,4,曇り,南西,4,4
2019-01-01,4,5,曇り,南西,5,5
2019-01-01,4,6,曇り,南西,5,5
2019-01-01,4,7,曇り,南西,5,5
2019-01-01,4,8,曇り,南西,5,5
2019-01-01,4,9,曇り,南西,6,6
2019-01-01,4,10,曇り,南西,6,6
2019-01-01,4,11,曇り,西,7,7
2019-01-01,4,12,曇り,西,8,8
2019-01-02,5,1,晴,西,6,6
2019-01-02,5,2,晴,西,6,6
2019-01-02,5,3,晴,西,7,7
2019-01-02,5,4,晴,西,6,6
2019-01-02,5,5,晴,西,5,5
2019-01-02,5,6,晴,西,4,4
2019-01-02,5,7,晴,西,5,5
2019-01-02,5,8,晴,西,4,4
2019-01-02,5,9,晴,西,5,5
2019-01-02,5,10,晴,西,5,5
2019-01-02,5,11,晴,西,6,6
2019-01-02,5,12,晴,西,5,5
2019-01-03,6,1,曇り,南西,2,2
2019-01-03,6,2,曇り,南西,2,2
2019-01-03,6,3,晴,西,3,3
2019-01-03,6,4,晴,西,3,3
2019-01-03,6,5,晴,西,3,3
2019-01-03,6,6,晴,南西,2,2
2019-01-03,6,7,晴,南西,1,1
2019-01-03,6,8,晴,南,1,1
2019-01-03,6,9,晴,北西,3,3
2019-01-03,6,10,晴,北西,3,3
2019-01-03,6,11,晴,北西,4,4
2019-01-03,6,12,晴,北西,3,3
2019-01-08,1,1,晴,南西,2,2
2019-01-08,1,2,晴,南西,2,2
2019-01-08,1,3,晴,南西,2,2
2019-01-08,1,4,晴,南西,2,2
2019-01-08,1,5,晴,南西,2,2
2019-01-08,1,6,晴,南西,2,2
2019-01-08,1,7,晴,南西,2,2
2019-01-08,1,8,晴,南西,3,3
2019-01-08,1,9,晴,西,4,4
2019-01-08,1,10,晴,北西,5,5
2019-01-08,1,11,晴,北西,5,5
2019-01-08,1,12,晴,北西,6,6
2019-01-09,2,1,晴,北,3,3
2019-01-09,2,2,曇り,北,4,4
2019-01-09,2,3,曇り,北,4,4
2019-01-09,2,4,曇り,北,4,4
2019-01-09,2,5,曇り,北,2,2
2019-01-09,2,6,曇り,北,4,4
2019-01-09,2,7,曇り,北,3,3
2019-01-09,2,8,曇り,北,4,4
2019-01-09,2,9,曇り,北,3,3
2019-01-09,2,10,曇り,北,2,2
2019-01-09,2,11,曇り,北,2,2
2019-01-09,2,12,曇り,北,2,2
2019-01-10,3,1,曇り,西,2,2
2019-01-10,3,2,曇り,南西,2,2
2019-01-10,3,3,曇り,南西,1,1
2019-01-10,3,4,曇り,南西,1,1
2019-01-10,3,5,曇り,南西,1,1
2019-01-10,3,6,曇り,南西,2,2
2019-01-10,3,8,曇り,西,4,4
2019-01-10,3,9,曇り,南西,3,3
2019-01-10,3,10,曇り,南西,3,3
2019-01-10,3,11,曇り,南西,3,3
2019-01-10,3,12,曇り,南西,3,3
2019-01-11,4,1,曇り,北西,2,2
2019-01-11,4,2,曇り,北西,2,2
2019-01-11,4,3,曇り,北,2,2
2019-01-11,4,4,曇り,北,2,2
2019-01-11,4,5,曇り,北東,1,1
2019-01-11,4,6,曇り,東,1,1
2019-01-11,4,7,晴,東,1,1
2019-01-11,4,8,晴,東,1,1
2019-01-11,4,9,晴,東,1,1
2019-01-11,4,10,晴,東,1,1
2019-01-11,4,11,晴,北東,1,1
2019-01-11,4,12,晴,東,2,2
2019-01-12,5,1,雨,東,2,2
2019-01-12,5,2,曇り,北,2,2
2019-01-12,5,3,曇り,東,1,1
