開催日,日目,レース,天気,風向,風速,波高
2020-01-01,2,1,晴,南西,3,3
2020-01-01,2,2,晴,西,2,2
2020-01-01,2,4,晴,南西,2,2
2020-01-01,2,5,晴,南西,2,2
2020-01-01,2,7,晴,西,3,3
2020-01-01,2,8,晴,北西,3,3
2020-01-01,2,9,晴,北西,3,3
2020-01-01,2,10,晴,北西,2,2
2020-01-01,2,11,晴,北西,3,3
2020-01-01,2,12,晴,西,1,1
2020-01-02,3,1,曇り,南西,3,3
2020-01-02,3,2,晴,南西,2,2
2020-01-02,3,3,晴,南西,2,2
2020-01-02,3,4,晴,南西,2,2
2020-01-02,3,5,晴,南,2,2
2020-01-02,3,6,晴,南,1,1
2020-01-02,3,7,晴,南,1,1
2020-01-02,3,8,晴,西,1,1
2020-01-02,3,9,晴,南,1,1
2020-01-02,3,10,晴,南西,1,1
2020-01-02,3,11,晴,西,4,4
2020-01-02,3,12,晴,西,3,3
2020-01-03,4,1,晴,南西,3,3
2020-01-03,4,2,晴,西,3,3
2020-01-03,4,3,晴,南西,2,2
2020-01-03,4,4,晴,南西,2,2
2020-01-03,4,5,晴,南西,3,3
2020-01-03,4,6,晴,南西,3,3
2020-01-03,4,7,晴,南西,3,3
2020-01-03,4,8,晴,西,3,3
2020-01-03,4,9,晴,北西,4,4
2020-01-03,4,10,晴,西,5,5
2020-01-03,4,11,晴,西,4,4
2020-01-03,4,12,晴,北西,3,3
2020-01-04,5,1,晴,西,2,2
2020-01-04,5,2,晴,西,3,3
2020-01-04,5,3,晴,西,3,3
2020-01-04,5,4,晴,南西,4,4
2020-01-04,5,5,晴,南西,4,4
2020-01-04,5,6,晴,西,4,4
2020-01-04,5,7,晴,北西,6,6
2020-01-04,5,8,晴,西,6,6
2020-01-04,5,9,晴,西,7,7
2020-01-04,5,10,晴,西,8,8
2020-01-04,5,11,晴,西,6,6
2020-01-05,6,1,晴,北,2,2
2020-01-05,6,2,晴,北,4,4
2020-01-05,6,3,晴,北東,2,2
2020-01-05,6,4,晴,北,3,3
2020-01-05,6,5,晴,北,2,2
2020-01-05,6,6,晴,北,4,4
2020-01-05,6,7,晴,北,4,4
2020-01-05,6,8,晴,北,4,4
2020-01-05,6,9,晴,北,3,3
2020-01-05,6,10,晴,北,3,3
2020-01-05,6,11,晴,北,2,2
2020-01-05,6,12,晴,南東,2,2
2020-01-10,1,1,晴,南西,2,2
2020-01-10,1,2,晴,南西,1,1
2020-01-10,1,3,晴,西,1,1
2020-01-10,1,4,晴,北西,1,1
2020-01-10,1,5,晴,北西,1,1
2020-01-10,1,6,晴,北西,1,1
2020-01-10,1,7,晴,北西,1,1
2020-01-10,1,9,晴,北,2,2
2020-01-10,1,10,晴,北,3,3
2020-01-10,1,11,晴,北,3,3
2020-01-10,1,12,晴,北,2,2
2020-01-11,2,2,晴,西,1,1
2020-01-11,2,3,晴,南西,1,1
2020-01-11,2,4,晴,南,2,2
2020-01-11,2,5,晴,南,2,2
2020-01-11,2,6,晴,南,2,2
2020-01-11,2,7,晴,南,1,1
2020-01-11,2,8,晴,南東,1,1
2020-01-11,2,9,晴,南東,1,1
2020-01-11,2,10,晴,東,1,1
2020-01-11,2,11,晴,東,1,1
2020-01-11,2,12,晴,南東,1,1
2020-01-12,3,1,雨,北,1,1
2020-01-12,3,2,雨,南西,2,2
2020-01-12,3,3,曇り,南西,1,1
2020-01-12,3,4,曇り,西,1,1
2020-01-12,3,5,曇り,西,3,3
2020-01-12,3,6,曇り,西,3,3
2020-01-12,3,7,曇り,西,3,3
2020-01-12,3,8,曇り,西,4,4
2020-01-12,3,9,曇り,西,5,5
2020-01-12,3,10,曇り,西,3,3
2020-01-12,3,11,曇り,北西,4,4
2020-01-12,3,12,曇り,西,4,4
2020-01-13,4,1,晴,南西,4,4
2020-01-13,4,3,晴,南西,4,4
2020-01-13,4,4,晴,南西,4,4
2020-01-13,4,5,晴,西,5,5
2020-01-13,4,6,晴,西,4,4
2020-01-13,4,8,晴,西,4,4
2020-01-13,4,9,晴,北西,4,4
2020-01-13,4,10,晴,北西,4,4
2020-01-13,4,11,晴,西,3,3
2020-01-13,4,12,晴,北西,3,3
2020-01-16,1,1,晴,西,2,2
2020-01-16,1,2,曇り,西,2,2
2020-01-16,1,3,曇り,西,1,1
2020-01-16,1,4,曇り,南西,1,1
2020-01-16,1,5,曇り,南,1,1
2020-01-16,1,6,曇り,南,2,2
2020-01-16,1,7,曇り,南,2,2
2020-01-16,1,8,曇り,南,1,1
2020-01-16,1,9,曇り,南,2,2
2020-01-16,1,10,曇り,南東,2,2
2020-01-16,1,11,曇り,南東,1,1
2020-01-17,2,1,曇り,北,1,1
2020-01-17,2,2,曇り,北東,1,1
2020-01-17,2,3,曇り,東,2,2
2020-01-17,2,4,晴,南東,3,3
2020-01-17,2,5,晴,南東,2,2
2020-01-17,2,6,曇り,南東,1,1
2020-01-17,2,7,曇り,南東,2,2
2020-01-17,2,8,曇り,南東,3,3
2020-01-17,2,9,曇り,南東,1,1
2020-01-17,2,10,曇り,東,1,1
2020-01-17,2,11,曇り,北,1,1
2020-01-17,2,12,曇り,北東,1,1
2020-01-18,3,1,晴,西,3,3
2020-01-18,3,2,晴,西,3,3
2020-01-18,3,3,晴,北西,3,3
2020-01-18,3,4,晴,北,4,4
2020-01-18,3,5,晴,北,3,3
2020-01-18,3,6,晴,北西,4,4
2020-01-18,3,7,晴,北西,4,4
2020-01-18,3,9,晴,北,5,5
2020-01-18,3,10,晴,北西,4,4
2020-01-18,3,11,晴,北西,4,4
2020-01-18,3,12,晴,北西,3,3
2020-01-19,4,1,曇り,南西,3,3
2020-01-19,4,2,曇り,南西,2,2
2020-01-19,4,3,曇り,南西,2,2
2020-01-19,4,4,曇り,南西,2,2
2020-01-19,4,5,曇り,南,3,3
2020-01-19,4,6,曇り,南西,4,4
2020-01-19,4,8,曇り,南西,4,4
2020-01-19,4,9,晴,南西,5,5
2020-01-19,4,10,晴,南西,6,6
2020-01-19,4,11,晴,南西,5,5
2020-01-20,5,1,晴,南西,4,4
2020-01-20,5,2,晴,南西,4,4
2020-01-20,5,3,晴,南西,4,4
2020-01-20,5,4,晴,南西,5,5
2020-01-20,5,5,曇り,南西,5,5
2020-01-20,5,6,曇り,南西,5,5
2020-01-20,5,7,曇り,西,4,4
2020-01-20,5,8,曇り,西,4,4
2020-01-20,5,9,曇り,西,4,4
2020-01-20,5,10,曇り,西,3,3
2020-01-20,5,11,曇り,西,3,3
2020-01-23,1,1,曇り,南西,1,1
2020-01-23,1,2,曇り,南西,2,2
2020-01-23,1,4,曇り,南,1,1
2020-01-23,1,5,曇り,南,1,1
2020-01-23,1,6,曇り,北西,1,1
2020-01-23,1,7,曇り,北東,1,1
2020-01-23,1,8,曇り,北,1,1
2020-01-23,1,9,曇り,北西,1,1
2020-01-23,1,11,雨,北西,1,1
2020-01-23,1,12,雨,北,1,1
2020-01-24,2,1,曇り,北,2,2
2020-01-24,2,2,曇り,北,2,2
2020-01-24,2,3,曇り,北,2,2
2020-01-24,2,4,曇り,北,2,2
2020-01-24,2,5,曇り,北,1,1
2020-01-24,2,6,曇り,北東,1,1
2020-01-24,2,7,曇り,北東,1,1
2020-01-24,2,8,曇り,北東,1,1
2020-01-24,2,9,曇り,北,2,2
2020-01-24,2,10,曇り,北,4,4
2020-01-24,2,11,曇り,北,4,4
2020-01-24,2,12,曇り,北,3,3
2020-01-25,3,1,曇り,北東,2,2
2020-01-25,3,2,曇り,東,3,3
2020-01-25,3,3,曇り,東,2,2
2020-01-25,3,6,曇り,東,1,1
2020-01-25,3,7,曇り,東,2,2
2020-01-25,3,8,雨,東,2,2
2020-01-25,3,10,曇り,東,3,3
2020-01-25,3,11,曇り,南東,3,3
2020-01-25,3,12,雨,東,2,2
2020-01-26,4,2,曇り,東,2,2
2020-01-26,4,3,曇り,南東,2,2
2020-01-26,4,4,曇り,南東,2,2
2020-01-26,4,5,曇り,東,3,3
2020-01-26,4,6,曇り,南東,3,3
2020-01-26,4,7,曇り,東,3,3
2020-01-26,4,9,曇り,北東,1,1
2020-01-26,4,11,曇り,北東,4,4
2020-01-26,4,12,曇り,北東,3,3
2020-01-27,5,1,曇り,東,5,5
2020-01-27,5,2,雨,北東,5,5
2020-01-27,5,3,雨,北東,5,5
2020-01-27,5,5,曇り,北東,6,6
2020-01-27,5,7,曇り,北東,6,6
2020-01-27,5,8,雨,北東,7,7
2020-01-27,5,9,雨,北東,6,6
2020-01-27,5,10,雨,北東,7,7
2020-01-27,5,11,雨,北東,7,7
2020-01-27,5,12,雨,北東,6,6
2020-01-28,6,1,曇り,南西,2,2
2020-01-28,6,2,曇り,南西,2,2
2020-01-28,6,3,曇り,南西,3,3
2020-01-28,6,4,曇り,南西,2,2
2020-01-28,6,5,曇り,南,2,2
2020-01-28,6,6,曇り,南西,2,2
2020-01-28,6,7,曇り,南西,2,2
2020-01-28,6,8,曇り,南西,2,2
2020-01-28,6,9,曇り,南,2,2
2020-01-28,6,10,曇り,南西,1,1
2020-01-28,6,11,曇り,南,1,1
2020-01-28,6,12,曇り,南,1,1
2020-02-01,1,1,晴,西,1,1
2020-02-01,1,2,晴,南西,2,2
2020-02-01,1,4,晴,南西,1,1
2020-02-01,1,5,晴,南西,1,1
2020-02-01,1,6,晴,西,1,1
2020-02-01,1,7,晴,南西,1,1
2020-02-01,1,8,晴,南,1,1
2020-02-01,1,9,晴,南,1,1
2020-02-01,1,10,晴,南,1,1
2020-02-01,1,11,晴,南東,1,1
2020-02-01,1,12,晴,南東,2,2
2020-02-02,2,1,晴,西,1,1
2020-02-02,2,2,晴,西,1,1
2020-02-02,2,3,晴,南西,1,1
2020-02-02,2,4,晴,南西,1,1
2020-02-02,2,5,晴,南西,1,1
2020-02-02,2,6,晴,南西,2,2
2020-02-02,2,7,晴,南,1,1
2020-02-02,2,8,晴,南,2,2
2020-02-02,2,9,晴,南,3,3
2020-02-02,2,10,晴,南東,2,2
2020-02-02,2,11,晴,南東,2,2
2020-02-02,2,12,晴,南東,2,2
2020-02-03,3,1,晴,南西,2,2
2020-02-03,3,3,曇り,西,3,3
2020-02-03,3,4,曇り,西,4,4
2020-02-03,3,5,曇り,西,4,4
2020-02-03,3,6,曇り,西,4,4
2020-02-03,3,7,晴,西,5,5
2020-02-03,3,8,晴,西,6,6
2020-02-03,3,9,晴,北西,4,4
2020-02-03,3,10,晴,北西,4,4
2020-02-03,3,11,晴,北西,4,4
2020-02-03,3,12,晴,北西,4,4
2020-02-04,4,2,晴,南西,2,2
2020-02-04,4,3,晴,南西,2,2
2020-02-04,4,4,晴,南,2,2
2020-02-04,4,5,晴,南西,2,2
2020-02-04,4,6,晴,南,1,1
2020-02-04,4,7,晴,南西,1,1
2020-02-04,4,8,晴,南,1,1
2020-02-04,4,9,晴,東,1,1
2020-02-04,4,10,晴,南東,1,1
2020-02-04,4,11,晴,南東,2,2
2020-02-04,4,12,晴,南東,1,1
2020-02-05,5,1,晴,西,7,7
2020-02-05,5,2,晴,西,7,7
2020-02-05,5,4,晴,西,6,6
2020-02-05,5,5,晴,西,6,6
2020-02-05,5,6,晴,西,7,7
2020-02-05,5,7,晴,西,7,7
2020-02-05,5,8,晴,北西,7,7
2020-02-05,5,9,晴,西,6,6
2020-02-05,5,11,晴,北西,7,7
2020-02-05,5,12,晴,北西,7,7
2020-02-08,1,1,曇り,西,6,6
2020-02-08,1,2,晴,西,5,5
2020-02-08,1,4,晴,西,5,5
2020-02-08,1,5,晴,西,6,6
2020-02-08,1,6,晴,西,6,6
2020-02-08,1,7,晴,西,7,7
2020-02-08,1,8,晴,西,7,7
2020-02-08,1,9,晴,西,7,7
2020-02-08,1,10,晴,西,5,5
2020-02-08,1,11,晴,西,6,6
2020-02-08,1,12,晴,西,6,6
2020-02-09,2,1,晴,南,2,2
2020-02-09,2,2,晴,南西,1,1
2020-02-09,2,4,晴,西,1,1
2020-02-09,2,5,晴,西,2,2
2020-02-09,2,6,晴,南西,1,1
