開催日,日目,レース,天気,風向,風速,波高
2022-01-01,3,2,晴,南西,1,1
2022-01-01,3,3,晴,南西,1,1
2022-01-01,3,4,晴,南,1,1
2022-01-01,3,5,晴,南,1,1
2022-01-01,3,6,晴,南,1,1
2022-01-01,3,7,晴,南東,1,1
2022-01-01,3,8,晴,南東,1,1
2022-01-01,3,9,晴,南東,2,2
2022-01-01,3,10,晴,南東,1,1
2022-01-01,3,11,晴,南東,1,1
2022-01-01,3,12,晴,東,1,1
2022-01-02,4,1,晴,南西,4,4
2022-01-02,4,2,晴,南西,4,4
2022-01-02,4,3,晴,南西,4,4
2022-01-02,4,4,晴,南西,4,4
2022-01-02,4,5,晴,南西,4,4
2022-01-02,4,6,晴,南西,4,4
2022-01-02,4,7,晴,西,3,3
2022-01-02,4,8,雨,北西,4,4
2022-01-02,4,9,晴,北西,3,3
2022-01-02,4,10,晴,北西,3,3
2022-01-02,4,11,晴,北西,4,4
2022-01-02,4,12,晴,西,3,3
2022-01-03,5,2,晴,南西,3,3
2022-01-03,5,4,晴,南西,3,3
2022-01-03,5,6,晴,南西,3,3
2022-01-03,5,7,晴,南西,3,3
2022-01-03,5,8,晴,南西,3,3
2022-01-03,5,10,晴,南西,3,3
2022-01-03,5,11,晴,南西,3,3
2022-01-03,5,12,晴,南西,2,2
2022-01-04,6,1,晴,西,4,4
2022-01-04,6,2,晴,西,5,5
2022-01-04,6,3,晴,西,6,6
2022-01-04,6,4,晴,北西,4,4
2022-01-04,6,5,晴,北西,3,3
2022-01-04,6,6,晴,北西,4,4
2022-01-04,6,7,晴,西,4,4
2022-01-04,6,8,晴,北西,5,5
2022-01-04,6,9,晴,北西,4,4
2022-01-04,6,10,晴,北西,3,3
2022-01-04,6,11,晴,北西,3,3
2022-01-08,1,1,晴,北西,1,1
2022-01-08,1,3,晴,西,1,1
2022-01-08,1,4,晴,南西,1,1
2022-01-08,1,5,晴,南西,1,1
2022-01-08,1,7,晴,南西,1,1
