開催日,日目,レース,艇,着,登番,モーター,ボート,展示,3連単オッズ
2023-01-01,4,2,2,1,3949,64,8,6.88,15.9
2023-01-01,4,2,4,2,4895,15,23,6.84,15.9
2023-01-01,4,2,3,3,4982,55,16,6.85,15.9
2023-01-01,4,2,1,4,4984,17,3,6.87,15.9
2023-01-01,4,2,6,5,3243,14,13,6.91,15.9
2023-01-01,4,2,5,6,5202,53,50,6.84,15.9
2023-01-01,4,3,1,1,4229,16,63,6.81,7.2
2023-01-01,4,3,2,2,4815,47,53,6.73,7.2
2023-01-01,4,3,3,3,3892,52,60,6.74,7.2
2023-01-01,4,3,4,4,5188,28,58,6.6,7.2
2023-01-01,4,3,5,5,5204,65,5,6.79,7.2
2023-01-01,4,3,6,6,4323,60,11,6.89,7.2
2023-01-01,4,4,4,1,5217,51,46,6.79,24.2
2023-01-01,4,4,1,2,4380,18,6,6.74,24.2
2023-01-01,4,4,2,3,4421,46,41,6.75,24.2
2023-01-01,4,4,3,4,3808,32,56,6.88,24.2
2023-01-01,4,4,5,5,4365,24,55,6.79,24.2
2023-01-01,4,4,6,6,5264,49,26,6.74,24.2
2023-01-01,4,5,4,1,3970,66,20,6.85,137.0
2023-01-01,4,5,5,2,4970,48,31,6.87,137.0
2023-01-01,4,5,1,3,4965,19,7,6.72,137.0
2023-01-01,4,5,3,4,4078,58,32,6.77,137.0
2023-01-01,4,5,2,5,5195,12,25,6.75,137.0
2023-01-01,4,5,6,6,4712,56,30,6.82,137.0
2023-01-01,4,6,1,1,3753,63,27,6.71,6.4
2023-01-01,4,6,2,2,4998,23,57,6.69,6.4
2023-01-01,4,6,3,3,3981,57,47,6.77,6.4
2023-01-01,4,6,5,4,4982,55,16,6.79,6.4
2023-01-01,4,6,6,5,5249,20,65,6.7,6.4
2023-01-01,4,6,4,6,5202,53,50,6.76,6.4
2023-01-01,4,7,5,1,5255,31,54,6.74,1584.5
2023-01-01,4,7,4,2,3892,52,60,6.71,1584.5
2023-01-01,4,7,1,3,4675,34,62,6.67,1584.5
2023-01-01,4,7,3,4,3506,54,2,6.67,1584.5
2023-01-01,4,7,2,5,3568,61,39,6.71,1584.5
2023-01-01,4,7,6,6,4895,15,23,6.67,1584.5
2023-01-01,4,8,4,1,3949,64,8,6.71,121.8
2023-01-01,4,8,3,2,4365,24,55,6.65,121.8
2023-01-01,4,8,1,3,3543,30,10,6.67,121.8
2023-01-01,4,8,5,4,4323,60,11,6.72,121.8
2023-01-01,4,8,6,5,5204,65,5,6.7,121.8
2023-01-01,4,8,2,6,5025,26,64,6.74,121.8
2023-01-01,4,10,1,1,4078,58,32,6.72,13.7
2023-01-01,4,10,2,2,5217,51,46,6.68,13.7
2023-01-01,4,10,3,3,4421,46,41,6.7,13.7
2023-01-01,4,10,6,4,4229,16,63,6.81,13.7
2023-01-01,4,10,5,5,4815,47,53,6.73,13.7
2023-01-01,4,10,4,6,3981,57,47,6.62,13.7
2023-01-01,4,11,5,1,4675,34,62,6.7,64.1
2023-01-01,4,11,1,2,3568,61,39,6.71,64.1
2023-01-01,4,11,2,3,3543,30,10,6.63,64.1
2023-01-01,4,11,4,4,3808,32,56,6.75,64.1
2023-01-01,4,11,6,5,4380,18,6,6.69,64.1
