開催日,日目,レース,艇,着,登番,モーター,ボート,展示,3連単オッズ
2021-01-01,2,1,1,1,4852,2,7,6.77,9.8
2021-01-01,2,1,3,2,4511,41,1,6.84,9.8
2021-01-01,2,1,4,3,4931,34,25,6.75,9.8
2021-01-01,2,1,6,4,5059,3,27,6.87,9.8
2021-01-01,2,1,5,5,5032,66,50,6.8,9.8
2021-01-01,2,1,2,6,4894,62,63,6.77,9.8
2021-01-01,2,2,3,1,4821,32,15,6.74,15.9
2021-01-01,2,2,1,2,3660,30,55,6.71,15.9
2021-01-01,2,2,2,3,3753,31,38,6.84,15.9
2021-01-01,2,2,5,4,4010,38,24,6.75,15.9
2021-01-01,2,2,6,5,3234,44,51,6.62,15.9
2021-01-01,2,2,4,6,4185,40,28,6.71,15.9
2021-01-01,2,3,3,1,4452,13,43,6.77,20.2
2021-01-01,2,3,2,2,4220,29,36,6.74,20.2
2021-01-01,2,3,6,3,4776,43,59,6.68,20.2
2021-01-01,2,3,1,4,3855,11,32,6.7,20.2
2021-01-01,2,3,4,5,3187,64,16,6.88,20.2
2021-01-01,2,3,5,6,4946,61,29,6.8,20.2
2021-01-01,2,4,6,1,3064,60,17,6.79,264.9
2021-01-01,2,4,4,2,3568,8,4,6.82,264.9
2021-01-01,2,4,1,3,3710,10,61,6.73,264.9
2021-01-01,2,4,5,4,3849,33,23,6.82,264.9
2021-01-01,2,4,3,5,3701,27,10,6.9,264.9
2021-01-01,2,4,2,6,3553,37,58,6.84,264.9
2021-01-01,2,5,5,1,3541,35,5,6.85,38.3
2021-01-01,2,5,1,2,4529,36,64,6.74,38.3
2021-01-01,2,5,6,3,3543,65,57,6.85,38.3
2021-01-01,2,5,4,4,3832,12,52,6.77,38.3
2021-01-01,2,5,3,5,5059,3,27,6.79,38.3
2021-01-01,2,5,2,6,4034,1,3,6.79,38.3
2021-01-01,2,6,1,1,3401,4,62,6.77,7.0
2021-01-01,2,6,3,2,4348,46,13,6.8,7.0
2021-01-01,2,6,4,3,4772,7,22,6.76,7.0
2021-01-01,2,6,6,4,3753,31,38,6.83,7.0
2021-01-01,2,6,5,5,5037,6,40,6.84,7.0
2021-01-01,2,6,2,6,5032,66,50,6.79,7.0
2021-01-01,2,7,1,1,4331,63,56,6.75,11.8
2021-01-01,2,7,2,2,4452,13,43,6.76,11.8
2021-01-01,2,7,6,3,4030,9,19,6.76,11.8
2021-01-01,2,7,4,4,3660,30,55,6.74,11.8
2021-01-01,2,7,3,5,4643,28,39,6.77,11.8
2021-01-01,2,7,5,6,5043,5,11,6.75,11.8
2021-01-01,2,8,1,1,4739,39,53,6.78,19.9
2021-01-01,2,8,4,2,4220,29,36,6.83,19.9
2021-01-01,2,8,5,3,4511,41,1,6.77,19.9
2021-01-01,2,8,2,4,3064,60,17,6.79,19.9
2021-01-01,2,8,6,5,4010,38,24,6.79,19.9
2021-01-01,2,8,3,6,3578,14,37,6.84,19.9
2021-01-01,2,9,2,1,4459,47,48,6.86,29.9
2021-01-01,2,9,1,2,3568,8,4,6.72,29.9
2021-01-01,2,9,6,3,4154,45,14,6.71,29.9
2021-01-01,2,9,4,4,3541,35,5,6.74,29.9
2021-01-01,2,9,3,5,3187,64,16,6.85,29.9
2021-01-01,2,9,5,6,3234,44,51,6.75,29.9
2021-01-01,2,10,3,1,4894,62,63,6.76,116.0
2021-01-01,2,10,1,2,3832,12,52,6.66,116.0
2021-01-01,2,10,6,3,4348,46,13,6.77,116.0
2021-01-01,2,10,2,4,3849,33,23,6.78,116.0
2021-01-01,2,10,4,5,4946,61,29,6.8,116.0
2021-01-01,2,10,5,6,4185,40,28,6.77,116.0
2021-01-01,2,11,2,1,4776,43,59,6.73,28.0
2021-01-01,2,11,1,2,4772,7,22,6.69,28.0
2021-01-01,2,11,3,3,3543,65,57,6.81,28.0
2021-01-01,2,11,5,4,4030,9,19,6.76,28.0
2021-01-01,2,11,6,5,4931,34,25,6.8,28.0
2021-01-01,2,11,4,6,3701,27,10,6.8,28.0
2021-01-01,2,12,2,1,4643,28,39,6.77,37.3
2021-01-01,2,12,1,2,4459,47,48,6.72,37.3
2021-01-01,2,12,3,3,4739,39,53,6.78,37.3
2021-01-01,2,12,4,4,3401,4,62,6.74,37.3
2021-01-01,2,12,5,5,4852,2,7,6.76,37.3
2021-01-01,2,12,6,6,3553,37,58,6.76,37.3
2021-01-02,3,1,1,1,3553,37,58,6.65,53.0
2021-01-02,3,1,3,2,5037,6,40,6.73,53.0
2021-01-02,3,1,6,3,3541,35,5,6.7,53.0
2021-01-02,3,1,2,4,3578,14,37,6.7,53.0
2021-01-02,3,1,5,5,3401,4,62,6.71,53.0
2021-01-02,3,1,4,6,5058,15,12,6.81,53.0
2021-01-02,3,2,1,1,3701,27,10,6.73,34.2
2021-01-02,3,2,3,2,5043,5,11,6.75,34.2
2021-01-02,3,2,6,3,3710,10,61,6.78,34.2
2021-01-02,3,2,2,4,3855,11,32,6.69,34.2
2021-01-02,3,2,4,5,5032,66,50,6.79,34.2
2021-01-02,3,2,5,6,4529,36,64,6.71,34.2
2021-01-02,3,3,1,1,4821,32,15,6.69,63.6
2021-01-02,3,3,5,2,3753,31,38,6.8,63.6
2021-01-02,3,3,2,3,4331,63,56,6.73,63.6
2021-01-02,3,3,4,4,4348,46,13,6.74,63.6
2021-01-02,3,3,3,5,4931,34,25,6.75,63.6
2021-01-02,3,3,6,6,3568,8,4,6.8,63.6
2021-01-02,3,5,4,1,4452,13,43,6.69,80.2
2021-01-02,3,5,5,2,4772,7,22,6.68,80.2
2021-01-02,3,5,3,3,5058,15,12,6.76,80.2
2021-01-02,3,5,1,4,4511,41,1,6.66,80.2
2021-01-02,3,5,2,5,4185,40,28,6.73,80.2
2021-01-02,3,5,6,6,4643,28,39,6.74,80.2
2021-01-02,3,7,4,1,4030,9,19,6.72,11.0
2021-01-02,3,7,5,2,4459,47,48,6.81,11.0
2021-01-02,3,7,6,3,4529,36,64,6.73,11.0
2021-01-02,3,7,2,4,4010,38,24,6.76,11.0
2021-01-02,3,7,1,5,4931,34,25,6.71,11.0
2021-01-02,3,7,3,6,4946,61,29,6.79,11.0
2021-01-02,3,8,4,1,3832,12,52,6.76,61.9
2021-01-02,3,8,2,2,3401,4,62,6.73,61.9
2021-01-02,3,8,1,3,4348,46,13,6.69,61.9
2021-01-02,3,8,6,4,3855,11,32,6.75,61.9
2021-01-02,3,8,5,5,4034,1,3,6.81,61.9
2021-01-02,3,8,3,6,3660,30,55,6.77,61.9
2021-01-02,3,9,1,1,4776,43,59,6.66,16.0
2021-01-02,3,9,5,2,4821,32,15,6.75,16.0
2021-01-02,3,9,3,3,3541,35,5,6.82,16.0
2021-01-02,3,9,2,4,3710,10,61,6.76,16.0
2021-01-02,3,9,6,5,4154,45,14,6.66,16.0
2021-01-02,3,9,4,6,3775,16,20,6.7,16.0
2021-01-02,3,10,1,1,3849,33,23,6.67,48.2
2021-01-02,3,10,4,2,5043,5,11,6.76,48.2
2021-01-02,3,10,2,3,4772,7,22,6.64,48.2
2021-01-02,3,10,5,4,3578,14,37,6.72,48.2
2021-01-02,3,10,6,5,4331,63,56,6.78,48.2
2021-01-02,3,10,3,6,3064,60,17,6.71,48.2
2021-01-02,3,11,3,1,3568,8,4,6.71,570.4
2021-01-02,3,11,2,2,4739,39,21,6.77,570.4
2021-01-02,3,11,6,3,4452,13,43,6.83,570.4
2021-01-02,3,11,5,4,3543,65,57,6.81,570.4
2021-01-02,3,11,1,5,4459,47,48,6.68,570.4
2021-01-02,3,11,4,6,5037,6,40,6.71,570.4
2021-01-02,3,12,1,1,4030,9,19,6.71,70.5
2021-01-02,3,12,6,2,4220,29,36,6.73,70.5
2021-01-02,3,12,2,3,3832,12,52,6.7,70.5
2021-01-02,3,12,4,4,4776,43,59,6.76,70.5
2021-01-02,3,12,3,5,4852,2,7,6.72,70.5
2021-01-02,3,12,5,6,4643,28,39,6.74,70.5
2021-01-03,4,2,1,1,4185,40,28,6.7,46.5
2021-01-03,4,2,3,2,4034,1,3,6.73,46.5
2021-01-03,4,2,5,3,3187,64,16,6.87,46.5
2021-01-03,4,2,4,4,3660,30,55,6.8,46.5
2021-01-03,4,2,2,5,3775,16,20,6.67,46.5
2021-01-03,4,2,6,6,5059,3,27,6.73,46.5
2021-01-03,4,3,2,1,4348,46,13,6.63,12.3
2021-01-03,4,3,6,2,4776,43,59,6.77,12.3
2021-01-03,4,3,3,3,4331,63,56,6.71,12.3
2021-01-03,4,3,4,4,4010,38,24,6.8,12.3
2021-01-03,4,3,1,5,4946,61,29,6.66,12.3
2021-01-03,4,3,5,6,3701,27,10,6.79,12.3
2021-01-03,4,4,3,1,3710,10,61,6.73,304.6
2021-01-03,4,4,2,2,3578,14,37,6.66,304.6
2021-01-03,4,4,1,3,5043,5,11,6.58,304.6
2021-01-03,4,4,4,4,3543,65,57,6.78,304.6
2021-01-03,4,4,5,5,4452,13,43,6.75,304.6
2021-01-03,4,4,6,6,4030,9,19,6.75,304.6
2021-01-03,4,5,3,1,3541,35,5,6.76,20.1
2021-01-03,4,5,1,2,4894,62,63,6.66,20.1
2021-01-03,4,5,4,3,3064,60,17,6.79,20.1
2021-01-03,4,5,5,4,3753,31,38,6.83,20.1
2021-01-03,4,5,6,5,4459,47,48,6.83,20.1
2021-01-03,4,5,2,6,4511,41,1,6.69,20.1
2021-01-03,4,6,5,1,3775,16,20,6.78,1230.9
2021-01-03,4,6,4,2,3832,12,52,6.74,1230.9
2021-01-03,4,6,2,3,3234,44,51,6.69,1230.9
2021-01-03,4,6,1,4,4739,39,21,6.69,1230.9
2021-01-03,4,6,3,5,4772,7,22,6.68,1230.9
2021-01-03,4,6,6,6,5032,66,50,6.76,1230.9
2021-01-03,4,7,1,1,3568,8,4,6.73,52.1
2021-01-03,4,7,3,2,3701,27,10,6.74,52.1
2021-01-03,4,7,4,3,3553,37,58,6.77,52.1
2021-01-03,4,7,5,4,3855,11,32,6.75,52.1
2021-01-03,4,7,2,5,4643,28,39,6.79,52.1
2021-01-03,4,7,6,6,4154,45,14,6.72,52.1
2021-01-03,4,8,1,1,4220,29,36,6.71,5.7
2021-01-03,4,8,2,2,4931,34,25,6.6,5.7
2021-01-03,4,8,4,3,3849,33,23,6.77,5.7
2021-01-03,4,8,5,4,5058,15,12,6.78,5.7
2021-01-03,4,8,3,5,4529,36,64,6.77,5.7
2021-01-03,4,8,6,6,5037,6,40,6.82,5.7
2021-01-03,4,9,1,1,4459,47,48,6.69,7.6
2021-01-03,4,9,4,2,3541,35,5,6.7,7.6
2021-01-03,4,9,2,3,4821,32,15,6.7,7.6
2021-01-03,4,9,3,4,3543,65,57,6.74,7.6
2021-01-03,4,9,5,5,5043,5,11,6.77,7.6
2021-01-03,4,9,6,6,3401,4,62,6.76,7.6
2021-01-03,4,10,1,1,4030,9,19,6.66,5.9
2021-01-03,4,10,2,2,4452,13,43,6.68,5.9
2021-01-03,4,10,3,3,3064,60,17,6.7,5.9
2021-01-03,4,10,5,4,4348,46,13,6.75,5.9
2021-01-03,4,10,6,5,4739,39,21,6.81,5.9
2021-01-03,4,10,4,6,4331,63,56,6.78,5.9
2021-01-03,4,11,4,1,4772,7,22,6.62,30.7
2021-01-03,4,11,1,2,4776,43,59,6.66,30.7
2021-01-03,4,11,2,3,4220,29,36,6.69,30.7
2021-01-03,4,11,5,4,4643,28,39,6.75,30.7
2021-01-03,4,11,3,5,3832,12,52,6.66,30.7
2021-01-03,4,11,6,6,4894,62,63,6.73,30.7
2021-01-03,4,12,1,1,3849,33,23,6.74,6.4
2021-01-03,4,12,3,2,4852,2,7,6.71,6.4
2021-01-03,4,12,6,3,4931,34,25,6.69,6.4
2021-01-03,4,12,2,4,3753,31,38,6.76,6.4
2021-01-03,4,12,5,5,3660,30,55,6.77,6.4
2021-01-03,4,12,4,6,5032,66,50,6.8,6.4
2021-01-04,5,1,4,1,4185,40,28,6.87,210.1
2021-01-04,5,1,1,2,4931,34,25,6.75,210.1
2021-01-04,5,1,6,3,3578,14,37,6.88,210.1
2021-01-04,5,1,5,4,3234,44,51,6.9,210.1
2021-01-04,5,1,2,5,4034,1,3,6.86,210.1
