開催日,日目,レース,艇,着,登番,モーター,ボート,展示,3連単オッズ
2018-01-01,3,1,1,1,4776,38,14,6.63,6.0
2018-01-01,3,1,3,2,4852,35,21,6.75,6.0
2018-01-01,3,1,2,3,4821,33,7,6.58,6.0
2018-01-01,3,1,5,4,4931,8,23,6.72,6.0
2018-01-01,3,1,6,5,4946,66,10,6.71,6.0
2018-01-01,3,1,4,6,4894,23,38,6.59,6.0
2018-01-01,3,2,3,1,3753,9,58,6.69,33.4
2018-01-01,3,2,6,2,3478,24,52,6.74,33.4
2018-01-01,3,2,4,3,3701,50,26,6.69,33.4
2018-01-01,3,2,1,4,3660,6,39,6.63,33.4
2018-01-01,3,2,5,5,2698,63,28,6.69,33.4
2018-01-01,3,2,2,6,3189,2,51,6.62,33.4
2018-01-01,3,3,1,1,3234,65,18,6.69,123.8
2018-01-01,3,3,2,2,4185,31,46,6.69,123.8
2018-01-01,3,3,3,3,4437,27,30,6.75,123.8
2018-01-01,3,3,5,4,3568,11,44,6.66,123.8
2018-01-01,3,3,4,5,4739,12,45,6.66,123.8
2018-01-01,3,3,6,6,3187,30,25,6.71,123.8
2018-01-01,3,4,1,1,3710,26,3,6.64,12.2
2018-01-01,3,4,3,2,3975,46,48,6.66,12.2
2018-01-01,3,4,6,3,4260,7,43,6.71,12.2
2018-01-01,3,4,5,4,3837,1,57,6.72,12.2
2018-01-01,3,4,4,5,4772,45,66,6.7,12.2
2018-01-01,3,4,2,6,3855,34,63,6.59,12.2
2018-01-01,3,5,2,1,4221,29,36,6.63,53.9
2018-01-01,3,5,3,2,4030,36,55,6.67,53.9
2018-01-01,3,5,1,3,3064,40,40,6.64,53.9
2018-01-01,3,5,6,4,3553,39,6,6.76,53.9
2018-01-01,3,5,5,5,4020,48,64,6.69,53.9
2018-01-01,3,5,4,6,4154,60,15,6.73,53.9
2018-01-01,3,6,4,1,4459,10,29,6.77,33.5
2018-01-01,3,6,1,2,4529,25,8,6.6,33.5
