開催日,日目,レース,艇,着,登番,モーター,ボート,展示,3連単オッズ
2020-01-01,2,1,1,1,4452,1,14,6.63,16.2
2020-01-01,2,1,3,2,4821,36,18,6.73,16.2
2020-01-01,2,1,6,3,4931,41,61,6.73,16.2
2020-01-01,2,1,4,4,4852,31,31,6.8,16.2
2020-01-01,2,1,2,5,4511,27,17,6.7,16.2
2020-01-01,2,1,5,6,4894,60,55,6.73,16.2
2020-01-01,2,2,1,1,3234,40,40,6.74,106.3
2020-01-01,2,2,4,2,3710,33,19,6.8,106.3
2020-01-01,2,2,5,3,5037,30,44,6.81,106.3
2020-01-01,2,2,3,4,3478,10,59,6.79,106.3
2020-01-01,2,2,6,5,4221,61,58,6.77,106.3
2020-01-01,2,2,2,6,4185,28,21,6.73,106.3
2020-01-01,2,4,2,1,4154,57,33,6.79,15.5
2020-01-01,2,4,3,2,3578,39,4,6.79,15.5
2020-01-01,2,4,5,3,3541,7,26,6.81,15.5
2020-01-01,2,4,6,4,4776,25,24,6.73,15.5
2020-01-01,2,4,1,5,4946,2,7,6.83,15.5
2020-01-01,2,4,4,6,3660,64,37,6.79,15.5
2020-01-01,2,5,1,1,4348,26,2,6.82,74.1
2020-01-01,2,5,3,2,4643,37,22,6.79,74.1
2020-01-01,2,5,5,3,5032,6,60,6.82,74.1
2020-01-01,2,5,4,4,4739,59,47,6.73,74.1
2020-01-01,2,5,2,5,4034,9,54,6.79,74.1
2020-01-01,2,5,6,6,3187,11,13,6.86,74.1
2020-01-01,2,7,5,1,4459,38,52,6.78,37.1
2020-01-01,2,7,1,2,3553,34,20,6.84,37.1
2020-01-01,2,7,2,3,4331,63,9,6.83,37.1
2020-01-01,2,7,4,4,3849,8,3,6.92,37.1
2020-01-01,2,7,6,5,3710,33,19,6.84,37.1
2020-01-01,2,7,3,6,3910,66,38,6.85,37.1
2020-01-01,2,8,2,1,3837,65,23,6.79,20.3
2020-01-01,2,8,4,2,4437,32,10,6.76,20.3
2020-01-01,2,8,1,3,3568,35,56,6.71,20.3
2020-01-01,2,8,3,4,3660,64,37,6.74,20.3
2020-01-01,2,8,6,5,5037,30,44,6.79,20.3
2020-01-01,2,8,5,6,4249,44,8,6.75,20.3
2020-01-01,2,9,2,1,4643,37,22,6.71,50.4
2020-01-01,2,9,1,2,4583,24,29,6.72,50.4
2020-01-01,2,9,5,3,4821,36,18,6.73,50.4
2020-01-01,2,9,6,4,4030,62,46,6.74,50.4
2020-01-01,2,9,4,5,4154,57,33,6.71,50.4
2020-01-01,2,9,3,6,4221,61,58,6.69,50.4
2020-01-01,2,10,1,1,4260,29,32,6.77,23.6
2020-01-01,2,10,4,2,3578,39,4,6.76,23.6
2020-01-01,2,10,5,3,4852,31,31,6.79,23.6
2020-01-01,2,10,3,4,4772,4,35,6.63,23.6
2020-01-01,2,10,6,5,3478,10,59,6.8,23.6
2020-01-01,2,10,2,6,3187,11,13,6.78,23.6
2020-01-01,2,11,4,1,4452,1,14,6.74,54.2
2020-01-01,2,11,1,2,3541,7,26,6.71,54.2
2020-01-01,2,11,3,3,3543,3,28,6.74,54.2
2020-01-01,2,11,6,4,4331,63,9,6.74,54.2
2020-01-01,2,11,5,5,4010,12,15,6.75,54.2
2020-01-01,2,11,2,6,4348,26,2,6.68,54.2
2020-01-01,2,12,1,1,4459,38,52,6.7,13.7
2020-01-01,2,12,5,2,4739,59,47,6.76,13.7
2020-01-01,2,12,3,3,3832,43,36,6.68,13.7
2020-01-01,2,12,6,4,4020,58,66,6.81,13.7
2020-01-01,2,12,4,5,4776,25,24,6.78,13.7
2020-01-01,2,12,2,6,3568,35,56,6.77,13.7
2020-01-02,3,1,4,1,3753,56,34,6.77,148.6
2020-01-02,3,1,6,2,4348,26,2,6.86,148.6
2020-01-02,3,1,2,3,4821,36,18,6.81,148.6
2020-01-02,3,1,5,4,3578,39,4,6.87,148.6
2020-01-02,3,1,1,5,3710,33,19,6.82,148.6
2020-01-02,3,1,3,6,4010,12,15,6.82,148.6
2020-01-02,3,2,5,1,3478,10,59,6.93,54.6
2020-01-02,3,2,3,2,3553,34,20,6.74,54.6
2020-01-02,3,2,1,3,4221,61,58,6.8,54.6
2020-01-02,3,2,2,4,3855,5,48,6.82,54.6
2020-01-02,3,2,6,5,4034,9,54,6.81,54.6
2020-01-02,3,2,4,6,4946,2,7,6.88,54.6
2020-01-02,3,3,3,1,4931,41,61,6.72,45.4
2020-01-02,3,3,4,2,3187,11,13,6.95,45.4
2020-01-02,3,3,5,3,3832,43,36,6.79,45.4
2020-01-02,3,3,6,4,4260,29,32,6.85,45.4
2020-01-02,3,3,1,5,4894,60,55,6.8,45.4
2020-01-02,3,3,2,6,5032,6,60,6.89,45.4
2020-01-02,3,4,1,1,4511,27,17,6.76,23.9
2020-01-02,3,4,2,2,3234,40,40,6.74,23.9
2020-01-02,3,4,3,3,4437,32,10,6.76,23.9
2020-01-02,3,4,6,4,3543,3,28,6.85,23.9
2020-01-02,3,4,4,5,5037,30,44,6.84,23.9
2020-01-02,3,4,5,6,4331,63,9,6.82,23.9
2020-01-02,3,5,3,1,4030,62,46,6.84,11.5
2020-01-02,3,5,1,2,4852,31,31,6.77,11.5
2020-01-02,3,5,5,3,4020,58,66,6.78,11.5
2020-01-02,3,5,6,4,4154,57,33,6.8,11.5
2020-01-02,3,5,4,5,3568,35,56,6.85,11.5
2020-01-02,3,5,2,6,3660,64,37,6.85,11.5
2020-01-02,3,6,2,1,4452,1,14,6.76,7.5
2020-01-02,3,6,4,2,3541,7,26,6.81,7.5
2020-01-02,3,6,6,3,4459,38,52,6.76,7.5
2020-01-02,3,6,1,4,4249,44,8,6.75,7.5
2020-01-02,3,6,5,5,3710,33,19,6.8,7.5
2020-01-02,3,6,3,6,4034,9,54,6.76,7.5
2020-01-02,3,7,1,1,4776,25,24,6.81,5.5
2020-01-02,3,7,2,2,3849,8,3,6.84,5.5
2020-01-02,3,7,5,3,3837,65,23,6.87,5.5
2020-01-02,3,7,6,4,3578,39,4,6.77,5.5
2020-01-02,3,7,3,5,5032,6,60,6.86,5.5
2020-01-02,3,7,4,6,3478,10,59,6.89,5.5
2020-01-02,3,8,1,1,4643,37,22,6.73,14.7
2020-01-02,3,8,4,2,3543,3,28,6.88,14.7
2020-01-02,3,8,5,3,3753,56,34,6.74,14.7
2020-01-02,3,8,2,4,4583,24,29,6.76,14.7
2020-01-02,3,8,6,5,3910,66,38,6.78,14.7
2020-01-02,3,8,3,6,3187,11,13,6.86,14.7
2020-01-02,3,9,1,1,4739,59,47,6.79,22.6
2020-01-02,3,9,3,2,4894,60,55,6.74,22.6
2020-01-02,3,9,6,3,4772,4,35,6.78,22.6
2020-01-02,3,9,2,4,3553,34,20,6.83,22.6
2020-01-02,3,9,4,5,3234,40,40,6.71,22.6
2020-01-02,3,9,5,6,3568,35,56,6.86,22.6
2020-01-02,3,10,3,1,4260,29,32,6.79,581.3
2020-01-02,3,10,4,2,4010,12,15,6.79,581.3
2020-01-02,3,10,2,3,4020,58,66,6.86,581.3
2020-01-02,3,10,1,4,3541,7,26,6.81,581.3
2020-01-02,3,10,5,5,4437,32,10,6.77,581.3
2020-01-02,3,10,6,6,4946,2,7,6.87,581.3
2020-01-02,3,11,1,1,3837,65,23,6.77,13.2
2020-01-02,3,11,2,2,3832,43,36,6.79,13.2
2020-01-02,3,11,4,3,4348,26,2,6.82,13.2
2020-01-02,3,11,3,4,4511,27,17,6.83,13.2
2020-01-02,3,11,5,5,4030,62,46,6.75,13.2
2020-01-02,3,11,6,6,4452,1,14,6.82,13.2
2020-01-02,3,12,1,1,3849,8,3,6.76,11.2
2020-01-02,3,12,2,2,4852,31,31,6.67,11.2
2020-01-02,3,12,3,3,4331,63,9,6.65,11.2
2020-01-02,3,12,6,4,3855,5,48,6.77,11.2
2020-01-02,3,12,5,5,4643,37,22,6.77,11.2
2020-01-02,3,12,4,6,4931,41,61,6.63,11.2
2020-01-03,4,1,1,1,3855,5,48,6.84,19.5
2020-01-03,4,1,3,2,3553,34,20,6.84,19.5
2020-01-03,4,1,5,3,4776,25,24,6.89,19.5
2020-01-03,4,1,2,4,3753,56,34,6.81,19.5
2020-01-03,4,1,4,5,4010,12,15,6.84,19.5
2020-01-03,4,1,6,6,4511,27,17,6.85,19.5
2020-01-03,4,2,4,1,4821,36,18,6.8,27.7
2020-01-03,4,2,2,2,3578,39,4,6.76,27.7
2020-01-03,4,2,5,3,3187,11,13,6.85,27.7
2020-01-03,4,2,1,4,3660,64,37,6.83,27.7
2020-01-03,4,2,3,5,3234,40,40,6.79,27.7
2020-01-03,4,2,6,6,4249,44,8,6.78,27.7
2020-01-03,4,3,2,1,4931,41,61,6.71,10.4
2020-01-03,4,3,5,2,3849,8,3,6.87,10.4
2020-01-03,4,3,3,3,4020,58,66,6.75,10.4
2020-01-03,4,3,4,4,4221,61,58,6.8,10.4
2020-01-03,4,3,6,5,5037,30,44,6.85,10.4
2020-01-03,4,3,1,6,5032,6,60,6.79,10.4
2020-01-03,4,4,4,1,3478,10,59,6.81,121.8
2020-01-03,4,4,2,2,4852,31,31,6.77,121.8
2020-01-03,4,4,1,3,4034,9,54,6.74,121.8
2020-01-03,4,4,6,4,3568,35,56,6.87,121.8
2020-01-03,4,4,5,5,4583,24,29,6.83,121.8
2020-01-03,4,4,3,6,4894,60,55,6.8,121.8
2020-01-03,4,5,1,1,4437,32,10,6.74,67.3
2020-01-03,4,5,4,2,4348,26,2,6.88,67.3
2020-01-03,4,5,6,3,3910,66,38,6.77,67.3
2020-01-03,4,5,2,4,3543,3,28,6.75,67.3
2020-01-03,4,5,3,5,3855,5,48,6.82,67.3
2020-01-03,4,5,5,6,4154,57,33,6.8,67.3
2020-01-03,4,6,1,1,3832,43,36,6.76,36.1
2020-01-03,4,6,3,2,3187,11,13,6.89,36.1
2020-01-03,4,6,5,3,4739,59,47,6.8,36.1
2020-01-03,4,6,4,4,3837,65,23,6.85,36.1
2020-01-03,4,6,6,5,4010,12,15,6.79,36.1
2020-01-03,4,6,2,6,4946,2,7,6.81,36.1
2020-01-03,4,7,1,1,4331,63,9,6.86,8.3
2020-01-03,4,7,3,2,4459,38,52,6.77,8.3
2020-01-03,4,7,6,3,3541,7,26,6.8,8.3
2020-01-03,4,7,4,4,3753,56,34,6.78,8.3
2020-01-03,4,7,5,5,3234,40,40,6.88,8.3
2020-01-03,4,7,2,6,4221,61,58,6.77,8.3
2020-01-03,4,8,1,1,4260,29,32,6.85,4.2
2020-01-03,4,8,4,2,4030,62,46,6.75,4.2
2020-01-03,4,8,2,3,4776,25,24,6.8,4.2
2020-01-03,4,8,6,4,4894,60,55,6.84,4.2
2020-01-03,4,8,5,5,5037,30,44,6.9,4.2
2020-01-03,4,8,3,6,3710,33,19,6.83,4.2
2020-01-03,4,9,4,1,4020,58,66,6.77,42.9
2020-01-03,4,9,1,2,3543,3,28,6.76,42.9
2020-01-03,4,9,6,3,4772,4,35,6.78,42.9
2020-01-03,4,9,3,4,4511,27,17,6.75,42.9
