開催日,日目,レース,艇,着,登番,モーター,ボート,展示,3連単オッズ
2024-01-01,3,1,3,1,5037,53,41,6.72,26.2
2024-01-01,3,1,1,2,5136,45,58,6.74,26.2
2024-01-01,3,1,4,3,5218,4,22,6.65,26.2
2024-01-01,3,1,5,4,4821,21,4,6.72,26.2
2024-01-01,3,1,2,5,4894,12,16,6.79,26.2
2024-01-01,3,1,6,6,5265,30,30,6.74,26.2
2024-01-01,3,2,5,1,3849,10,50,6.76,34.1
2024-01-01,3,2,2,2,3543,55,9,6.67,34.1
2024-01-01,3,2,6,3,3478,33,31,6.78,34.1
2024-01-01,3,2,3,4,4034,22,32,6.76,34.1
2024-01-01,3,2,1,5,3753,65,38,6.71,34.1
2024-01-01,3,2,4,6,4946,11,54,6.75,34.1
2024-01-01,3,3,3,1,3660,59,59,6.83,145.8
2024-01-01,3,3,4,2,4437,32,7,6.76,145.8
2024-01-01,3,3,2,3,3975,1,53,6.72,145.8
2024-01-01,3,3,5,4,3837,14,36,6.77,145.8
2024-01-01,3,3,1,5,3855,28,60,6.71,145.8
2024-01-01,3,3,6,6,5326,49,43,6.72,145.8
2024-01-01,3,4,2,1,4852,51,45,6.73,65.4
2024-01-01,3,4,5,2,4348,61,55,6.79,65.4
2024-01-01,3,4,1,3,4010,40,61,6.74,65.4
2024-01-01,3,4,3,4,3907,9,63,6.69,65.4
2024-01-01,3,4,6,5,4260,41,14,6.75,65.4
2024-01-01,3,4,4,6,3401,17,21,6.8,65.4
2024-01-01,3,5,2,1,4529,13,26,6.77,43.0
2024-01-01,3,5,5,2,3908,37,25,6.75,43.0
2024-01-01,3,5,1,3,3701,43,13,6.77,43.0
2024-01-01,3,5,6,4,4931,15,19,6.69,43.0
2024-01-01,3,5,4,5,4821,21,4,6.7,43.0
2024-01-01,3,5,3,6,4313,39,34,6.76,43.0
2024-01-01,3,6,2,1,3478,33,31,6.69,141.9
2024-01-01,3,6,3,2,4459,27,8,6.73,141.9
2024-01-01,3,6,1,3,4452,64,48,6.68,141.9
2024-01-01,3,6,5,4,3578,46,49,6.68,141.9
2024-01-01,3,6,4,5,4772,56,5,6.67,141.9
2024-01-01,3,6,6,6,5291,66,2,6.79,141.9
2024-01-01,3,7,1,1,5037,53,41,6.67,16.7
2024-01-01,3,7,3,2,4030,60,51,6.75,16.7
2024-01-01,3,7,4,3,3553,54,12,6.78,16.7
2024-01-01,3,7,2,4,4946,11,54,6.74,16.7
2024-01-01,3,7,5,5,4739,34,66,6.71,16.7
2024-01-01,3,7,6,6,3660,59,59,6.82,16.7
2024-01-01,3,8,1,1,3975,1,53,6.64,8.4
2024-01-01,3,8,2,2,4348,61,55,6.7,8.4
2024-01-01,3,8,4,3,4643,7,64,6.65,8.4
2024-01-01,3,8,3,4,4331,38,15,6.66,8.4
2024-01-01,3,8,5,5,5257,31,65,6.77,8.4
2024-01-01,3,8,6,6,4034,22,32,6.79,8.4
2024-01-01,3,9,2,1,4437,32,7,6.72,71.6
2024-01-01,3,9,4,2,4511,20,23,6.65,71.6
2024-01-01,3,9,5,3,4852,51,45,6.66,71.6
2024-01-01,3,9,6,4,4583,29,44,6.73,71.6
2024-01-01,3,9,1,5,4529,13,26,6.74,71.6
2024-01-01,3,9,3,6,3753,65,38,6.75,71.6
2024-01-01,3,10,1,1,4772,56,5,6.65,17.5
2024-01-01,3,10,2,2,3442,47,3,6.77,17.5
2024-01-01,3,10,3,3,3401,17,21,6.71,17.5
2024-01-01,3,10,4,4,3849,10,50,6.76,17.5
2024-01-01,3,10,6,5,4313,39,47,6.72,17.5
2024-01-01,3,10,5,6,4154,8,17,6.69,17.5
2024-01-01,3,11,2,1,4030,60,51,6.7,46.8
2024-01-01,3,11,1,2,3908,37,25,6.73,46.8
2024-01-01,3,11,4,3,3907,9,63,6.72,46.8
2024-01-01,3,11,5,4,4452,64,48,6.73,46.8
2024-01-01,3,11,6,5,3837,14,36,6.73,46.8
2024-01-01,3,11,3,6,5136,45,58,6.73,46.8
2024-01-01,3,12,1,1,4459,27,8,6.78,20.6
2024-01-01,3,12,2,2,4643,7,64,6.73,20.6
2024-01-01,3,12,5,3,4260,41,14,6.77,20.6
2024-01-01,3,12,3,4,4931,15,19,6.72,20.6
2024-01-01,3,12,6,5,4739,34,66,6.8,20.6
2024-01-01,3,12,4,6,3543,55,9,6.69,20.6
2024-01-02,4,1,1,1,4511,20,23,6.73,20.7
2024-01-02,4,1,4,2,3578,46,49,6.8,20.7
2024-01-02,4,1,6,3,5257,31,65,6.84,20.7
2024-01-02,4,1,5,4,3855,28,60,6.74,20.7
2024-01-02,4,1,2,5,3701,43,13,6.86,20.7
2024-01-02,4,1,3,6,3753,65,38,6.83,20.7
2024-01-02,4,2,1,1,4331,38,15,6.78,37.5
2024-01-02,4,2,5,2,5136,45,58,6.81,37.5
2024-01-02,4,2,2,3,3553,54,12,6.84,37.5
2024-01-02,4,2,3,4,3442,47,3,6.82,37.5
2024-01-02,4,2,4,5,3837,14,36,6.77,37.5
2024-01-02,4,2,6,6,5218,4,22,6.73,37.5
2024-01-02,4,5,2,1,4010,40,61,6.75,265.7
2024-01-02,4,5,4,2,4459,27,8,6.76,265.7
2024-01-02,4,5,6,3,3908,37,25,6.78,265.7
2024-01-02,4,5,1,4,3975,1,53,6.66,265.7
2024-01-02,4,5,3,5,4894,12,16,6.81,265.7
2024-01-02,4,5,5,6,5257,31,65,6.79,265.7
2024-01-02,4,6,1,1,4348,61,55,6.77,147.8
2024-01-02,4,6,5,2,3701,43,13,6.82,147.8
2024-01-02,4,6,4,3,4437,32,7,6.7,147.8
2024-01-02,4,6,3,4,3849,10,50,6.74,147.8
2024-01-02,4,6,6,5,5326,49,43,6.73,147.8
2024-01-02,4,6,2,6,4034,22,32,6.83,147.8
2024-01-02,4,7,1,1,4030,60,51,6.74,4.7
2024-01-02,4,7,3,2,4331,38,15,6.67,4.7
2024-01-02,4,7,6,3,4852,51,45,6.76,4.7
2024-01-02,4,7,4,4,5218,4,22,6.73,4.7
2024-01-02,4,7,2,5,3660,59,59,6.84,4.7
2024-01-02,4,7,5,6,4154,8,17,6.83,4.7
2024-01-02,4,8,1,1,4643,7,64,6.66,5.9
2024-01-02,4,8,2,2,4313,39,47,6.67,5.9
2024-01-02,4,8,3,3,3578,46,49,6.73,5.9
2024-01-02,4,8,5,4,3553,54,12,6.74,5.9
2024-01-02,4,8,4,5,4529,13,26,6.8,5.9
2024-01-02,4,8,6,6,5291,66,2,6.9,5.9
2024-01-02,4,9,1,1,4739,34,66,6.76,7.8
2024-01-02,4,9,3,2,4459,27,8,6.73,7.8
2024-01-02,4,9,5,3,3907,9,63,6.78,7.8
2024-01-02,4,9,4,4,3478,33,31,6.85,7.8
2024-01-02,4,9,2,5,5136,45,58,6.81,7.8
2024-01-02,4,9,6,6,4821,21,4,6.8,7.8
2024-01-02,4,11,2,1,4437,32,7,6.76,120.6
2024-01-02,4,11,5,2,4643,7,64,6.76,120.6
2024-01-02,4,11,1,3,4852,51,45,6.72,120.6
2024-01-02,4,11,4,4,4260,41,14,6.86,120.6
2024-01-02,4,11,3,5,4030,60,51,6.85,120.6
2024-01-02,4,11,6,6,4348,61,55,6.78,120.6
2024-01-02,4,12,1,1,4931,15,19,6.76,28.3
2024-01-02,4,12,6,2,5037,53,41,6.84,28.3
2024-01-02,4,12,2,3,4452,64,48,6.85,28.3
2024-01-02,4,12,4,4,4583,29,44,6.93,28.3
2024-01-02,4,12,5,5,4313,39,47,6.76,28.3
2024-01-02,4,12,3,6,4154,8,17,6.81,28.3
2024-01-03,5,1,2,1,3753,65,38,6.73,108.6
2024-01-03,5,1,5,2,3401,17,21,6.83,108.6
2024-01-03,5,1,1,3,4946,11,54,6.78,108.6
2024-01-03,5,1,3,4,3855,28,60,6.84,108.6
2024-01-03,5,1,6,5,3578,46,49,6.88,108.6
2024-01-03,5,1,4,6,4034,22,32,6.88,108.6
2024-01-03,5,2,3,1,5037,53,41,6.74,16.1
2024-01-03,5,2,6,2,5136,45,58,6.87,16.1
2024-01-03,5,2,1,3,4894,12,16,6.83,16.1
2024-01-03,5,2,2,4,4154,8,17,6.87,16.1
2024-01-03,5,2,4,5,4010,40,61,6.78,16.1
2024-01-03,5,2,5,6,5326,49,43,6.81,16.1
2024-01-03,5,3,2,1,4313,39,47,6.77,30.7
2024-01-03,5,3,3,2,4348,61,55,6.83,30.7
2024-01-03,5,3,1,3,5218,4,22,6.74,30.7
2024-01-03,5,3,5,4,4452,64,48,6.87,30.7
2024-01-03,5,3,4,5,5265,30,30,6.88,30.7
2024-01-03,5,3,6,6,4821,21,4,6.81,30.7
2024-01-03,5,4,3,1,4529,13,26,6.88,36.1
2024-01-03,5,4,1,2,3478,33,31,6.78,36.1
2024-01-03,5,4,5,3,4583,29,44,6.87,36.1
2024-01-03,5,4,6,4,4931,15,19,6.8,36.1
2024-01-03,5,4,4,5,5257,31,65,6.88,36.1
2024-01-03,5,4,2,6,4511,20,23,6.82,36.1
2024-01-03,5,5,1,1,4260,41,14,6.82,5.0
2024-01-03,5,5,2,2,3543,55,9,6.82,5.0
2024-01-03,5,5,3,3,3908,37,25,6.83,5.0
2024-01-03,5,5,4,4,3660,59,59,6.87,5.0
2024-01-03,5,5,5,5,3753,65,38,6.82,5.0
2024-01-03,5,5,6,6,5291,66,2,6.83,5.0
2024-01-03,5,6,3,1,4030,60,51,6.8,7.6
2024-01-03,5,6,1,2,3837,14,36,6.67,7.6
2024-01-03,5,6,4,3,4154,8,17,6.83,7.6
2024-01-03,5,6,2,4,3855,28,60,6.79,7.6
2024-01-03,5,6,5,5,4034,22,32,6.88,7.6
2024-01-03,5,6,6,6,5326,49,43,6.78,7.6
2024-01-03,5,8,2,1,4583,29,44,6.96,19.0
2024-01-03,5,8,1,2,3442,47,3,6.85,19.0
2024-01-03,5,8,4,3,4452,64,48,6.85,19.0
2024-01-03,5,8,5,4,4010,40,61,6.83,19.0
2024-01-03,5,8,3,5,3701,43,13,6.89,19.0
2024-01-03,5,8,6,6,5265,30,30,6.82,19.0
2024-01-03,5,9,3,1,4931,15,19,6.83,212.9
2024-01-03,5,9,4,2,4529,13,26,6.92,212.9
