開催日,日目,レース,艇,着,登番,モーター,ボート,展示,3連単オッズ
2016-01-01,4,1,1,1,4643,19,38,6.77,90.8
2016-01-01,4,1,6,2,4852,58,22,6.78,90.8
2016-01-01,4,1,4,3,4309,50,11,6.89,90.8
2016-01-01,4,1,3,4,4739,18,44,6.9,90.8
2016-01-01,4,1,2,5,4313,44,8,6.75,90.8
2016-01-01,4,1,5,6,4642,21,47,6.71,90.8
2016-01-01,4,2,2,1,4772,6,57,6.72,30.0
2016-01-01,4,2,1,2,3166,51,31,6.76,30.0
2016-01-01,4,2,3,3,3234,59,32,6.87,30.0
2016-01-01,4,2,4,4,4529,7,19,6.8,30.0
2016-01-01,4,2,6,5,3701,60,6,6.81,30.0
2016-01-01,4,2,5,6,3492,25,17,6.71,30.0
2016-01-01,4,3,1,1,3137,14,23,6.83,23.9
2016-01-01,4,3,3,2,4452,24,64,6.77,23.9
2016-01-01,4,3,4,3,3837,41,40,6.87,23.9
2016-01-01,4,3,2,4,3753,45,34,6.88,23.9
2016-01-01,4,3,5,5,3189,46,4,6.91,23.9
2016-01-01,4,3,6,6,3855,47,59,6.74,23.9
2016-01-01,4,4,4,1,4459,52,62,6.8,22.1
2016-01-01,4,4,3,2,3975,9,28,6.76,22.1
2016-01-01,4,4,5,3,2887,43,13,6.73,22.1
2016-01-01,4,4,1,4,4020,63,10,6.76,22.1
2016-01-01,4,4,2,5,4170,48,21,6.72,22.1
2016-01-01,4,4,6,6,4010,23,51,6.82,22.1
2016-01-01,4,5,1,1,3478,64,29,6.81,11.4
2016-01-01,4,5,3,2,3849,57,61,6.8,11.4
2016-01-01,4,5,2,3,3553,12,63,6.76,11.4
2016-01-01,4,5,4,4,4348,22,53,6.86,11.4
2016-01-01,4,5,6,5,3466,54,65,6.9,11.4
2016-01-01,4,5,5,6,4852,58,22,6.79,11.4
2016-01-01,4,6,4,1,3908,11,60,6.73,178.9
2016-01-01,4,6,5,2,4309,50,11,6.9,178.9
2016-01-01,4,6,3,3,3543,49,46,6.8,178.9
2016-01-01,4,6,1,4,3578,4,30,6.75,178.9
2016-01-01,4,6,6,5,4894,13,35,6.72,178.9
2016-01-01,4,6,2,6,3401,53,52,6.85,178.9
2016-01-01,4,7,1,1,3753,45,34,6.78,30.4
2016-01-01,4,7,3,2,4260,56,15,6.84,30.4
2016-01-01,4,7,2,3,3442,62,5,6.79,30.4
2016-01-01,4,7,6,4,3907,61,36,6.7,30.4
2016-01-01,4,7,5,5,3910,20,3,6.84,30.4
2016-01-01,4,7,4,6,3234,59,32,6.84,30.4
2016-01-01,4,9,1,1,3710,28,56,6.79,33.2
2016-01-01,4,9,4,2,4823,16,16,6.83,33.2
2016-01-01,4,9,5,3,4459,52,62,6.8,33.2
2016-01-01,4,9,3,4,4643,19,38,6.76,33.2
2016-01-01,4,9,6,5,3189,46,4,6.83,33.2
2016-01-01,4,9,2,6,3166,51,31,6.88,33.2
2016-01-01,4,10,1,1,3908,11,60,6.93,4.5
2016-01-01,4,10,2,2,3568,15,2,6.87,4.5
2016-01-01,4,10,3,3,3478,64,29,6.88,4.5
2016-01-01,4,10,4,4,3064,10,45,6.89,4.5
2016-01-01,4,10,5,5,3701,60,6,6.78,4.5
2016-01-01,4,10,6,6,2887,43,13,6.91,4.5
2016-01-01,4,11,1,1,3849,57,61,6.82,18.4
2016-01-01,4,11,4,2,3401,53,14,6.87,18.4
2016-01-01,4,11,5,3,4260,56,15,6.76,18.4
2016-01-01,4,11,6,4,3975,9,28,6.92,18.4
2016-01-01,4,11,3,5,4772,6,57,6.77,18.4
2016-01-01,4,11,2,6,3837,41,40,6.78,18.4
2016-01-01,4,12,1,1,4030,55,24,6.8,5.7
2016-01-01,4,12,2,2,3543,49,46,6.75,5.7
2016-01-01,4,12,3,3,3442,62,5,6.92,5.7
2016-01-01,4,12,5,4,4452,24,64,6.83,5.7
2016-01-01,4,12,4,5,4010,23,51,6.83,5.7
2016-01-01,4,12,6,6,4348,22,53,6.83,5.7
2016-01-02,5,1,1,1,4452,24,64,6.85,10.2
2016-01-02,5,1,3,2,4529,7,19,6.88,10.2
2016-01-02,5,1,2,3,3466,54,65,6.88,10.2
2016-01-02,5,1,4,4,4313,44,8,6.91,10.2
2016-01-02,5,1,5,5,3492,25,17,6.72,10.2
2016-01-02,5,1,6,6,4894,13,35,6.7,10.2
2016-01-02,5,3,1,1,3907,61,36,6.79,23.9
2016-01-02,5,3,3,2,4020,63,10,6.85,23.9
2016-01-02,5,3,5,3,3710,28,56,6.78,23.9
2016-01-02,5,3,4,4,3137,14,23,6.9,23.9
2016-01-02,5,3,6,5,3908,11,60,6.83,23.9
2016-01-02,5,3,2,6,3166,51,31,6.85,23.9
2016-01-02,5,4,5,1,3541,5,27,6.84,19.2
2016-01-02,5,4,6,2,4459,52,62,6.79,19.2
2016-01-02,5,4,1,3,3753,45,34,6.78,19.2
2016-01-02,5,4,4,4,3910,20,3,6.81,19.2
2016-01-02,5,4,3,5,3553,12,63,6.83,19.2
2016-01-02,5,4,2,6,4309,50,11,6.88,19.2
2016-01-02,5,5,1,1,3478,64,29,6.77,26.6
2016-01-02,5,5,4,2,4772,6,57,6.8,26.6
2016-01-02,5,5,2,3,4030,55,24,6.82,26.6
2016-01-02,5,5,3,4,3543,49,46,6.79,26.6
