year,month,grade,start_day,race_name
2019,11,G1,6,京極賞開設６７周年記念競走
2019,3,G3,25,Ｇ３第２８回　ＪＲ四国ワープ杯競走
2019,7,G3,2,Ｇ３第６回ウエスタンヤング
2019,9,G3,16,Ｇ３オールレディース第４回ｍｉｍｉｋａ賞
2019,1,一般,3,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞
2019,1,一般,12,香川県中部広域競艇事業組合５０周年記念
2019,1,一般,20,マンスリーＢＯＡＴ　ＲＡＣＥ杯
2019,1,一般,30,丸亀市観光協会杯争奪　男女Ｗ優勝戦
2019,2,一般,10,ボートレースチケットショップ朝倉開設２６周年記念
2019,2,一般,18,楽天銀行杯
2019,2,一般,27,日本モーターボート選手会会長杯
2019,3,一般,9,スカパー！・ＪＬＣ杯争奪ルーキーシリーズ第４戦
2019,3,一般,17,Ｂカードメンバー大感謝祭　日本トーター杯
2019,4,一般,4,金陵カップ
2019,4,一般,13,四国アイランドリーグｐｌｕｓ杯
2019,4,一般,23,まるがめブルーナイター１０周年記念競走
2019,5,一般,1,安岐真人杯争奪瀬戸の大魔神大賞
2019,5,一般,9,報知グリーンカップ
2019,5,一般,27,マクール杯
2019,6,一般,8,ジャパンネット銀行杯
2019,6,一般,18,デイリースポーツカップ
2019,7,一般,9,マンスリーＢＯＡＴ　ＲＡＣＥ杯
2019,7,一般,19,日本モーターボート選手会会長杯
2019,7,一般,30,スカパー！・ＪＬＣ杯争奪ルーキーシリーズ第１１戦
2019,8,一般,6,サッポロビールカップ２０１９
2019,8,一般,19,ＲＮＣ杯争奪サマーチャンピオンレース
2019,8,一般,30,Ｂカードメンバー大感謝祭日本トーター杯
2019,9,一般,30,第９回琴参バスカップ
2019,10,一般,11,創刊７０周年記念日刊スポーツカップ
2019,10,一般,21,スポーツニッポンカップ
2019,10,一般,28,ボートレースチケットショップ西予開設４周年記念
2019,11,一般,27,ＢＴＳまるがめ開設３３周年記念
2019,12,一般,5,サンケイスポーツカップ
2019,12,一般,16,楽天銀行杯
2019,12,一般,28,年末ファン感謝清酒金陵杯
