レース場,タイプ,季節,艇,1着率(%),2着率(%),3着率(%),2連帯率(%),3連帯率(%)
戸田,全体着率,-,3,15.59,19.81,18.18,,
戸田,全体着率,-,4,14.95,16.58,17.98,,
戸田,全体着率,-,5,7.32,13.48,18.23,,
戸田,全体着率,-,6,4.3,10.31,17.43,,
戸田,全体連帯率,-,1,,,,61.1,72.69
戸田,全体連帯率,-,2,,,,39.8,57.99
戸田,全体連帯率,-,3,,,,35.4,53.57
戸田,全体連帯率,-,4,,,,31.53,49.51
戸田,全体連帯率,-,5,,,,20.79,39.02
戸田,全体連帯率,-,6,,,,14.6,32.03
戸田,季節別着率,春(3-5月),1,42.53,17.71,11.61,,
戸田,季節別着率,春(3-5月),2,17.02,22.46,18.54,,
戸田,季節別着率,春(3-5月),3,15.34,20.02,18.48,,
戸田,季節別着率,春(3-5月),4,15.35,17.0,17.46,,
戸田,季節別着率,春(3-5月),5,7.03,13.74,18.31,,
戸田,季節別着率,春(3-5月),6,4.37,10.68,17.14,,
戸田,季節別着率,夏(6-8月),1,41.98,18.32,11.31,,
戸田,季節別着率,夏(6-8月),2,15.92,22.87,18.18,,
戸田,季節別着率,夏(6-8月),3,16.23,19.42,17.48,,
戸田,季節別着率,夏(6-8月),4,15.54,15.96,18.91,,
戸田,季節別着率,夏(6-8月),5,7.49,14.04,18.44,,
戸田,季節別着率,夏(6-8月),6,4.45,10.96,17.18,,
戸田,季節別着率,秋(9-11月),1,43.15,18.95,11.49,,
戸田,季節別着率,秋(9-11月),2,17.15,22.53,17.9,,
戸田,季節別着率,秋(9-11月),3,15.34,20.06,18.34,,
戸田,季節別着率,秋(9-11月),4,14.54,17.07,18.4,,
戸田,季節別着率,秋(9-11月),5,7.32,13.85,18.03,,
戸田,季節別着率,秋(9-11月),6,4.12,9.21,17.54,,
戸田,季節別着率,冬(12-2月),1,42.65,19.09,11.9,,
戸田,季節別着率,冬(12-2月),2,17.41,23.69,18.12,,
戸田,季節別着率,冬(12-2月),3,15.46,19.75,18.38,,
戸田,季節別着率,冬(12-2月),4,14.43,16.32,17.29,,
戸田,季節別着率,冬(12-2月),5,7.42,12.44,18.14,,
戸田,季節別着率,冬(12-2月),6,4.24,10.31,17.82,,
戸田,季節別連帯率,春(3-5月),1,,,,60.24,71.85
戸田,季節別連帯率,春(3-5月),2,,,,39.47,58.01
戸田,季節別連帯率,春(3-5月),3,,,,35.36,53.84
戸田,季節別連帯率,春(3-5月),4,,,,32.36,49.81
戸田,季節別連帯率,春(3-5月),5,,,,20.77,39.08
戸田,季節別連帯率,春(3-5月),6,,,,15.05,32.19
戸田,季節別連帯率,夏(6-8月),1,,,,60.3,71.6
戸田,季節別連帯率,夏(6-8月),2,,,,38.79,56.97
戸田,季節別連帯率,夏(6-8月),3,,,,35.66,53.13
戸田,季節別連帯率,夏(6-8月),4,,,,31.5,50.41
戸田,季節別連帯率,夏(6-8月),5,,,,21.53,39.97
戸田,季節別連帯率,夏(6-8月),6,,,,15.41,32.59
戸田,季節別連帯率,秋(9-11月),1,,,,62.11,73.6
戸田,季節別連帯率,秋(9-11月),2,,,,39.68,57.58
戸田,季節別連帯率,秋(9-11月),3,,,,35.4,53.73
戸田,季節別連帯率,秋(9-11月),4,,,,31.61,50.02
戸田,季節別連帯率,秋(9-11月),5,,,,21.17,39.2
戸田,季節別連帯率,秋(9-11月),6,,,,13.33,30.87
戸田,季節別連帯率,冬(12-2月),1,,,,61.73,73.64
戸田,季節別連帯率,冬(12-2月),2,,,,41.09,59.21
戸田,季節別連帯率,冬(12-2月),3,,,,35.21,53.59
戸田,季節別連帯率,冬(12-2月),4,,,,30.74,48.03
戸田,季節別連帯率,冬(12-2月),5,,,,19.86,38.0
戸田,季節別連帯率,冬(12-2月),6,,,,14.55,32.37
江戸川,全体着率,-,1,46.57,20.63,11.37,,
江戸川,全体着率,-,2,19.18,23.19,18.07,,
江戸川,全体着率,-,3,14.22,19.64,19.9,,
江戸川,全体着率,-,4,12.14,15.93,17.6,,
江戸川,全体着率,-,5,6.68,13.03,18.23,,
江戸川,全体着率,-,6,3.62,9.78,16.9,,
江戸川,全体連帯率,-,1,,,,67.2,78.58
江戸川,全体連帯率,-,2,,,,42.37,60.45
江戸川,全体連帯率,-,3,,,,33.86,53.76
江戸川,全体連帯率,-,4,,,,28.07,45.67
江戸川,全体連帯率,-,5,,,,19.71,37.94
江戸川,全体連帯率,-,6,,,,13.4,30.3
江戸川,季節別着率,春(3-5月),1,46.41,21.16,11.63,,
江戸川,季節別着率,春(3-5月),2,19.57,23.61,18.11,,
江戸川,季節別着率,春(3-5月),3,13.8,18.91,20.26,,
江戸川,季節別着率,春(3-5月),4,11.93,16.12,16.7,,
江戸川,季節別着率,春(3-5月),5,7.12,12.67,18.37,,
江戸川,季節別着率,春(3-5月),6,3.63,9.65,16.94,,
江戸川,季節別着率,夏(6-8月),1,45.61,20.74,11.95,,
江戸川,季節別着率,夏(6-8月),2,19.53,23.7,17.88,,
江戸川,季節別着率,夏(6-8月),3,13.78,19.25,19.23,,
江戸川,季節別着率,夏(6-8月),4,13.05,15.28,17.63,,
江戸川,季節別着率,夏(6-8月),5,6.8,13.37,17.84,,
江戸川,季節別着率,夏(6-8月),6,3.46,9.75,17.41,,
江戸川,季節別着率,秋(9-11月),1,46.86,21.13,11.08,,
江戸川,季節別着率,秋(9-11月),2,19.24,22.63,17.85,,
江戸川,季節別着率,秋(9-11月),3,14.78,19.88,19.93,,
江戸川,季節別着率,秋(9-11月),4,11.65,16.24,18.15,,
江戸川,季節別着率,秋(9-11月),5,6.43,12.84,18.07,,
江戸川,季節別着率,秋(9-11月),6,3.46,9.53,17.03,,
江戸川,季節別着率,冬(12-2月),1,47.21,19.62,10.99,,
江戸川,季節別着率,冬(12-2月),2,18.53,22.98,18.42,,
江戸川,季節別着率,冬(12-2月),3,14.39,20.35,20.11,,
江戸川,季節別着率,冬(12-2月),4,12.05,15.99,17.8,,
江戸川,季節別着率,冬(12-2月),5,6.47,13.24,18.58,,
江戸川,季節別着率,冬(12-2月),6,3.89,10.16,16.34,,
江戸川,季節別連帯率,春(3-5月),1,,,,67.57,79.2
江戸川,季節別連帯率,春(3-5月),2,,,,43.18,61.29
江戸川,季節別連帯率,春(3-5月),3,,,,32.71,52.97
江戸川,季節別連帯率,春(3-5月),4,,,,28.05,44.75
江戸川,季節別連帯率,春(3-5月),5,,,,19.79,38.16
江戸川,季節別連帯率,春(3-5月),6,,,,13.27,30.21
江戸川,季節別連帯率,夏(6-8月),1,,,,66.35,78.3
江戸川,季節別連帯率,夏(6-8月),2,,,,43.23,61.1
江戸川,季節別連帯率,夏(6-8月),3,,,,33.03,52.27
江戸川,季節別連帯率,夏(6-8月),4,,,,28.33,45.96
江戸川,季節別連帯率,夏(6-8月),5,,,,20.17,38.01
江戸川,季節別連帯率,夏(6-8月),6,,,,13.2,30.62
江戸川,季節別連帯率,秋(9-11月),1,,,,67.99,79.07
江戸川,季節別連帯率,秋(9-11月),2,,,,41.87,59.73
江戸川,季節別連帯率,秋(9-11月),3,,,,34.66,54.59
江戸川,季節別連帯率,秋(9-11月),4,,,,27.89,46.05
江戸川,季節別連帯率,秋(9-11月),5,,,,19.26,37.33
江戸川,季節別連帯率,秋(9-11月),6,,,,12.99,30.02
江戸川,季節別連帯率,冬(12-2月),1,,,,66.83,77.81
江戸川,季節別連帯率,冬(12-2月),2,,,,41.5,59.92
江戸川,季節別連帯率,冬(12-2月),3,,,,34.73,54.85
江戸川,季節別連帯率,冬(12-2月),4,,,,28.04,45.84
江戸川,季節別連帯率,冬(12-2月),5,,,,19.71,38.3
江戸川,季節別連帯率,冬(12-2月),6,,,,14.05,30.39
三国,全体着率,-,1,52.51,19.33,9.09,,
三国,全体着率,-,2,17.15,25.81,18.58,,
三国,全体着率,-,3,13.98,21.0,20.72,,
三国,全体着率,-,4,9.33,16.8,20.65,,
三国,全体着率,-,5,5.08,10.9,17.27,,
三国,全体着率,-,6,3.45,7.62,15.17,,
三国,全体連帯率,-,1,,,,71.84,80.93
三国,全体連帯率,-,2,,,,42.96,61.54
三国,全体連帯率,-,3,,,,34.97,55.7
三国,全体連帯率,-,4,,,,26.13,46.78
三国,全体連帯率,-,5,,,,15.98,33.25
三国,全体連帯率,-,6,,,,11.08,26.25
三国,季節別着率,春(3-5月),1,54.03,19.04,9.08,,
三国,季節別着率,春(3-5月),2,16.97,26.66,18.49,,
三国,季節別着率,春(3-5月),3,13.41,21.36,20.87,,
三国,季節別着率,春(3-5月),4,8.62,16.35,21.23,,
三国,季節別着率,春(3-5月),5,4.93,10.85,16.71,,
三国,季節別着率,春(3-5月),6,3.37,7.02,14.99,,
三国,季節別着率,夏(6-8月),1,51.38,20.32,8.42,,
三国,季節別着率,夏(6-8月),2,17.34,24.96,18.19,,
三国,季節別着率,夏(6-8月),3,14.27,20.05,21.66,,
三国,季節別着率,夏(6-8月),4,9.66,17.35,20.27,,
三国,季節別着率,夏(6-8月),5,5.24,10.97,17.63,,
三国,季節別着率,夏(6-8月),6,3.49,7.7,15.22,,
三国,季節別着率,秋(9-11月),1,53.01,19.03,9.12,,
三国,季節別着率,秋(9-11月),2,17.02,26.33,18.43,,
三国,季節別着率,秋(9-11月),3,14.04,20.96,20.09,,
三国,季節別着率,秋(9-11月),4,9.3,17.05,21.1,,
三国,季節別着率,秋(9-11月),5,5.05,10.29,17.87,,
三国,季節別着率,秋(9-11月),6,3.2,7.84,14.83,,
三国,季節別着率,冬(12-2月),1,51.44,18.92,9.79,,
三国,季節別着率,冬(12-2月),2,17.31,25.19,19.26,,
三国,季節別着率,冬(12-2月),3,14.23,21.66,20.21,,
三国,季節別着率,冬(12-2月),4,9.83,16.43,19.92,,
三国,季節別着率,冬(12-2月),5,5.11,11.54,16.86,,
三国,季節別着率,冬(12-2月),6,3.78,8.01,15.69,,
三国,季節別連帯率,春(3-5月),1,,,,73.06,82.14
三国,季節別連帯率,春(3-5月),2,,,,43.63,62.12
三国,季節別連帯率,春(3-5月),3,,,,34.77,55.64
三国,季節別連帯率,春(3-5月),4,,,,24.97,46.19
三国,季節別連帯率,春(3-5月),5,,,,15.78,32.49
三国,季節別連帯率,春(3-5月),6,,,,10.39,25.38
三国,季節別連帯率,夏(6-8月),1,,,,71.71,80.13
三国,季節別連帯率,夏(6-8月),2,,,,42.3,60.5
三国,季節別連帯率,夏(6-8月),3,,,,34.33,55.99
三国,季節別連帯率,夏(6-8月),4,,,,27.01,47.28
三国,季節別連帯率,夏(6-8月),5,,,,16.22,33.85
三国,季節別連帯率,夏(6-8月),6,,,,11.19,26.41
三国,季節別連帯率,秋(9-11月),1,,,,72.04,81.16
三国,季節別連帯率,秋(9-11月),2,,,,43.35,61.78
三国,季節別連帯率,秋(9-11月),3,,,,35.0,55.09
三国,季節別連帯率,秋(9-11月),4,,,,26.35,47.45
三国,季節別連帯率,秋(9-11月),5,,,,15.34,33.21
三国,季節別連帯率,秋(9-11月),6,,,,11.04,25.87
三国,季節別連帯率,冬(12-2月),1,,,,70.36,80.15
三国,季節別連帯率,冬(12-2月),2,,,,42.51,61.77
三国,季節別連帯率,冬(12-2月),3,,,,35.89,56.1
三国,季節別連帯率,冬(12-2月),4,,,,26.26,46.18
三国,季節別連帯率,冬(12-2月),5,,,,16.65,33.52
三国,季節別連帯率,冬(12-2月),6,,,,11.79,27.48
児島,全体着率,-,1,55.43,17.87,8.5,,
児島,全体着率,-,2,14.61,24.88,18.48,,
児島,全体着率,-,3,11.85,20.0,20.51,,
児島,全体着率,-,4,10.27,18.08,20.8,,
児島,全体着率,-,5,5.84,11.86,17.02,,
児島,全体着率,-,6,3.39,8.78,16.16,,
児島,全体連帯率,-,1,,,,73.3,81.81
児島,全体連帯率,-,2,,,,39.48,57.96
児島,全体連帯率,-,3,,,,31.86,52.37
児島,全体連帯率,-,4,,,,28.35,49.15
児島,全体連帯率,-,5,,,,17.7,34.72
児島,全体連帯率,-,6,,,,12.17,28.33
児島,季節別着率,春(3-5月),1,56.95,17.17,8.58,,
児島,季節別着率,春(3-5月),2,14.31,25.68,19.09,,
児島,季節別着率,春(3-5月),3,11.43,19.63,20.47,,
児島,季節別着率,春(3-5月),4,9.87,18.43,20.72,,
児島,季節別着率,春(3-5月),5,5.24,11.59,16.67,,
児島,季節別着率,春(3-5月),6,3.56,8.95,15.92,,
児島,季節別着率,夏(6-8月),1,55.83,17.28,8.34,,
児島,季節別着率,夏(6-8月),2,13.84,23.59,18.82,,
児島,季節別着率,夏(6-8月),3,11.72,20.74,19.81,,
児島,季節別着率,夏(6-8月),4,10.0,18.0,20.94,,
児島,季節別着率,夏(6-8月),5,6.39,12.9,17.12,,
児島,季節別着率,夏(6-8月),6,3.66,8.98,16.51,,
児島,季節別着率,秋(9-11月),1,54.72,18.53,8.36,,
児島,季節別着率,秋(9-11月),2,14.56,24.79,18.51,,
児島,季節別着率,秋(9-11月),3,12.26,19.5,20.61,,
児島,季節別着率,秋(9-11月),4,11.04,18.16,20.47,,
児島,季節別着率,秋(9-11月),5,5.47,11.56,17.84,,
児島,季節別着率,秋(9-11月),6,3.2,8.83,15.63,,
児島,季節別着率,冬(12-2月),1,54.18,18.58,8.7,,
児島,季節別着率,冬(12-2月),2,15.64,25.37,17.56,,
児島,季節別着率,冬(12-2月),3,12.07,20.06,21.12,,
児島,季節別着率,冬(12-2月),4,10.32,17.75,21.0,,
児島,季節別着率,冬(12-2月),5,6.18,11.37,16.64,,
児島,季節別着率,冬(12-2月),6,3.11,8.41,16.47,,
児島,季節別連帯率,春(3-5月),1,,,,74.12,82.69
児島,季節別連帯率,春(3-5月),2,,,,39.98,59.07
児島,季節別連帯率,春(3-5月),3,,,,31.06,51.53
児島,季節別連帯率,春(3-5月),4,,,,28.3,49.02
児島,季節別連帯率,春(3-5月),5,,,,16.83,33.5
児島,季節別連帯率,春(3-5月),6,,,,12.51,28.43
児島,季節別連帯率,夏(6-8月),1,,,,73.11,81.45
児島,季節別連帯率,夏(6-8月),2,,,,37.44,56.25
児島,季節別連帯率,夏(6-8月),3,,,,32.46,52.27
児島,季節別連帯率,夏(6-8月),4,,,,28.0,48.94
児島,季節別連帯率,夏(6-8月),5,,,,19.28,36.4
児島,季節別連帯率,夏(6-8月),6,,,,12.63,29.14
児島,季節別連帯率,秋(9-11月),1,,,,73.24,81.61
児島,季節別連帯率,秋(9-11月),2,,,,39.36,57.86
児島,季節別連帯率,秋(9-11月),3,,,,31.76,52.36
児島,季節別連帯率,秋(9-11月),4,,,,29.21,49.68
児島,季節別連帯率,秋(9-11月),5,,,,17.02,34.86
児島,季節別連帯率,秋(9-11月),6,,,,12.04,27.67
児島,季節別連帯率,冬(12-2月),1,,,,72.76,81.46
児島,季節別連帯率,冬(12-2月),2,,,,41.01,58.57
児島,季節別連帯率,冬(12-2月),3,,,,32.13,53.25
児島,季節別連帯率,冬(12-2月),4,,,,28.07,49.07
児島,季節別連帯率,冬(12-2月),5,,,,17.55,34.19
児島,季節別連帯率,冬(12-2月),6,,,,11.52,28.0
若松,全体着率,-,1,55.17,18.58,9.03,,
若松,全体着率,-,2,14.23,24.66,18.93,,
若松,全体着率,-,3,12.45,21.2,20.35,,
若松,全体着率,-,4,10.33,16.51,19.88,,
若松,全体着率,-,5,5.47,11.5,17.26,,
若松,全体着率,-,6,3.78,9.07,16.07,,
若松,全体連帯率,-,1,,,,73.75,82.78
若松,全体連帯率,-,2,,,,38.89,57.82
若松,全体連帯率,-,3,,,,33.65,54.01
若松,全体連帯率,-,4,,,,26.83,46.71
若松,全体連帯率,-,5,,,,16.97,34.22
若松,全体連帯率,-,6,,,,12.85,28.92
若松,季節別着率,春(3-5月),1,55.14,18.84,9.21,,
若松,季節別着率,春(3-5月),2,14.19,24.83,19.08,,
若松,季節別着率,春(3-5月),3,12.42,21.69,20.56,,
若松,季節別着率,春(3-5月),4,10.6,16.19,19.85,,
若松,季節別着率,春(3-5月),5,5.04,11.37,16.89,,
若松,季節別着率,春(3-5月),6,4.02,8.52,15.87,,
若松,季節別着率,夏(6-8月),1,54.53,18.86,9.11,,
若松,季節別着率,夏(6-8月),2,14.38,24.43,18.89,,
若松,季節別着率,夏(6-8月),3,12.03,21.28,19.96,,
若松,季節別着率,夏(6-8月),4,10.6,16.49,19.64,,
若松,季節別着率,夏(6-8月),5,5.85,11.74,17.94,,
若松,季節別着率,夏(6-8月),6,4.03,8.71,15.92,,
若松,季節別着率,秋(9-11月),1,55.57,18.32,9.25,,
若松,季節別着率,秋(9-11月),2,14.42,24.37,19.1,,
若松,季節別着率,秋(9-11月),3,12.72,21.18,20.88,,
若松,季節別着率,秋(9-11月),4,9.66,16.31,19.52,,
若松,季節別着率,秋(9-11月),5,5.73,11.67,16.92,,
若松,季節別着率,秋(9-11月),6,3.18,9.55,15.79,,
若松,季節別着率,冬(12-2月),1,55.52,18.22,8.54,,
若松,季節別着率,冬(12-2月),2,13.92,24.99,18.67,,
若松,季節別着率,冬(12-2月),3,12.7,20.58,20.05,,
若松,季節別着率,冬(12-2月),4,10.33,17.07,20.49,,
若松,季節別着率,冬(12-2月),5,5.31,11.22,17.25,,
若松,季節別着率,冬(12-2月),6,3.79,9.62,16.73,,
若松,季節別連帯率,春(3-5月),1,,,,73.99,83.19
若松,季節別連帯率,春(3-5月),2,,,,39.02,58.1
若松,季節別連帯率,春(3-5月),3,,,,34.11,54.67
若松,季節別連帯率,春(3-5月),4,,,,26.79,46.64
若松,季節別連帯率,春(3-5月),5,,,,16.41,33.3
若松,季節別連帯率,春(3-5月),6,,,,12.55,28.41
若松,季節別連帯率,夏(6-8月),1,,,,73.39,82.49
若松,季節別連帯率,夏(6-8月),2,,,,38.82,57.71
若松,季節別連帯率,夏(6-8月),3,,,,33.31,53.26
若松,季節別連帯率,夏(6-8月),4,,,,27.08,46.73
若松,季節別連帯率,夏(6-8月),5,,,,17.59,35.53
若松,季節別連帯率,夏(6-8月),6,,,,12.75,28.67
若松,季節別連帯率,秋(9-11月),1,,,,73.88,83.13
若松,季節別連帯率,秋(9-11月),2,,,,38.79,57.89
若松,季節別連帯率,秋(9-11月),3,,,,33.9,54.78
若松,季節別連帯率,秋(9-11月),4,,,,25.98,45.5
若松,季節別連帯率,秋(9-11月),5,,,,17.4,34.31
若松,季節別連帯率,秋(9-11月),6,,,,12.72,28.51
若松,季節別連帯率,冬(12-2月),1,,,,73.74,82.29
若松,季節別連帯率,冬(12-2月),2,,,,38.91,57.58
若松,季節別連帯率,冬(12-2月),3,,,,33.27,53.33
若松,季節別連帯率,冬(12-2月),4,,,,27.41,47.89
若松,季節別連帯率,冬(12-2月),5,,,,16.53,33.78
若松,季節別連帯率,冬(12-2月),6,,,,13.42,30.15
住之江,全体着率,-,1,56.74,16.91,9.06,,
住之江,全体着率,-,2,15.17,24.98,18.87,,
住之江,全体着率,-,3,11.71,22.15,20.5,,
住之江,全体着率,-,4,9.02,16.82,19.89,,
住之江,全体着率,-,5,5.57,11.93,17.3,,
住之江,全体着率,-,6,3.11,8.66,15.79,,
住之江,全体連帯率,-,1,,,,73.66,82.72
住之江,全体連帯率,-,2,,,,40.15,59.02
住之江,全体連帯率,-,3,,,,33.87,54.37
住之江,全体連帯率,-,4,,,,25.84,45.74
住之江,全体連帯率,-,5,,,,17.5,34.8
住之江,全体連帯率,-,6,,,,11.77,27.56
住之江,季節別着率,春(3-5月),1,57.8,16.17,8.98,,
住之江,季節別着率,春(3-5月),2,15.29,26.1,18.61,,
住之江,季節別着率,春(3-5月),3,11.63,22.51,20.4,,
住之江,季節別着率,春(3-5月),4,8.56,16.83,20.43,,
住之江,季節別着率,春(3-5月),5,4.88,11.24,17.39,,
住之江,季節別着率,春(3-5月),6,3.17,8.56,15.53,,
住之江,季節別着率,夏(6-8月),1,54.56,17.06,9.28,,
住之江,季節別着率,夏(6-8月),2,15.45,23.89,19.32,,
住之江,季節別着率,夏(6-8月),3,11.83,22.27,19.71,,
住之江,季節別着率,夏(6-8月),4,10.19,16.04,19.7,,
住之江,季節別着率,夏(6-8月),5,5.95,12.91,17.26,,
住之江,季節別着率,夏(6-8月),6,3.31,9.22,16.1,,
住之江,季節別着率,秋(9-11月),1,56.52,17.36,9.38,,
住之江,季節別着率,秋(9-11月),2,16.09,25.04,18.47,,
住之江,季節別着率,秋(9-11月),3,11.3,22.11,20.83,,
住之江,季節別着率,秋(9-11月),4,8.75,17.09,19.53,,
住之江,季節別着率,秋(9-11月),5,5.77,11.5,16.77,,
住之江,季節別着率,秋(9-11月),6,2.89,8.31,16.36,,
住之江,季節別着率,冬(12-2月),1,57.93,17.14,8.65,,
住之江,季節別着率,冬(12-2月),2,13.98,24.82,19.06,,
住之江,季節別着率,冬(12-2月),3,12.05,21.73,21.07,,
住之江,季節別着率,冬(12-2月),4,8.61,17.31,19.86,,
住之江,季節別着率,冬(12-2月),5,5.72,12.07,17.73,,
住之江,季節別着率,冬(12-2月),6,3.06,8.53,15.25,,
住之江,季節別連帯率,春(3-5月),1,,,,73.97,82.95
住之江,季節別連帯率,春(3-5月),2,,,,41.39,60.0
住之江,季節別連帯率,春(3-5月),3,,,,34.13,54.54
住之江,季節別連帯率,春(3-5月),4,,,,25.4,45.83
住之江,季節別連帯率,春(3-5月),5,,,,16.12,33.5
住之江,季節別連帯率,春(3-5月),6,,,,11.73,27.26
住之江,季節別連帯率,夏(6-8月),1,,,,71.62,80.9
住之江,季節別連帯率,夏(6-8月),2,,,,39.34,58.66
住之江,季節別連帯率,夏(6-8月),3,,,,34.1,53.81
住之江,季節別連帯率,夏(6-8月),4,,,,26.23,45.93
住之江,季節別連帯率,夏(6-8月),5,,,,18.87,36.12
住之江,季節別連帯率,夏(6-8月),6,,,,12.53,28.63
住之江,季節別連帯率,秋(9-11月),1,,,,73.88,83.26
住之江,季節別連帯率,秋(9-11月),2,,,,41.13,59.6
住之江,季節別連帯率,秋(9-11月),3,,,,33.41,54.24
住之江,季節別連帯率,秋(9-11月),4,,,,25.84,45.37
住之江,季節別連帯率,秋(9-11月),5,,,,17.27,34.04
住之江,季節別連帯率,秋(9-11月),6,,,,11.2,27.56
住之江,季節別連帯率,冬(12-2月),1,,,,75.07,83.72
住之江,季節別連帯率,冬(12-2月),2,,,,38.79,57.85
住之江,季節別連帯率,冬(12-2月),3,,,,33.77,54.85
住之江,季節別連帯率,冬(12-2月),4,,,,25.92,45.78
住之江,季節別連帯率,冬(12-2月),5,,,,17.79,35.51
住之江,季節別連帯率,冬(12-2月),6,,,,11.59,26.84
常滑,全体着率,-,1,54.53,17.28,9.46,,
常滑,全体着率,-,2,13.81,23.97,18.37,,
常滑,全体着率,-,3,12.28,21.32,19.61,,
常滑,全体着率,-,4,10.2,16.26,19.19,,
常滑,全体着率,-,5,6.06,12.15,17.64,,
常滑,全体着率,-,6,4.5,10.35,17.04,,
常滑,全体連帯率,-,1,,,,71.81,81.27
常滑,全体連帯率,-,2,,,,37.79,56.16
常滑,全体連帯率,-,3,,,,33.6,53.21
常滑,全体連帯率,-,4,,,,26.46,45.65
常滑,全体連帯率,-,5,,,,18.21,35.86
常滑,全体連帯率,-,6,,,,14.85,31.89
常滑,季節別着率,春(3-5月),1,55.52,17.12,9.25,,
常滑,季節別着率,春(3-5月),2,14.17,24.09,18.85,,
常滑,季節別着率,春(3-5月),3,11.55,21.22,19.51,,
常滑,季節別着率,春(3-5月),4,9.86,16.59,19.41,,
常滑,季節別着率,春(3-5月),5,5.91,12.09,17.76,,
常滑,季節別着率,春(3-5月),6,4.3,10.13,16.44,,
常滑,季節別着率,夏(6-8月),1,55.28,16.92,9.52,,
常滑,季節別着率,夏(6-8月),2,14.54,24.4,18.0,,
常滑,季節別着率,夏(6-8月),3,12.04,21.92,20.01,,
常滑,季節別着率,夏(6-8月),4,9.59,16.26,19.31,,
常滑,季節別着率,夏(6-8月),5,5.59,11.91,17.7,,
常滑,季節別着率,夏(6-8月),6,4.35,9.92,16.77,,
常滑,季節別着率,秋(9-11月),1,54.79,16.98,9.16,,
常滑,季節別着率,秋(9-11月),2,12.62,24.06,18.53,,
常滑,季節別着率,秋(9-11月),3,12.19,21.89,19.58,,
常滑,季節別着率,秋(9-11月),4,11.09,15.26,18.86,,
常滑,季節別着率,秋(9-11月),5,5.98,13.15,17.52,,
常滑,季節別着率,秋(9-11月),6,4.66,9.99,17.67,,
常滑,季節別着率,冬(12-2月),1,52.49,18.11,9.9,,
常滑,季節別着率,冬(12-2月),2,13.79,23.34,18.09,,
常滑,季節別着率,冬(12-2月),3,13.37,20.28,19.34,,
常滑,季節別着率,冬(12-2月),4,10.38,16.85,19.13,,
常滑,季節別着率,冬(12-2月),5,6.79,11.52,17.59,,
常滑,季節別着率,冬(12-2月),6,4.72,11.35,17.36,,
常滑,季節別連帯率,春(3-5月),1,,,,72.64,81.89
常滑,季節別連帯率,春(3-5月),2,,,,38.26,57.12
常滑,季節別連帯率,春(3-5月),3,,,,32.77,52.27
常滑,季節別連帯率,春(3-5月),4,,,,26.44,45.85
常滑,季節別連帯率,春(3-5月),5,,,,18.01,35.76
常滑,季節別連帯率,春(3-5月),6,,,,14.43,30.87
常滑,季節別連帯率,夏(6-8月),1,,,,72.19,81.71
常滑,季節別連帯率,夏(6-8月),2,,,,38.94,56.94
常滑,季節別連帯率,夏(6-8月),3,,,,33.97,53.98
常滑,季節別連帯率,夏(6-8月),4,,,,25.85,45.16
常滑,季節別連帯率,夏(6-8月),5,,,,17.51,35.2
常滑,季節別連帯率,夏(6-8月),6,,,,14.27,31.04
常滑,季節別連帯率,秋(9-11月),1,,,,71.77,80.93
常滑,季節別連帯率,秋(9-11月),2,,,,36.67,55.21
常滑,季節別連帯率,秋(9-11月),3,,,,34.08,53.66
常滑,季節別連帯率,秋(9-11月),4,,,,26.34,45.2
常滑,季節別連帯率,秋(9-11月),5,,,,19.13,36.65
常滑,季節別連帯率,秋(9-11月),6,,,,14.65,32.32
常滑,季節別連帯率,冬(12-2月),1,,,,70.6,80.5
常滑,季節別連帯率,冬(12-2月),2,,,,37.13,55.22
常滑,季節別連帯率,冬(12-2月),3,,,,33.65,52.99
常滑,季節別連帯率,冬(12-2月),4,,,,27.23,46.36
常滑,季節別連帯率,冬(12-2月),5,,,,18.31,35.91
常滑,季節別連帯率,冬(12-2月),6,,,,16.08,33.44
多摩川,全体着率,-,1,50.27,17.65,9.84,,
多摩川,全体着率,-,2,16.4,23.97,17.81,,
多摩川,全体着率,-,3,13.26,20.28,19.67,,
多摩川,全体着率,-,4,11.7,17.41,18.82,,
多摩川,全体着率,-,5,6.2,12.63,17.79,,
多摩川,全体着率,-,6,3.48,9.41,17.4,,
多摩川,全体連帯率,-,1,,,,67.92,77.76
多摩川,全体連帯率,-,2,,,,40.37,58.18
多摩川,全体連帯率,-,3,,,,33.54,53.21
多摩川,全体連帯率,-,4,,,,29.11,47.93
多摩川,全体連帯率,-,5,,,,18.83,36.62
多摩川,全体連帯率,-,6,,,,12.89,30.28
多摩川,季節別着率,春(3-5月),1,50.67,17.39,9.72,,
多摩川,季節別着率,春(3-5月),2,16.19,24.0,18.18,,
多摩川,季節別着率,春(3-5月),3,12.95,20.45,19.43,,
多摩川,季節別着率,春(3-5月),4,11.91,17.42,18.81,,
多摩川,季節別着率,春(3-5月),5,6.36,12.89,17.9,,
多摩川,季節別着率,春(3-5月),6,3.15,9.17,17.28,,
多摩川,季節別着率,夏(6-8月),1,48.82,17.62,10.15,,
多摩川,季節別着率,夏(6-8月),2,15.78,23.18,17.96,,
多摩川,季節別着率,夏(6-8月),3,14.18,20.32,19.11,,
多摩川,季節別着率,夏(6-8月),4,12.55,17.18,18.79,,
多摩川,季節別着率,夏(6-8月),5,6.19,13.35,17.5,,
