開催日,レース,実際3連単,予測3連単,予測確率,的中,TOP10
2025-06-25,12,1-5-2,2-5-6,0.19988804742912433,False,2-5-6(0.1999) / 2-6-5(0.1435) / 5-2-6(0.0964) / 2-5-1(0.0727) / 6-2-5(0.0633) / 2-1-5(0.0404) / 5-2-1(0.0351) / 2-6-1(0.0324) / 2-5-3(0.0310) / 5-6-2(0.0270)
2025-06-26,1,2-1-5,2-6-5,0.054767412686286675,False,2-6-5(0.0548) / 2-5-6(0.0523) / 2-6-1(0.0500) / 2-1-6(0.0463) / 2-5-1(0.0422) / 2-1-5(0.0409) / 2-6-4(0.0379) / 2-4-6(0.0326) / 2-5-4(0.0320) / 6-2-5(0.0315)
2025-06-26,2,1-2-5,3-1-5,0.04595375164227237,False,3-1-5(0.0460) / 3-1-4(0.0410) / 1-3-5(0.0380) / 3-5-1(0.0367) / 1-3-4(0.0339) / 3-4-1(0.0317) / 3-1-6(0.0310) / 5-3-1(0.0268) / 1-3-6(0.0256) / 1-5-3(0.0240)
2025-06-26,3,5-1-6,5-1-6,0.04530657574908801,True,5-1-6(0.0453) / 1-5-6(0.0428) / 5-6-1(0.0421) / 6-5-1(0.0379) / 1-6-5(0.0366) / 6-1-5(0.0350) / 5-1-3(0.0338) / 1-5-3(0.0319) / 5-3-1(0.0283) / 5-6-3(0.0268)
2025-06-26,4,1-5-3,4-3-2,0.04235858469156338,False,4-3-2(0.0424) / 4-3-1(0.0405) / 4-3-6(0.0371) / 4-3-5(0.0369) / 3-4-2(0.0323) / 4-2-3(0.0314) / 3-4-1(0.0308) / 4-1-3(0.0297) / 3-4-6(0.0283) / 3-4-5(0.0281)
2025-06-26,5,1-2-3,2-6-3,0.04903275509295243,False,2-6-3(0.0490) / 6-2-3(0.0459) / 2-3-6(0.0404) / 2-6-1(0.0391) / 6-2-1(0.0366) / 6-3-2(0.0347) / 3-2-6(0.0337) / 3-6-2(0.0309) / 2-1-6(0.0302) / 6-1-2(0.0260)
2025-06-26,7,2-1-3,2-5-6,0.14371205198564732,False,2-5-6(0.1437) / 2-6-5(0.0929) / 2-5-3(0.0881) / 5-2-6(0.0693) / 2-5-1(0.0544) / 2-3-5(0.0510) / 5-2-3(0.0425) / 6-2-5(0.0396) / 2-1-5(0.0296) / 5-2-1(0.0262)
2025-06-26,8,1-6-4,6-4-1,0.025925709880709476,False,6-4-1(0.0259) / 6-1-4(0.0255) / 4-6-1(0.0250) / 1-6-4(0.0243) / 4-1-6(0.0233) / 1-4-6(0.0230) / 6-4-5(0.0162) / 4-6-5(0.0156) / 6-1-5(0.0153) / 1-6-5(0.0145)
2025-06-26,9,1-4-2,4-6-3,0.09618580070312123,False,4-6-3(0.0962) / 4-3-6(0.0868) / 6-4-3(0.0773) / 3-4-6(0.0664) / 6-3-4(0.0508) / 3-6-4(0.0483) / 4-6-1(0.0347) / 6-4-1(0.0279) / 4-3-1(0.0265) / 4-1-6(0.0233)
2025-06-26,10,1-3-5,1-3-2,0.054075202715525496,False,1-3-2(0.0541) / 1-3-6(0.0534) / 1-3-5(0.0473) / 1-2-3(0.0426) / 1-6-3(0.0419) / 1-5-3(0.0363) / 3-1-2(0.0321) / 3-1-6(0.0317) / 1-3-4(0.0292) / 3-1-5(0.0281)
2025-06-27,1,1-5-2,1-5-4,0.028047480290607694,False,1-5-4(0.0280) / 5-1-4(0.0280) / 1-4-5(0.0248) / 5-4-1(0.0248) / 1-5-2(0.0235) / 5-1-2(0.0235) / 4-1-5(0.0228) / 4-5-1(0.0228) / 1-5-6(0.0201) / 5-1-6(0.0200)
2025-06-27,2,5-4-3,4-5-3,0.05614225319667598,False,4-5-3(0.0561) / 4-5-2(0.0521) / 4-3-5(0.0519) / 4-2-5(0.0470) / 4-3-2(0.0394) / 4-2-3(0.0385) / 5-4-3(0.0340) / 5-4-2(0.0315) / 4-5-1(0.0306) / 3-4-5(0.0304)
2025-06-27,3,1-3-2,2-6-5,0.07007453634221891,False,2-6-5(0.0701) / 2-5-6(0.0640) / 2-6-4(0.0605) / 2-4-6(0.0526) / 2-5-4(0.0446) / 2-4-5(0.0425) / 6-2-5(0.0379) / 2-6-3(0.0358) / 5-2-6(0.0335) / 6-2-4(0.0327)
