venue,year,month,start_day,grade,race_name
徳山,2020,1,7,一般,ｔｙｓテレビ山口杯争奪戦
徳山,2020,1,28,一般,デイリースポーツ杯争奪戦
徳山,2020,2,12,一般,果子乃季バレンタインカップ
徳山,2020,2,21,一般,山口マツダ・周南東店カップ
徳山,2020,3,2,一般,西日本スポーツ杯争奪戦
徳山,2020,3,23,一般,すなっちスプリングカップ〜本命バトル〜
徳山,2020,3,31,一般,中日スポーツ杯争奪戦
徳山,2020,4,11,一般,日本財団会長杯争奪戦
徳山,2020,4,18,一般,山口新聞社杯争奪戦
徳山,2020,4,28,一般,ｙａｂ山口朝日放送杯争奪戦
徳山,2020,5,13,一般,トライアングルカップ
徳山,2020,5,31,一般,スポーツニッポン杯争奪戦
徳山,2020,6,7,一般,美容室ＳＨＡＭＰＯＯ杯
徳山,2020,6,15,一般,日刊スポーツ杯争奪戦
徳山,2020,7,5,一般,日本トーター杯争奪戦
徳山,2020,7,13,一般,九州スポーツ杯争奪戦
徳山,2020,7,25,一般,レノファ山口カップ
徳山,2020,8,7,一般,スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦
徳山,2020,8,18,一般,ｔｙｓテレビ山口杯争奪戦
徳山,2020,8,26,一般,黒神杯争奪　真夏の覇者決定戦
徳山,2020,9,5,一般,マンスリーＢＯＡＴＲＡＣＥ杯争奪戦
徳山,2020,9,16,一般,スポーツ報知杯争奪戦
徳山,2020,10,15,一般,マクール杯争奪徳山ヴィーナスシリーズ第１４戦
徳山,2020,11,7,一般,住信ＳＢＩネット銀行賞
徳山,2020,11,15,一般,楽天銀行杯争奪戦
徳山,2020,11,28,一般,ＢＰ呉開設２８周年記念日本ＭＢ選手会会長賞
徳山,2020,12,9,一般,オラレ徳山開設１２周年記念ニッカン・コム杯
徳山,2020,12,20,一般,オラレ田布施開設４周年記念デイリースポーツ杯争奪戦
