開催日,日目,レース,開催日,着,P(1号艇1着),予測,actual_boat1_win,的中
2025-01-17,1,1,2025-01-17,1,0.5812303310474003,1,1,True
2025-01-17,1,2,2025-01-17,3,0.6545432482683968,1,0,False
2025-01-17,1,3,2025-01-17,4,0.1529022680243754,0,0,True
2025-01-17,1,4,2025-01-17,3,0.07899275669281323,0,0,True
2025-01-17,1,5,2025-01-17,1,0.6029662745874299,1,1,True
2025-01-17,1,6,2025-01-17,3,0.43043524807593325,0,0,True
2025-01-17,1,7,2025-01-17,2,0.40525585773717676,0,0,True
2025-01-17,1,8,2025-01-17,1,0.7275895430809179,1,1,True
2025-01-17,1,9,2025-01-17,2,0.24690152244925717,0,0,True
2025-01-17,1,10,2025-01-17,2,0.5993260607193844,1,0,False
2025-01-17,1,11,2025-01-17,1,0.7115929411820262,1,1,True
2025-01-17,1,12,2025-01-17,1,0.8887818016493136,1,1,True
2025-01-18,2,1,2025-01-18,1,0.5684965480929722,1,1,True
2025-01-18,2,2,2025-01-18,1,0.18586439579942624,0,1,False
2025-01-18,2,3,2025-01-18,1,0.5903808886729571,1,1,True
2025-01-18,2,4,2025-01-18,3,0.026808821954931505,0,0,True
2025-01-18,2,5,2025-01-18,5,0.6721930002450546,1,0,False
2025-01-18,2,6,2025-01-18,1,0.2568512730435275,0,1,False
2025-01-18,2,7,2025-01-18,2,0.2950093552737499,0,0,True
2025-01-18,2,9,2025-01-18,2,0.6921578169948,1,0,False
2025-01-18,2,10,2025-01-18,1,0.8090910127848835,1,1,True
2025-01-18,2,11,2025-01-18,2,0.7220937983832734,1,0,False
2025-01-18,2,12,2025-01-18,4,0.5717818381881046,1,0,False
2025-01-19,3,1,2025-01-19,6,0.08198798287407127,0,0,True
2025-01-19,3,2,2025-01-19,1,0.540673956566802,1,1,True
2025-01-19,3,4,2025-01-19,5,0.2839369581020023,0,0,True
2025-01-19,3,6,2025-01-19,1,0.8423645856895228,1,1,True
2025-01-19,3,7,2025-01-19,1,0.8071220860900532,1,1,True
2025-01-19,3,8,2025-01-19,1,0.7700232675662443,1,1,True
2025-01-19,3,9,2025-01-19,1,0.7806083466286342,1,1,True
2025-01-19,3,10,2025-01-19,1,0.6085725445129492,1,1,True
2025-01-19,3,11,2025-01-19,1,0.7180538880367229,1,1,True
2025-01-20,4,1,2025-01-20,1,0.44030189298020944,0,1,False
2025-01-20,4,2,2025-01-20,6,0.31805265369296815,0,0,True
2025-01-20,4,3,2025-01-20,1,0.6355952238653282,1,1,True
2025-01-20,4,4,2025-01-20,1,0.7657404342506984,1,1,True
2025-01-20,4,5,2025-01-20,1,0.7197225468002025,1,1,True
2025-01-20,4,6,2025-01-20,4,0.5378998215228584,1,0,False
2025-01-20,4,7,2025-01-20,1,0.7336634041784302,1,1,True
2025-01-20,4,8,2025-01-20,1,0.776218615476606,1,1,True
2025-01-20,4,9,2025-01-20,2,0.22045540327170435,0,0,True
2025-01-20,4,10,2025-01-20,4,0.5649762650706759,1,0,False
2025-01-20,4,11,2025-01-20,2,0.8798039107851954,1,0,False
2025-01-20,4,12,2025-01-20,1,0.602878853807309,1,1,True
2025-01-25,1,1,2025-01-25,1,0.35329167383445764,0,1,False
2025-01-25,1,2,2025-01-25,1,0.0677069512772428,0,1,False
2025-01-25,1,3,2025-01-25,6,0.06408945133574061,0,0,True
2025-01-25,1,4,2025-01-25,4,0.1995404517454817,0,0,True
2025-01-25,1,5,2025-01-25,6,0.1701368885344731,0,0,True
2025-01-25,1,6,2025-01-25,2,0.43601323475190445,0,0,True
2025-01-25,1,7,2025-01-25,1,0.6759592751025518,1,1,True
2025-01-25,1,8,2025-01-25,1,0.5839128816627256,1,1,True
2025-01-25,1,10,2025-01-25,1,0.6620549591304608,1,1,True
