開催日,日目,レース,艇,登番,選手名,級,身長,体重,勝率,2連率,3連率,当地勝率,当地2連率,当地3連率,モーター勝率,モーター2連率,モーター3連率,ボート勝率,ボート2連率,ボート3連率,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,算出期間自,算出期間至
2023-01-01,4,2,2,3949,今出晋二,B1,162,58,4.56,24.5,37.8,5.27,26.7,53.3,6.27,45.5,63.6,5.88,40.2,58.8,0.16,12,25.0,0.17,2.8,15,33.3,0.13,2.7,18,22.2,0.14,3.1,19,10.5,0.15,3.0,18,11.1,0.15,3.3,12,0.0,0.24,4.6,2022-07-01,2022-12-27
2023-01-01,4,2,4,4895,門間雄大,B1,169,54,4.18,17.0,35.2,4.24,24.0,28.0,6.23,43.6,61.5,4.86,27.1,46.9,0.15,14,64.2,0.14,3.0,20,25.0,0.16,2.7,18,5.5,0.14,2.7,16,25.0,0.16,2.5,22,18.1,0.15,2.7,20,5.0,0.17,3.8,2022-07-01,2022-12-27
2023-01-01,4,2,3,4982,中村将隆,B2,169,56,4.13,23.1,30.8,5.0,36.0,44.0,5.56,36.1,50.0,5.62,33.0,55.7,0.17,6,83.3,0.15,2.7,7,14.2,0.2,4.0,9,22.2,0.18,3.5,6,50.0,0.15,4.5,11,27.2,0.18,3.7,3,0.0,0.19,3.0,2022-07-01,2022-12-27
2023-01-01,4,2,1,4984,森下愛梨,B1,163,50,4.43,20.3,40.5,4.0,20.0,20.0,4.1,14.3,33.3,5.86,41.6,57.4,0.19,17,52.9,0.18,2.9,21,42.8,0.19,3.2,12,33.3,0.21,3.8,21,19.0,0.21,4.4,21,0.0,0.19,3.3,19,10.5,0.19,3.5,2022-07-01,2022-12-27
2023-01-01,4,2,6,3243,佐野隆仁,B1,159,53,3.12,11.9,21.4,3.41,18.5,25.9,5.36,35.7,50.0,5.19,33.0,42.6,0.18,9,66.6,0.18,3.6,22,4.5,0.21,4.4,11,9.0,0.13,2.3,10,0.0,0.2,3.5,1,0.0,0.1,3.0,1,0.0,0.18,5.0,2022-07-01,2022-12-27
2023-01-01,4,2,5,5202,宮崎つぐみ,B1,154,48,3.35,9.1,19.7,1.0,0.0,0.0,5.74,39.5,55.3,5.1,27.4,47.6,0.16,3,66.6,0.22,4.0,4,0.0,0.18,2.5,5,0.0,0.09,2.4,16,18.7,0.18,3.3,20,0.0,0.15,3.4,17,0.0,0.16,3.7,2022-07-01,2022-12-27
2023-01-01,4,3,1,4229,市川美宏,B1,170,53,5.09,31.6,49.4,0.0,0.0,0.0,5.32,32.1,46.4,5.51,32.7,56.1,0.19,18,72.2,0.15,2.8,17,47.0,0.21,4.0,18,22.2,0.16,3.2,17,29.4,0.18,3.7,19,36.8,0.21,4.1,22,0.0,0.23,4.9,2022-07-01,2022-12-27
2023-01-01,4,3,2,4815,伏島祐介,B1,172,53,4.97,30.4,45.7,0.0,0.0,0.0,4.17,12.5,27.5,4.82,30.0,42.2,0.18,15,46.6,0.21,3.9,24,37.5,0.17,3.5,21,38.1,0.18,3.7,22,13.6,0.18,2.8,25,4.0,0.19,3.3,13,7.6,0.15,3.2,2022-07-01,2022-12-27
2023-01-01,4,3,3,3892,草場康幸,B1,163,55,4.27,15.7,37.1,5.68,35.3,55.9,5.16,34.2,47.4,4.38,21.3,43.6,0.16,12,58.3,0.13,3.1,16,56.2,0.16,3.9,18,16.6,0.15,2.9,18,33.3,0.17,3.1,24,8.3,0.17,3.8,9,11.1,0.2,3.9,2022-07-01,2022-12-27
2023-01-01,4,3,4,5188,武井莉里佳,B1,155,43,2.66,3.5,14.0,3.12,12.5,31.2,2.57,0.0,14.3,4.94,28.1,52.1,0.2,6,33.3,0.15,3.7,15,46.6,0.19,4.3,16,25.0,0.17,3.6,24,4.1,0.22,4.5,22,9.0,0.21,4.0,9,0.0,0.18,4.3,2022-07-01,2022-12-27
2023-01-01,4,3,5,5204,宇恵有香,B1,152,45,2.66,3.2,12.9,0.0,0.0,0.0,4.43,21.6,35.1,5.13,33.7,43.6,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,17,5.8,0.19,3.8,28,3.5,0.19,3.7,68,1.4,0.21,4.0,2022-07-01,2022-12-27
2023-01-01,4,3,6,4323,山田佑樹,B1,169,57,4.67,28.9,46.7,5.0,33.3,55.6,5.65,37.5,52.5,5.85,42.4,58.6,0.16,18,88.8,0.13,2.0,17,41.1,0.15,2.6,15,26.6,0.16,2.5,15,13.3,0.16,2.7,17,5.8,0.19,3.6,15,6.6,0.19,3.9,2022-07-01,2022-12-27
2023-01-01,4,4,4,5217,藤原碧生,B1,158,54,4.7,26.6,44.3,4.0,0.0,0.0,6.08,40.0,62.5,5.13,31.1,44.4,0.18,10,70.0,0.19,3.4,9,44.4,0.17,3.3,10,20.0,0.22,3.5,9,33.3,0.14,3.2,11,27.2,0.14,2.9,20,20.0,0.21,4.1,2022-07-01,2022-12-27
