開催日,日目,レース,艇,登番,選手名,級,身長,体重,勝率,2連率,3連率,当地勝率,当地2連率,当地3連率,モーター勝率,モーター2連率,モーター3連率,ボート勝率,ボート2連率,ボート3連率,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,算出期間自,算出期間至
2020-01-01,2,1,1,4452,松尾祭,A2,163,55,6.11,49.6,65.9,6.13,42.5,66.9,5.51,32.4,56.8,5.97,41.2,60.8,0.17,23,91.3,0.16,3.2,18,50.0,0.19,3.7,26,46.2,0.16,3.2,19,31.6,0.18,4.0,24,20.8,0.18,3.8,18,11.1,0.18,4.6,2019-07-01,2019-12-29
2020-01-01,2,1,3,4821,妻鳥晋也,B1,170,56,5.41,29.3,52.4,5.53,32.1,53.5,5.17,25.7,51.4,5.08,32.6,44.2,0.2,9,33.3,0.24,5.2,20,35.0,0.21,4.5,16,50.0,0.17,4.0,14,35.7,0.19,3.9,17,17.6,0.19,4.1,17,5.9,0.2,4.7,2019-07-01,2019-12-29
2020-01-01,2,1,6,4931,木谷賢太,A2,163,55,4.27,19.3,37.7,4.64,24.5,41.5,5.86,37.1,57.1,5.15,31.9,48.9,0.18,16,93.8,0.16,3.0,19,47.4,0.19,3.5,16,31.3,0.16,2.9,23,26.1,0.16,2.8,21,23.8,0.19,3.5,15,0.0,0.2,4.9,2019-07-01,2019-12-29
2020-01-01,2,1,4,4852,川原祐明,A2,164,50,5.86,37.7,59.4,5.86,37.5,61.0,6.04,40.7,55.6,4.65,29.2,36.5,0.17,28,75.0,0.15,3.1,15,40.0,0.18,4.1,20,30.0,0.15,3.3,26,26.9,0.18,3.8,23,26.1,0.16,3.2,23,21.7,0.21,4.0,2019-07-01,2019-12-29
2020-01-01,2,1,2,4511,中岡健人,B1,160,59,4.6,22.4,36.5,4.79,21.5,43.8,5.5,19.2,53.8,6.06,44.7,61.2,0.16,17,58.8,0.12,2.4,16,18.8,0.15,2.8,23,39.1,0.15,2.7,16,18.8,0.14,3.0,25,20.0,0.18,3.4,14,7.1,0.19,3.6,2019-07-01,2019-12-29
2020-01-01,2,1,5,4894,原村拓也,B2,173,54,4.02,11.8,33.3,2.38,6.7,11.7,5.45,27.6,48.3,5.68,30.5,61.1,0.17,9,55.6,0.19,2.9,9,22.2,0.19,3.3,12,8.3,0.16,3.3,13,0.0,0.16,4.0,6,16.7,0.18,4.3,9,0.0,0.18,4.7,2019-07-01,2019-12-29
2020-01-01,2,2,1,3234,金森史吉,B1,162,55,3.94,18.7,33.6,4.41,25.0,40.0,5.24,23.7,52.6,6.48,51.9,65.8,0.16,17,47.1,0.13,1.6,21,28.6,0.17,3.0,24,8.3,0.17,3.3,24,12.5,0.15,2.1,20,0.0,0.17,3.3,15,0.0,0.17,3.5,2019-07-01,2019-12-29
2020-01-01,2,2,4,3710,吉永泰弘,B1,167,55,5.01,30.8,49.0,4.37,23.3,40.8,4.47,25.0,37.5,4.54,26.2,39.3,0.17,22,50.0,0.12,2.6,21,33.3,0.16,2.7,26,34.6,0.18,3.3,25,20.0,0.19,3.8,18,5.6,0.2,4.6,19,5.3,0.19,4.4,2019-07-01,2019-12-29
2020-01-01,2,2,5,5037,田頭虎親,B1,163,57,2.11,0.0,12.5,1.43,0.0,2.7,5.71,42.9,46.4,4.41,27.2,40.7,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,25.0,0.17,3.6,14,0.0,0.16,3.5,44,2.3,0.17,3.5,2019-07-01,2019-12-29
2020-01-01,2,2,3,3478,嶋田貴支,B1,163,53,5.31,34.0,51.9,5.15,32.6,48.9,6.09,39.4,60.6,5.22,35.2,47.7,0.16,19,68.4,0.14,2.4,22,54.5,0.13,2.2,22,22.7,0.14,2.9,19,21.1,0.17,2.9,21,9.5,0.18,3.3,18,0.0,0.19,4.3,2019-07-01,2019-12-29
2020-01-01,2,2,6,4221,南部圭史,B2,168,52,4.0,20.8,33.7,3.79,15.9,28.6,6.53,58.8,64.7,4.59,26.0,46.9,0.16,6,16.7,0.13,2.0,6,16.7,0.27,3.7,8,12.5,0.14,3.1,11,9.1,0.15,2.9,9,0.0,0.15,2.9,6,0.0,0.12,3.3,2019-07-01,2019-12-29
2020-01-01,2,2,2,4185,藤原真也,B2,171,51,4.12,24.7,29.9,4.02,20.4,31.2,6.05,42.1,57.9,5.22,31.6,44.9,0.19,6,66.7,0.1,1.5,6,33.3,0.22,4.0,8,25.0,0.18,4.1,8,0.0,0.23,4.1,13,0.0,0.19,4.8,8,0.0,0.2,4.8,2019-07-01,2019-12-29
2020-01-01,2,4,2,4154,森安弘雅,A2,162,51,5.56,36.5,54.2,5.44,35.9,53.8,5.97,43.6,53.8,5.35,27.6,54.1,0.17,22,86.4,0.16,3.2,26,57.7,0.17,3.8,21,42.9,0.16,2.8,25,24.0,0.18,3.2,25,20.0,0.17,2.9,17,11.8,0.19,3.9,2019-07-01,2019-12-29
2020-01-01,2,4,3,3578,塩田雄一,B1,160,50,4.9,29.8,49.0,5.72,35.4,59.0,5.7,42.4,54.5,4.21,25.0,33.7,0.19,16,68.8,0.22,3.9,18,33.3,0.2,4.3,27,29.6,0.18,3.6,20,25.0,0.18,4.2,20,10.0,0.19,3.7,22,13.6,0.19,4.1,2019-07-01,2019-12-29
2020-01-01,2,4,5,3541,三嶌誠司,A1,159,54,6.52,47.0,68.2,6.51,48.1,66.9,5.25,33.3,41.7,5.56,37.2,53.5,0.15,37,75.7,0.15,3.0,27,66.7,0.16,2.9,28,32.1,0.15,2.4,18,22.2,0.14,3.0,29,20.7,0.16,3.4,7,14.3,0.14,3.3,2019-07-01,2019-12-29
2020-01-01,2,4,6,4776,竹田和哉,A2,170,56,5.8,36.8,61.5,6.01,43.6,62.6,5.16,36.8,47.4,5.3,36.0,46.1,0.16,22,81.8,0.15,3.0,19,31.6,0.16,3.2,22,36.4,0.15,3.0,19,21.1,0.16,3.5,20,10.0,0.17,3.9,21,9.5,0.18,4.0,2019-07-01,2019-12-29
2020-01-01,2,4,1,4946,船越健吾,B1,166,54,3.46,13.4,25.6,2.47,7.2,12.4,4.3,18.2,33.3,5.39,31.6,56.1,0.14,10,60.0,0.15,2.5,21,28.6,0.12,2.5,18,11.1,0.15,3.0,16,6.3,0.13,2.0,20,15.0,0.14,2.7,14,0.0,0.14,2.1,2019-07-01,2019-12-29
2020-01-01,2,4,4,3660,長谷川親王,B1,169,60,3.28,6.6,22.4,4.24,18.2,40.0,3.74,13.0,26.1,5.76,37.4,57.1,0.2,14,50.0,0.15,3.1,19,31.6,0.2,3.9,17,11.8,0.19,3.5,18,5.6,0.19,3.6,20,5.0,0.19,3.9,16,0.0,0.27,4.9,2019-07-01,2019-12-29
2020-01-01,2,5,1,4348,宮崎奨,A1,171,57,5.46,35.7,54.1,6.0,41.2,59.8,6.31,46.2,57.7,5.66,38.8,53.8,0.16,21,85.7,0.15,2.5,18,50.0,0.16,3.5,29,31.0,0.16,3.0,19,47.4,0.18,3.7,20,35.0,0.17,3.4,18,22.2,0.15,3.9,2019-07-01,2019-12-29
