開催日,日目,レース,艇,登番,選手名,級,身長,体重,勝率,2連率,3連率,当地勝率,当地2連率,当地3連率,モーター勝率,モーター2連率,モーター3連率,ボート勝率,ボート2連率,ボート3連率,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,算出期間自,算出期間至
2021-01-01,2,1,1,4852,川原祐明,A2,163,51,6.22,40.0,69.5,6.16,40.8,63.9,5.89,44.4,59.3,4.79,31.1,44.7,0.16,26,80.7,0.14,2.5,21,52.3,0.17,3.8,18,27.7,0.14,3.7,26,30.7,0.16,3.3,22,13.6,0.17,4.1,19,10.5,0.18,4.3,2020-07-01,2020-12-29
2021-01-01,2,1,3,4511,中岡健人,B1,161,58,4.25,20.0,41.3,4.83,20.0,44.8,5.61,36.8,57.9,4.92,28.2,47.4,0.19,13,69.2,0.17,3.3,18,44.4,0.18,3.0,14,28.5,0.13,2.6,13,15.3,0.17,3.3,19,10.5,0.2,3.8,17,0.0,0.25,5.2,2020-07-01,2020-12-29
2021-01-01,2,1,4,4931,木谷賢太,A1,163,54,6.01,46.2,61.3,5.55,33.6,56.4,4.42,23.7,44.7,4.38,24.0,33.0,0.16,31,77.4,0.18,2.9,22,59.0,0.17,3.4,23,34.7,0.17,3.7,29,34.4,0.15,3.2,25,24.0,0.15,3.5,19,21.0,0.18,4.0,2020-07-01,2020-12-29
2021-01-01,2,1,6,5059,冨田祥,B1,165,54,2.2,2.5,7.5,1.78,0.0,6.2,5.03,24.2,42.4,4.54,24.5,42.9,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,25.0,0.23,3.8,7,0.0,0.23,3.4,13,0.0,0.18,3.8,29,0.0,0.2,4.1,2020-07-01,2020-12-29
2021-01-01,2,1,5,5032,谷口知優,B1,164,53,2.79,9.2,15.8,2.04,2.7,8.0,4.15,7.4,33.3,4.39,25.9,41.2,0.19,11,63.6,0.17,3.1,14,14.2,0.17,3.9,17,11.7,0.2,4.0,13,0.0,0.18,3.3,17,11.7,0.17,3.6,18,0.0,0.23,4.3,2020-07-01,2020-12-29
2021-01-01,2,1,2,4894,原村拓也,A2,174,54,4.9,26.6,44.3,3.94,19.8,32.1,5.03,39.4,51.5,5.03,31.7,46.2,0.18,18,88.8,0.15,2.4,19,31.5,0.21,4.4,20,30.0,0.17,3.5,13,30.7,0.17,3.7,20,30.0,0.16,3.7,17,5.8,0.22,5.0,2020-07-01,2020-12-29
2021-01-01,2,2,3,4821,妻鳥晋也,A2,170,58,5.9,35.2,62.5,5.73,33.5,56.1,4.42,23.1,50.0,5.81,37.1,56.2,0.2,16,68.7,0.17,3.3,14,50.0,0.21,4.6,22,54.5,0.21,4.6,11,36.3,0.19,4.3,19,26.3,0.21,4.1,19,26.3,0.2,4.2,2020-07-01,2020-12-29
2021-01-01,2,2,1,3660,長谷川親王,B1,169,61,3.88,8.6,35.2,3.87,12.2,33.0,5.42,27.3,54.5,4.11,22.2,34.4,0.19,18,61.1,0.2,4.0,21,28.5,0.19,4.6,29,17.2,0.18,3.5,23,13.0,0.17,3.2,22,4.5,0.19,4.1,17,0.0,0.23,4.6,2020-07-01,2020-12-29
2021-01-01,2,2,2,3753,河上哲也,B1,166,53,4.1,23.8,33.7,4.18,22.0,34.1,6.65,48.4,67.7,5.28,32.3,46.5,0.17,15,53.3,0.14,2.5,23,17.3,0.18,4.0,21,33.3,0.17,3.5,22,13.6,0.19,3.7,23,17.3,0.2,4.3,14,0.0,0.16,4.0,2020-07-01,2020-12-29
2021-01-01,2,2,5,4010,越智照浩,B1,167,60,4.39,23.6,40.6,4.46,21.9,42.2,5.21,32.4,50.0,5.6,38.8,53.1,0.17,11,45.4,0.16,2.9,22,18.1,0.17,3.5,15,13.3,0.18,3.2,17,17.6,0.18,3.5,24,0.0,0.15,3.8,16,0.0,0.19,4.8,2020-07-01,2020-12-29
2021-01-01,2,2,6,3234,金森史吉,B2,162,57,3.59,13.3,25.6,4.19,24.5,37.1,5.2,39.1,50.0,5.4,37.6,48.5,0.17,6,33.3,0.2,2.5,10,30.0,0.17,2.8,10,0.0,0.16,2.6,7,28.5,0.17,3.0,11,0.0,0.18,4.4,5,0.0,0.14,3.4,2020-07-01,2020-12-29
2021-01-01,2,2,4,4185,藤原真也,B2,171,52,3.68,20.5,27.3,3.84,18.7,29.3,5.37,36.7,50.0,5.32,35.5,48.4,0.2,4,75.0,0.17,2.5,7,0.0,0.16,2.7,6,16.6,0.17,3.0,11,9.0,0.19,3.0,9,0.0,0.26,4.9,11,9.0,0.19,4.5,2020-07-01,2020-12-29
2021-01-01,2,3,3,4452,松尾祭,A2,162,57,5.53,37.9,58.3,5.73,37.5,61.7,5.03,33.3,46.7,5.24,34.0,51.1,0.16,17,100.0,0.13,2.5,19,47.3,0.18,3.2,13,53.8,0.13,2.9,11,27.2,0.18,4.0,20,15.0,0.17,4.0,18,5.5,0.17,3.7,2020-07-01,2020-12-29
2021-01-01,2,3,2,4220,深川和仁,A2,164,55,5.69,41.1,58.9,5.9,42.0,54.5,5.67,40.7,55.6,5.24,34.7,52.5,0.17,26,80.7,0.17,3.3,19,63.1,0.14,2.9,19,36.8,0.15,2.6,21,38.1,0.21,3.1,25,20.0,0.14,2.7,15,20.0,0.19,3.6,2020-07-01,2020-12-29
2021-01-01,2,3,6,4776,竹田和哉,A1,170,55,6.05,42.6,59.1,6.11,43.1,62.9,5.08,33.3,48.7,5.68,40.0,58.0,0.16,29,89.6,0.13,2.2,24,62.5,0.14,3.0,19,47.3,0.17,3.7,24,41.6,0.17,3.7,17,29.4,0.16,3.2,16,31.2,0.16,2.9,2020-07-01,2020-12-29
2021-01-01,2,3,1,3855,大熊辰弥,B1,171,51,4.26,19.1,39.1,3.79,18.4,27.6,5.43,34.1,59.1,5.5,32.7,57.1,0.22,12,33.3,0.18,3.9,19,31.5,0.2,4.1,14,14.2,0.23,4.6,18,0.0,0.19,4.4,14,7.1,0.28,5.5,18,0.0,0.27,5.2,2020-07-01,2020-12-29
2021-01-01,2,3,4,3187,篠原俊夫,B1,158,54,4.08,24.1,36.7,4.65,24.4,44.5,3.57,10.7,32.1,5.63,37.0,54.0,0.18,13,46.1,0.13,2.9,20,50.0,0.18,3.1,17,29.4,0.17,3.1,19,10.5,0.2,3.9,10,0.0,0.19,4.4,15,0.0,0.23,4.6,2020-07-01,2020-12-29
2021-01-01,2,3,5,4946,船越健吾,B2,167,52,3.95,13.2,27.6,3.11,11.5,18.3,5.19,35.5,48.4,5.08,27.3,50.5,0.18,6,16.6,0.22,3.8,6,0.0,0.23,4.4,6,16.6,0.2,3.7,5,20.0,0.12,1.8,5,0.0,0.15,2.3,10,0.0,0.15,2.4,2020-07-01,2020-12-29
2021-01-01,2,4,6,3064,山崎昭生,A2,162,52,4.92,32.8,44.5,5.16,37.8,46.9,7.18,47.1,76.5,5.58,40.6,54.5,0.15,20,60.0,0.16,2.9,22,50.0,0.14,3.2,29,27.6,0.14,3.0,25,44.0,0.14,3.0,13,15.4,0.16,2.5,9,22.2,0.2,3.9,2020-07-01,2020-12-29
2021-01-01,2,4,4,3568,木村光宏,A2,162,54,5.5,38.8,54.7,6.13,45.7,62.3,5.79,44.2,60.5,6.0,40.0,62.2,0.18,25,88.0,0.16,2.6,24,45.8,0.19,4.0,26,34.6,0.17,3.7,29,27.5,0.18,3.2,19,26.3,0.19,4.2,11,9.0,0.2,4.4,2020-07-01,2020-12-29
2021-01-01,2,4,1,3710,吉永泰弘,B1,166,57,4.57,26.8,37.8,4.53,24.8,41.9,3.72,16.3,34.9,6.02,41.6,61.4,0.17,16,50.0,0.15,2.3,20,35.0,0.15,2.6,25,12.0,0.16,3.0,19,26.3,0.19,3.7,24,8.3,0.18,3.4,14,0.0,0.22,4.8,2020-07-01,2020-12-29
2021-01-01,2,4,5,3849,中岡正彦,A2,166,53,5.98,45.5,60.8,6.65,51.4,65.9,5.93,46.7,60.0,5.24,33.0,51.1,0.14,31,93.5,0.12,1.8,24,41.6,0.16,3.3,27,40.7,0.15,2.4,28,17.8,0.14,2.7,10,30.0,0.15,2.7,3,33.3,0.23,3.7,2020-07-01,2020-12-29
2021-01-01,2,4,3,3701,大西隆洋,B1,170,61,3.9,16.5,30.4,4.38,22.6,38.7,4.46,21.4,39.3,5.71,39.2,52.0,0.16,13,61.5,0.14,2.5,13,38.4,0.16,4.0,18,22.2,0.22,3.7,17,11.7,0.15,2.9,18,11.1,0.12,2.2,12,0.0,0.16,3.3,2020-07-01,2020-12-29
2021-01-01,2,4,2,3553,平池仁志,B1,166,53,4.74,27.8,44.4,4.95,31.3,48.1,6.02,45.7,63.0,5.96,34.4,63.4,0.21,12,66.6,0.16,3.7,14,28.5,0.22,4.9,13,15.3,0.2,3.7,13,15.3,0.21,3.9,19,10.5,0.21,4.1,19,0.0,0.22,5.0,2020-07-01,2020-12-29
2021-01-01,2,5,5,3541,三嶌誠司,A1,159,53,6.39,48.0,63.0,6.32,43.5,63.6,5.11,29.6,40.7,4.86,29.9,43.3,0.15,31,87.1,0.14,2.5,19,52.6,0.13,2.3,23,43.4,0.15,3.0,24,33.3,0.16,2.7,24,29.1,0.14,2.7,15,20.0,0.16,3.9,2020-07-01,2020-12-29
2021-01-01,2,5,1,4529,嶋義信,B1,166,55,5.22,33.8,54.5,5.0,34.8,47.2,6.41,46.9,68.8,5.49,37.0,48.9,0.15,13,84.6,0.12,2.2,15,40.0,0.15,3.4,16,37.5,0.14,2.1,18,22.2,0.13,2.8,18,5.5,0.18,3.6,13,7.6,0.21,4.9,2020-07-01,2020-12-29
2021-01-01,2,5,6,3543,福田雅一,A2,165,55,5.31,38.4,51.2,6.06,41.5,59.3,3.69,15.4,30.8,4.31,21.9,40.0,0.15,31,100.0,0.12,2.1,19,52.6,0.14,2.7,30,36.6,0.16,3.1,29,31.0,0.17,3.3,29,13.7,0.15,2.9,15,6.6,0.15,2.9,2020-07-01,2020-12-29
2021-01-01,2,5,4,3832,下田哲也,B1,167,54,5.29,27.3,57.6,5.06,26.6,53.1,4.31,19.2,42.3,5.6,37.6,53.5,0.18,26,76.9,0.16,2.9,22,40.9,0.19,4.1,25,36.0,0.16,3.6,28,32.1,0.17,3.8,19,5.2,0.19,4.3,26,0.0,0.24,4.7,2020-07-01,2020-12-29
2021-01-01,2,5,3,5059,冨田祥,B1,165,54,2.2,2.5,7.5,1.78,0.0,6.2,5.03,24.2,42.4,4.54,24.5,42.9,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,25.0,0.23,3.8,7,0.0,0.23,3.4,13,0.0,0.18,3.8,29,0.0,0.2,4.1,2020-07-01,2020-12-29
2021-01-01,2,5,2,4034,西原明生,B1,170,55,4.27,25.3,37.4,4.44,27.8,43.3,4.78,29.7,45.9,4.83,32.4,43.1,0.19,15,80.0,0.16,3.1,22,31.8,0.21,5.0,18,22.2,0.18,4.3,15,13.3,0.17,4.1,23,13.0,0.2,3.9,15,0.0,0.19,5.1,2020-07-01,2020-12-29
2021-01-01,2,6,1,3401,上田隆章,B1,160,54,5.05,34.4,49.2,5.97,42.0,58.0,4.7,22.2,48.1,4.46,24.7,37.0,0.19,23,73.9,0.17,3.3,23,47.8,0.19,3.8,25,48.0,0.18,3.4,29,27.5,0.2,4.5,24,8.3,0.18,4.1,23,0.0,0.22,4.8,2020-07-01,2020-12-29
2021-01-01,2,6,3,4348,宮崎奨,A2,171,55,5.77,32.0,63.9,5.91,41.4,55.2,4.72,27.9,48.8,5.51,33.3,52.7,0.18,23,78.2,0.18,3.5,22,40.9,0.17,3.7,19,36.8,0.17,3.9,17,23.5,0.2,3.9,23,17.3,0.18,3.4,16,6.2,0.18,3.9,2020-07-01,2020-12-29
2021-01-01,2,6,4,4772,石丸海渡,A1,164,57,6.02,48.1,60.2,6.28,45.8,64.7,6.3,43.5,67.4,4.75,26.5,38.2,0.15,28,92.8,0.15,2.5,22,31.8,0.17,3.5,26,26.9,0.15,3.0,22,36.3,0.14,2.9,20,35.0,0.15,3.5,21,4.7,0.15,4.0,2020-07-01,2020-12-29
2021-01-01,2,6,6,3753,河上哲也,B1,166,53,4.1,23.8,33.7,4.18,22.0,34.1,6.65,48.4,67.7,5.28,32.3,46.5,0.17,15,53.3,0.14,2.5,23,17.3,0.18,4.0,21,33.3,0.17,3.5,22,13.6,0.19,3.7,23,17.3,0.2,4.3,14,0.0,0.16,4.0,2020-07-01,2020-12-29
2021-01-01,2,6,5,5037,田頭虎親,B1,161,56,4.53,24.0,40.0,2.72,8.5,19.7,4.71,28.9,47.4,5.85,42.2,57.8,0.17,18,61.1,0.22,3.4,23,47.8,0.17,3.5,22,45.4,0.16,3.0,22,13.6,0.16,3.2,26,19.2,0.19,3.7,23,0.0,0.14,3.3,2020-07-01,2020-12-29
2021-01-01,2,6,2,5032,谷口知優,B1,164,53,2.79,9.2,15.8,2.04,2.7,8.0,4.15,7.4,33.3,4.39,25.9,41.2,0.19,11,63.6,0.17,3.1,14,14.2,0.17,3.9,17,11.7,0.2,4.0,13,0.0,0.18,3.3,17,11.7,0.17,3.6,18,0.0,0.23,4.3,2020-07-01,2020-12-29
2021-01-01,2,7,1,4331,三好勇人,B1,170,56,4.84,26.7,45.5,5.57,34.4,54.3,3.13,13.3,20.0,5.05,32.3,45.8,0.18,13,84.6,0.12,2.1,19,52.6,0.18,3.1,20,25.0,0.17,3.2,15,13.3,0.2,3.5,18,22.2,0.18,3.1,13,0.0,0.21,4.1,2020-07-01,2020-12-29
2021-01-01,2,7,2,4452,松尾祭,A2,162,57,5.53,37.9,58.3,5.73,37.5,61.7,5.03,33.3,46.7,5.24,34.0,51.1,0.16,17,100.0,0.13,2.5,19,47.3,0.18,3.2,13,53.8,0.13,2.9,11,27.2,0.18,4.0,20,15.0,0.17,4.0,18,5.5,0.17,3.7,2020-07-01,2020-12-29
2021-01-01,2,7,6,4030,森高一真,A1,169,51,6.37,45.7,65.4,7.29,55.4,75.6,6.33,51.5,66.7,5.2,33.3,47.8,0.13,32,93.7,0.12,2.5,23,47.8,0.13,3.0,20,50.0,0.14,2.4,18,38.8,0.13,3.9,22,22.7,0.14,3.3,9,33.3,0.17,3.2,2020-07-01,2020-12-29
