year,month,grade,start_day,race_name
2017,4,G1,10,Ｇ１京極賞開設６５周年記念競走
2017,3,G3,14,Ｇ３オールレディース第２４戦ＭＩＭＩＫＡ賞
2017,10,G3,11,Ｇ３マスターズリーグ第７戦
2017,12,G3,5,Ｇ３オールレディ―ス第１８戦　ｍｉｍｉｋａ賞
2017,7,SG,17,第２２回オーシャンカップ
2017,1,一般,5,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞
2017,1,一般,17,香川県中部広域競艇事業組合４８周年記念
2017,1,一般,25,ヴィーナスシリーズ第１１戦ＢＮＡＣＵＰ
2017,2,一般,5,スカパー！・ＪＬＣ杯
2017,2,一般,14,ボートピア朝倉開設２４周年記念
2017,2,一般,26,大阪スポーツカップ
2017,3,一般,24,日本財団会長杯争奪ナイター王決定戦
2017,4,一般,2,ジャパンネット銀行杯
2017,4,一般,17,四国アイランドリーグｐｌｕｓ杯
2017,4,一般,26,スポーツニッポンカップ
2017,5,一般,5,安岐真人杯争奪　瀬戸の大魔神大賞
2017,5,一般,13,報知グリーンカップ
2017,5,一般,22,日刊スポーツカップ
2017,6,一般,3,サンケイスポーツカップ
2017,6,一般,12,四国新聞社杯争奪男女Ｗ優勝戦
2017,6,一般,20,ＢＰまるがめ開設３１周年記念ペプシコーラカップ
2017,6,一般,28,楽天銀行杯
2017,7,一般,6,サッポロビールカップ２０１７
2017,7,一般,27,サマーナイトレース
2017,8,一般,2,まるポカップ
2017,8,一般,11,Ｂカードメンバー大感謝祭　日本トーター杯
2017,8,一般,18,ＲＮＣ杯争奪サマーチャンピオンレース
2017,9,一般,2,デイリースポーツ創刊７０周年記念競走
2017,9,一般,15,マクール杯
2017,10,一般,23,チケットショップ西予開設２周年記念
2017,11,一般,3,第７回琴参バスカップ
2017,11,一般,18,スカパー！・ＪＬＣ杯
2017,12,一般,12,マンスリーＢＯＡＴＲＡＣＥ杯
2017,12,一般,19,ボートピア朝倉開設２５周年記念
2017,12,一般,27,年末ファン感謝ゴールデンカップ
