開催日,日目,レース,実際3連単,予測3連単,予測確率,的中組み合わせ予測確率,的中組み合わせ予測順位,確率合計,NDCG@1,NDCG@3
2025-01-01,3,1,1-2-4,1-4-2,0.04493590006074289,0.04052872605300254,2,1.0000000000000004,1.0,0.9767388024601004
2025-01-01,3,3,1-2-3,4-5-1,0.049186803316386835,0.0032056977821949576,57,0.9999999999999998,0.1111111111111111,0.4485156279184728
2025-01-01,3,4,1-5-6,3-2-5,0.04324155097524473,0.002252562931707595,97,0.9999999999999994,0.015873015873015872,0.20423084355961493
2025-01-01,3,5,1-4-3,5-4-3,0.02783799376645901,0.012477831323415144,28,0.9999999999999998,0.015873015873015872,0.3115610622614004
2025-01-01,3,6,1-4-6,4-1-3,0.06471782677051321,0.04284925841355902,5,0.9999999999999994,0.49206349206349204,0.8244453183899282
2025-01-01,3,7,2-5-3,1-5-2,0.05271836624411049,0.0075134939026827215,46,1.0000000000000002,0.1111111111111111,0.6446766772962067
2025-01-01,3,8,1-5-3,1-3-6,0.04582066265563182,0.01629747636931556,17,1.0000000000000002,1.0,0.8101809949426972
2025-01-01,3,9,2-1-4,5-3-2,0.039921959822304204,0.001999755303056476,91,1.0000000000000004,0.047619047619047616,0.43212321963446065
2025-01-01,3,10,1-2-3,2-1-3,0.06812423026695795,0.06062561385760297,3,0.9999999999999998,0.49206349206349204,0.8688607337279024
2025-01-01,3,12,2-1-3,2-5-1,0.044102271890537136,0.011245822005687736,27,1.0,1.0,0.9206927883521764
2025-01-02,4,1,1-2-3,1-5-3,0.04649233769041132,0.01723924206693456,17,1.0000000000000004,1.0,0.8318619576762281
2025-01-02,4,2,2-1-6,2-4-5,0.030998858435399883,0.011942550447310223,29,1.0000000000000002,1.0,0.7261119737808113
2025-01-02,4,3,1-2-5,5-3-1,0.03706937754957798,0.008004294459308251,42,1.0,0.23809523809523808,0.5373464585944212
2025-01-02,4,5,1-4-2,5-4-1,0.04122224936317547,0.005421465271627259,59,1.0,0.1111111111111111,0.6446766772962067
2025-01-02,4,6,1-3-4,3-1-4,0.09161039031445706,0.08656093917904158,2,0.9999999999999999,0.49206349206349204,0.8688607337279024
2025-01-02,4,7,5-1-3,5-6-1,0.039995286475957674,0.02536546381725624,8,0.9999999999999999,1.0,0.9206927883521764
2025-01-02,4,9,1-3-4,1-5-3,0.06986241616559907,0.010471740161603254,28,0.9999999999999994,1.0,0.9206927883521764
2025-01-02,4,10,1-2-3,1-5-2,0.04615289674308283,0.011112422140173269,28,1.0000000000000007,1.0,0.8926697812982144
2025-01-02,4,11,1-4-3,1-4-2,0.04157995112432182,0.03418185037200052,3,0.9999999999999992,1.0,0.9555845846620258
2025-01-02,4,12,1-5-3,2-4-3,0.016557225324222692,0.006484142254306349,81,0.9999999999999999,0.047619047619047616,0.12359621702567268
2025-01-03,5,1,3-4-2,3-4-2,0.04637022638295586,0.04637022638295586,1,1.0000000000000002,1.0,1.0
2025-01-03,5,2,4-1-2,4-3-2,0.09029183883789149,0.020823210641340316,13,1.0000000000000004,1.0,0.8318619576762281
2025-01-03,5,3,4-3-2,1-6-2,0.038414537191393705,0.001033252890330272,114,0.9999999999999997,0.015873015873015872,0.14342301993762857
2025-01-03,5,5,1-3-6,1-6-4,0.04844037295463996,0.011040727253942844,29,0.9999999999999994,1.0,0.8434925564461779
2025-01-03,5,6,1-5-4,4-1-3,0.05262420885390825,0.014765129292136565,21,1.0,0.23809523809523808,0.6467836570380316
2025-01-03,5,7,1-3-2,1-3-6,0.05277210829319211,0.039285328091900135,4,1.0000000000000002,1.0,0.9222730231585452
2025-01-03,5,8,3-1-2,1-3-4,0.042514303560251175,0.03064067800389453,6,1.0,0.49206349206349204,0.8022376107209411
2025-01-03,5,10,1-4-2,1-6-2,0.03311070230957,0.0064534681936438115,55,0.9999999999999993,1.0,0.8318619576762281
2025-01-03,5,11,1-4-2,4-5-6,0.040337292792972816,0.01243724936676639,27,1.0000000000000002,0.49206349206349204,0.39881165813098
2025-01-03,5,12,1-4-2,5-3-6,0.018991281078718447,0.0029448008616498353,120,1.0,0.1111111111111111,0.10429615904917305
2025-01-06,1,1,1-6-3,3-6-4,0.03884472547238984,0.011033770489238827,34,0.9999999999999997,0.23809523809523808,0.42259960060633583
2025-01-06,1,2,2-1-4,6-1-4,0.08774266325140917,0.009973788734090884,28,0.9999999999999999,0.047619047619047616,0.3337687699303875
2025-01-06,1,3,3-4-5,2-5-6,0.0275356712502694,0.00196503575742569,109,1.0,0.1111111111111111,0.18836518021105897
2025-01-06,1,5,2-1-6,4-5-6,0.045481734879502536,0.0024762148273470602,88,0.9999999999999998,0.1111111111111111,0.16801163236364686
2025-01-06,1,6,1-2-4,1-4-3,0.09865023325706732,0.025657675968340378,10,1.0000000000000004,1.0,0.8434925564461779
2025-01-06,1,7,3-2-6,3-4-2,0.06033560338343683,0.00607639719319603,37,0.9999999999999996,1.0,0.9206927883521764
2025-01-06,1,8,1-3-4,1-2-4,0.06097291485116002,0.03734043170654692,9,0.9999999999999997,1.0,0.8038389506222661
2025-01-06,1,9,3-1-5,5-4-6,0.04658286813614895,0.0024518590484504024,94,1.0000000000000002,0.23809523809523808,0.19021934003263394
2025-01-06,1,10,3-1-2,3-5-1,0.05639873641072567,0.013071650546210652,23,1.0000000000000004,1.0,0.8926697812982144
2025-01-06,1,11,1-2-5,2-1-3,0.08455311500274676,0.021115018302235444,10,1.0,0.49206349206349204,0.7911337568864476
2025-01-06,1,12,1-4-6,1-5-2,0.027178937610266442,0.009580508224701132,36,0.9999999999999996,1.0,0.759423535284292
