開催日,日目,レース,3連単,予測確率,予測順位
2025-01-01,3,1,2-3-6,0.002749411361423968,99
2025-01-01,3,1,6-2-3,0.0026719297790223262,100
2025-01-01,3,1,5-2-6,0.002602248962818875,101
2025-01-01,3,1,3-2-6,0.0025117535526712744,102
2025-01-01,3,1,6-5-2,0.002486955708004035,103
2025-01-01,3,1,5-3-4,0.0024586545789411873,104
2025-01-01,3,1,3-5-4,0.0024515894755366093,105
2025-01-01,3,1,5-6-2,0.002425917871865004,106
2025-01-01,3,1,6-3-2,0.002407962191666376,107
2025-01-01,3,1,3-6-2,0.00234211349822128,108
2025-01-01,3,1,2-5-3,0.002219128244402014,109
2025-01-01,3,1,2-3-5,0.0022113122238843594,110
2025-01-01,3,1,5-2-3,0.002033150244854214,111
2025-01-01,3,1,3-2-5,0.0020201674483262128,112
2025-01-01,3,1,5-3-2,0.0018377547528242578,113
2025-01-01,3,1,3-5-2,0.0018324738453425126,114
2025-01-01,3,1,6-5-3,0.0013194971720867804,115
2025-01-01,3,1,6-3-5,0.001315163633525961,116
2025-01-01,3,1,5-6-3,0.0012871124971540744,117
2025-01-01,3,1,3-6-5,0.0012791988633007862,118
2025-01-01,3,1,5-3-6,0.0012479791760128989,119
2025-01-01,3,1,3-5-6,0.0012443930269048417,120
2025-01-01,3,3,4-5-2,0.049745998987840635,1
2025-01-01,3,3,4-5-1,0.04762963175217608,2
2025-01-01,3,3,5-4-2,0.0457560484983105,3
2025-01-01,3,3,5-4-1,0.04380942758717003,4
2025-01-01,3,3,4-2-5,0.043619904328958334,5
2025-01-01,3,3,4-1-5,0.04109535963468147,6
2025-01-01,3,3,2-4-5,0.037083111546554554,7
2025-01-01,3,3,5-2-4,0.035804761414649146,8
2025-01-01,3,3,1-4-5,0.03459072768797105,9
2025-01-01,3,3,5-1-4,0.03379074322714963,10
2025-01-01,3,3,2-5-4,0.033093438049716664,11
2025-01-01,3,3,4-2-1,0.031593470777959445,12
2025-01-01,3,3,4-1-2,0.031087539394029272,13
2025-01-01,3,3,1-5-4,0.03092247892641595,14
2025-01-01,3,3,2-4-1,0.026858935594319764,15
2025-01-01,3,3,1-4-2,0.026166959462752343,16
2025-01-01,3,3,2-1-4,0.021316958343974284,17
2025-01-01,3,3,1-2-4,0.02110574519643504,18
2025-01-01,3,3,5-2-1,0.020940665169582724,19
2025-01-01,3,3,5-1-2,0.02064088744563219,20
2025-01-01,3,3,2-5-1,0.019354928733749704,21
2025-01-01,3,3,1-5-2,0.018888824160199602,22
2025-01-01,3,3,2-1-5,0.01721322694970133,23
2025-01-01,3,3,1-2-5,0.01704267448228604,24
2025-01-01,3,3,4-5-3,0.011883868742438427,25
2025-01-01,3,3,5-4-3,0.010930705696743155,26
2025-01-01,3,3,4-3-5,0.008070624410280084,27
2025-01-01,3,3,4-2-3,0.007882753782285553,28
2025-01-01,3,3,4-1-3,0.007426531684976908,29
2025-01-01,3,3,5-3-4,0.006789368979405194,30
2025-01-01,3,3,2-4-3,0.006701459856445784,31
2025-01-01,3,3,1-4-3,0.006251049691856922,32
2025-01-01,3,3,4-3-2,0.006105211306564614,33
2025-01-01,3,3,4-3-1,0.005845474454578179,34
2025-01-01,3,3,3-4-5,0.005819322886985922,35
2025-01-01,3,3,3-5-4,0.005322361574518662,36
2025-01-01,3,3,5-2-3,0.005224817137984771,37
2025-01-01,3,3,5-1-3,0.004930921121742776,38
2025-01-01,3,3,2-5-3,0.004829166721000794,39
2025-01-01,3,3,4-5-6,0.004768711248584829,40
2025-01-01,3,3,1-5-3,0.0045123690665791905,41
