year,month,grade,start_day,race_name
2018,1,一般,4,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞
2018,1,一般,12,日本財団会長杯
2018,1,一般,25,日本ＭＢ選手会会長杯争奪ナイター開催６場対抗戦
2018,2,一般,4,ジャパンネット銀行杯
2018,2,一般,23,大阪スポーツカップ
2018,3,一般,3,丸亀市議会議長杯
2018,3,一般,18,香川県中部広域競艇事業組合４９周年記念
2018,3,一般,24,スプリングナイトレース
2018,4,一般,6,ていゆうニュースアダムスキーカップ
2018,4,一般,18,報知グリーンカップ
2018,5,一般,1,安岐真人杯争奪瀬戸の大魔神大賞
2018,5,一般,8,四国アイランドリーグｐｌｕｓ杯
2018,5,一般,20,日本財団会長杯
2018,5,一般,28,デイリースポーツカップ
2018,6,一般,17,ジャパンネット銀行杯
2018,6,一般,29,日刊スポーツカップ
2018,7,一般,10,サッポロビールカップ２０１８
2018,7,一般,22,ヴィーナスシリーズ第６戦　ＢＮＡＣＵＰ
2018,7,一般,30,ＢＴＳまるがめ開設３２周年記念　ペプシコーラカップ
2018,8,一般,15,ＲＮＣ杯争奪サマーチャンピオンレース
2018,9,一般,8,創刊７０周年記念スポーツニッポンカップ
2018,9,一般,22,丸亀市議会議長杯
2018,10,一般,4,サンケイスポーツカップ
2018,10,一般,12,ボートレースチケットショップ西予開設３周年記念
2018,10,一般,21,第８回琴参バスカップ
2018,11,一般,12,四国新聞社杯
2018,11,一般,22,大阪スポーツカップ
2018,12,一般,17,マクール杯
2018,12,一般,26,年末ファン感謝ゴールデンカップ
