year,month,grade,start_day,race_name
2020,2,G1,13,第６３回　四国地区選手権競走
2020,10,G1,16,京極賞　開設６８周年記念競走
2020,5,G2,24,Ｇ２まるがめＭＢ大賞　京極の乱〜全国支部合戦〜
2020,1,G3,28,第２９回　ＪＲ四国ワープ杯競走
2020,11,G3,9,第３０回ＪＲ四国ワープ杯競走
2020,1,一般,5,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞
2020,1,一般,13,日本財団会長杯
2020,1,一般,20,発刊５５周年記念　大阪スポーツカップ
2020,2,一般,5,ボートレースチケットショップ朝倉開設２７周年記念
2020,2,一般,28,丸亀市議会議長杯
2020,3,一般,7,丸亀市観光協会杯争奪　男女Ｗ優勝戦
2020,3,一般,15,香川県中部広域競艇事業組合　５１周年記念
2020,3,一般,23,四国新聞社杯争奪　ナイター王決定戦
2020,4,一般,3,Ｂカードメンバー大感謝祭　日本トーター杯
2020,4,一般,22,四国アイランドリーグｐｌｕｓ杯
2020,5,一般,3,安岐真人杯争奪瀬戸の大魔神大賞
2020,5,一般,11,ボートレースレディースＶＳルーキーズバトル
2020,6,一般,5,四国新聞社杯
2020,6,一般,15,日刊スポーツカップ
2020,6,一般,25,デイリースポーツカップ
2020,7,一般,13,ヴィーナスシリーズ　ブルーナイターエンジェルＣＵＰ
2020,7,一般,23,報知グリーンカップ
2020,8,一般,6,スポーツニッポンカップ
2020,8,一般,12,マクール杯
2020,8,一般,20,ＲＮＣ杯争奪サマーチャンピオンレース
2020,8,一般,28,サッポロビールカップ２０２０
2020,9,一般,4,マンスリーＢＲ杯争奪　誰が勝っても丸亀初優勝
2020,9,一般,24,大阪スポーツカップ
2020,10,一般,4,第１０回琴参バスカップ
2020,10,一般,28,ＢＴＳ西予　開設５周年記念
2020,11,一般,20,日本モーターボート選手会会長杯
2020,12,一般,2,香川県中部広域競艇事業組合５２周年記念
2020,12,一般,12,スカパー！・ＪＬＣ杯争奪ルーキーシリーズ第２４戦
2020,12,一般,17,日本財団会長杯
2020,12,一般,27,清酒金陵杯争奪男女Ｗ優勝戦
