開催日,レース,実際3連単,予測3連単,予測確率,的中,TOP10
2014-01-04,10,1-2-5,1-2-3,0.48594332961338854,False,1-2-3(0.4859) / 1-3-2(0.1754) / 1-2-5(0.1350) / 1-2-6(0.0472) / 1-2-4(0.0423) / 1-5-2(0.0414) / 1-6-2(0.0139) / 1-3-5(0.0136) / 1-4-2(0.0125) / 1-5-3(0.0115)
2014-01-04,12,1-2-4,1-2-4,0.66219799516461,True,1-2-4(0.6622) / 1-4-2(0.1442) / 1-2-3(0.1138) / 1-2-5(0.0284) / 1-3-2(0.0216) / 1-2-6(0.0107) / 1-5-2(0.0053) / 1-4-3(0.0046) / 1-3-4(0.0040) / 1-6-2(0.0020)
2014-01-05,1,1-3-5,1-3-5,0.44844001965214647,True,1-3-5(0.4484) / 1-5-3(0.1450) / 1-3-2(0.1405) / 1-3-6(0.1167) / 1-2-3(0.0400) / 1-6-3(0.0329) / 1-3-4(0.0246) / 1-5-2(0.0103) / 1-2-5(0.0091) / 1-5-6(0.0086)
2014-01-05,2,1-4-6,1-4-6,0.5173401942699469,True,1-4-6(0.5173) / 1-6-4(0.1340) / 1-4-3(0.1183) / 1-4-2(0.0735) / 1-4-5(0.0698) / 1-3-4(0.0270) / 1-2-4(0.0166) / 1-5-4(0.0158) / 1-6-3(0.0058) / 1-3-6(0.0051)
2014-01-05,3,1-6-4,1-6-4,0.2741506128758501,True,1-6-4(0.2742) / 1-6-2(0.1734) / 1-6-3(0.1565) / 1-4-6(0.1178) / 1-2-6(0.0698) / 1-3-6(0.0623) / 1-6-5(0.0334) / 1-4-2(0.0182) / 1-2-4(0.0171) / 1-4-3(0.0165)
2014-01-05,5,1-4-2,1-4-2,0.6523694783641504,True,1-4-2(0.6524) / 1-4-3(0.1260) / 1-2-4(0.0980) / 1-4-5(0.0586) / 1-4-6(0.0280) / 1-3-4(0.0174) / 1-5-4(0.0080) / 1-6-4(0.0038) / 1-2-3(0.0022) / 1-3-2(0.0020)
2014-01-05,7,1-5-4,1-5-4,0.45790020991811814,True,1-5-4(0.4579) / 1-4-5(0.1770) / 1-5-3(0.1344) / 1-5-2(0.0664) / 1-3-5(0.0440) / 1-5-6(0.0335) / 1-2-5(0.0211) / 1-4-3(0.0153) / 1-3-4(0.0129) / 1-6-5(0.0105)
2014-01-05,9,1-5-2,1-5-2,0.292141012042236,True,1-5-2(0.2921) / 1-5-6(0.1901) / 1-2-5(0.1346) / 1-5-4(0.1078) / 1-6-5(0.0814) / 1-4-5(0.0437) / 1-5-3(0.0313) / 1-2-6(0.0251) / 1-6-2(0.0233) / 1-2-4(0.0142)
2014-01-05,10,1-3-4,1-3-4,0.38228371470744155,True,1-3-4(0.3823) / 1-4-3(0.1611) / 1-3-6(0.1432) / 1-3-2(0.0958) / 1-6-3(0.0524) / 1-3-5(0.0398) / 1-2-3(0.0341) / 1-4-6(0.0179) / 1-6-4(0.0155) / 1-5-3(0.0138)
2014-01-05,12,1-2-5,1-2-5,0.3733221673917934,True,1-2-5(0.3733) / 1-2-4(0.2147) / 1-2-3(0.1177) / 1-5-2(0.0882) / 1-2-6(0.0818) / 1-4-2(0.0484) / 1-3-2(0.0258) / 1-6-2(0.0178) / 1-5-4(0.0065) / 1-4-5(0.0062)
2014-01-08,1,1-2-4,1-2-4,0.5593216369340972,True,1-2-4(0.5593) / 1-2-5(0.1789) / 1-4-2(0.1157) / 1-2-3(0.0696) / 1-5-2(0.0338) / 1-3-2(0.0128) / 1-2-6(0.0108) / 1-4-5(0.0056) / 1-5-4(0.0051) / 1-4-3(0.0022)
2014-01-08,8,1-4-5,1-4-5,0.49023046246112983,True,1-4-5(0.4902) / 1-4-2(0.2026) / 1-5-4(0.1464) / 1-2-4(0.0543) / 1-4-6(0.0535) / 1-6-4(0.0136) / 1-5-2(0.0132) / 1-2-5(0.0118) / 1-4-3(0.0038) / 1-5-6(0.0035)
2014-01-09,1,1-2-3,1-2-3,0.2841441100563369,True,1-2-3(0.2841) / 1-2-5(0.2315) / 1-2-6(0.1386) / 1-3-2(0.0956) / 1-5-2(0.0760) / 1-2-4(0.0495) / 1-6-2(0.0436) / 1-4-2(0.0150) / 1-3-5(0.0132) / 1-5-3(0.0129)
2014-01-09,12,1-2-5,1-2-5,0.4561674397815425,True,1-2-5(0.4562) / 1-5-2(0.1426) / 1-2-6(0.1032) / 1-2-3(0.0958) / 1-2-4(0.0829) / 1-6-2(0.0281) / 1-3-2(0.0260) / 1-4-2(0.0224) / 1-5-6(0.0071) / 1-5-3(0.0066)
2014-01-10,4,1-4-6,1-4-6,0.41425101777302586,True,1-4-6(0.4143) / 1-4-5(0.1663) / 1-4-3(0.1597) / 1-6-4(0.1114) / 1-5-4(0.0411) / 1-3-4(0.0394) / 1-4-2(0.0250) / 1-6-5(0.0074) / 1-6-3(0.0071) / 1-5-6(0.0068)
2014-01-10,7,1-2-5,1-2-5,0.32297516378977953,True,1-2-5(0.3230) / 1-5-2(0.1683) / 1-2-3(0.1275) / 1-2-4(0.1185) / 1-3-2(0.0567) / 1-4-2(0.0523) / 1-2-6(0.0250) / 1-5-3(0.0247) / 1-5-4(0.0230) / 1-3-5(0.0211)
2014-01-10,11,1-3-2,1-3-2,0.3598600972925838,True,1-3-2(0.3599) / 1-3-5(0.1947) / 1-3-4(0.1186) / 1-3-6(0.1064) / 1-2-3(0.0883) / 1-5-3(0.0454) / 1-4-3(0.0271) / 1-6-3(0.0242) / 1-2-5(0.0062) / 1-5-2(0.0059)
2014-01-10,12,1-5-6,1-5-3,0.3748739601745974,False,1-5-3(0.3749) / 1-5-6(0.2595) / 1-3-5(0.1271) / 1-6-5(0.0834) / 1-5-2(0.0738) / 1-2-5(0.0219) / 1-3-6(0.0187) / 1-6-3(0.0177) / 1-3-2(0.0053) / 1-2-3(0.0047)
2014-01-11,1,1-2-3,1-2-3,0.5034527197911711,True,1-2-3(0.5035) / 1-2-4(0.2284) / 1-3-2(0.1034) / 1-2-5(0.0754) / 1-4-2(0.0439) / 1-5-2(0.0140) / 1-2-6(0.0105) / 1-3-4(0.0064) / 1-4-3(0.0060) / 1-3-5(0.0021)
2014-01-11,8,1-6-2,1-6-4,0.27093548454962335,False,1-6-4(0.2709) / 1-6-2(0.2349) / 1-4-6(0.1211) / 1-2-6(0.1024) / 1-6-3(0.0640) / 1-6-5(0.0556) / 1-4-2(0.0272) / 1-2-4(0.0265) / 1-3-6(0.0249) / 1-5-6(0.0216)
2014-01-11,9,1-4-2,1-4-2,0.5383759097591949,True,1-4-2(0.5384) / 1-4-5(0.2451) / 1-2-4(0.1107) / 1-5-4(0.0470) / 1-4-6(0.0297) / 1-2-5(0.0073) / 1-5-2(0.0068) / 1-4-3(0.0056) / 1-6-4(0.0054) / 1-3-4(0.0010)
2014-01-11,11,1-2-3,1-2-3,0.24608563340971015,True,1-2-3(0.2461) / 1-3-2(0.1640) / 1-2-4(0.1289) / 1-2-5(0.0893) / 1-4-2(0.0742) / 1-5-2(0.0492) / 1-3-4(0.0427) / 1-4-3(0.0369) / 1-2-6(0.0343) / 1-3-5(0.0296)
2014-01-12,2,1-3-4,1-3-4,0.42956018278727526,True,1-3-4(0.4296) / 1-4-3(0.1868) / 1-3-2(0.1465) / 1-3-5(0.0762) / 1-2-3(0.0537) / 1-5-3(0.0269) / 1-4-2(0.0212) / 1-2-4(0.0179) / 1-4-5(0.0110) / 1-5-4(0.0090)
