開催日,日目,レース,3連単,最終オッズ,予測オッズ,予測誤差
2023-10-19,2,8,5-4-2,345.0,263.9946342125707,-81.0053657874293
2023-10-19,2,9,3-1-4,109.2,33.86971763827116,-75.33028236172885
2023-10-19,2,11,4-3-6,432.4,154.5724204595459,-277.82757954045405
2023-10-19,2,12,1-3-4,11.8,12.950762716160346,1.1507627161603455
2023-10-20,3,1,3-1-6,49.6,46.4426367031776,-3.1573632968224032
2023-10-20,3,2,6-1-2,14.1,105.23142559609542,91.13142559609543
2023-10-20,3,3,5-1-2,192.1,49.03909562247106,-143.06090437752894
2023-10-20,3,4,1-4-6,86.6,36.33552399800147,-50.264476001998524
2023-10-20,3,5,4-5-2,28.5,46.71916959522315,18.21916959522315
2023-10-20,3,6,1-3-2,9.9,12.759029619540458,2.8590296195404576
2023-10-20,3,8,1-2-4,3.2,7.056635962477186,3.8566359624771858
2023-10-20,3,9,1-3-2,15.9,15.836599897758825,-0.0634001022411752
2023-10-20,3,10,1-3-4,6.2,14.691892402075137,8.491892402075138
2023-10-20,3,11,1-2-3,8.3,9.787658185741629,1.487658185741628
2023-10-20,3,12,1-2-5,20.8,11.168105480981977,-9.631894519018024
2023-10-21,4,1,2-1-3,11.4,35.68743832956768,24.287438329567678
2023-10-21,4,2,4-5-2,184.0,57.753357655048795,-126.2466423449512
2023-10-21,4,3,1-3-2,14.1,20.41354227854578,6.31354227854578
2023-10-21,4,4,2-3-4,21.1,60.31772804729785,39.21772804729785
2023-10-21,4,5,2-3-1,62.5,36.99624041453645,-25.50375958546355
2023-10-21,4,6,3-4-6,43.6,62.4188821523467,18.818882152346696
2023-10-21,4,7,3-6-2,134.0,105.62540059591983,-28.374599404080172
2023-10-21,4,8,1-4-5,9.8,21.24113431688732,11.441134316887318
2023-10-21,4,9,1-5-2,32.9,31.27400391896435,-1.6259960810356482
2023-10-22,5,1,1-3-2,7.3,12.890494445183469,5.590494445183469
2023-10-22,5,2,1-2-3,50.9,15.93843097509212,-34.96156902490788
2023-10-22,5,3,2-4-3,282.0,63.47187307186329,-218.52812692813671
2023-10-22,5,4,1-2-3,10.3,15.437345876381377,5.137345876381376
2023-10-22,5,5,1-3-6,24.2,18.84557312965289,-5.354426870347108
2023-10-22,5,6,3-1-2,24.8,43.194507679113926,18.394507679113925
2023-10-22,5,7,1-2-6,20.3,22.080575706449192,1.7805757064491914
2023-10-22,5,8,1-2-4,3.4,6.203423729193406,2.803423729193406
2023-10-22,5,9,1-3-4,12.6,14.886358316946009,2.286358316946009
2023-10-22,5,10,2-1-4,16.6,34.23106981676117,17.63106981676117
2023-10-22,5,11,1-2-3,8.7,7.54100596685149,-1.1589940331485096
2023-10-22,5,12,5-2-6,773.5,157.1059847800111,-616.3940152199889
2023-10-23,6,1,1-2-5,51.2,16.34604719861138,-34.85395280138862
2023-10-23,6,2,2-4-1,249.5,65.16603272027362,-184.33396727972638
2023-10-23,6,3,2-1-4,37.9,35.19533807796129,-2.70466192203871
2023-10-23,6,4,1-5-4,33.1,44.942327374830036,11.842327374830035
2023-10-23,6,5,4-3-5,582.4,62.949340091047304,-519.4506599089527
2023-10-23,6,8,1-2-4,3.8,5.998003933787999,2.198003933787999
2023-10-23,6,9,1-3-4,11.5,10.438404977370878,-1.0615950226291222
2023-10-23,6,10,1-5-2,19.7,25.442396704960576,5.742396704960576
2023-10-23,6,12,1-2-4,12.5,8.204025783905943,-4.2959742160940575
2023-10-26,1,1,2-5-3,58.2,70.57120564886381,12.371205648863807
2023-10-26,1,2,1-2-3,12.4,15.616017747236862,3.2160177472368616
2023-10-26,1,3,3-5-6,63.1,74.79833970218462,11.698339702184619
2023-10-26,1,4,2-4-6,14.3,41.6050825312969,27.3050825312969
2023-10-26,1,5,1-3-5,69.3,18.148371833497038,-51.15162816650296
2023-10-26,1,6,2-1-3,44.0,36.61379108169097,-7.3862089183090305
2023-10-26,1,7,2-1-5,50.5,27.03921204195689,-23.46078795804311
2023-10-26,1,8,1-3-2,20.6,14.408420057269584,-6.191579942730417
2023-10-26,1,9,1-2-4,27.8,10.06285646507104,-17.73714353492896
2023-10-26,1,10,5-1-3,260.6,141.29950715016446,-119.30049284983556
2023-10-26,1,11,1-2-6,43.9,24.327530639350755,-19.572469360649244
2023-10-26,1,12,5-2-1,321.4,324.7866365003671,3.3866365003671035
2023-10-27,2,2,3-6-1,162.5,105.35002917664416,-57.149970823355844
2023-10-27,2,3,3-5-2,63.8,95.66667211383037,31.866672113830376
2023-10-27,2,5,1-4-2,23.0,17.34279182377635,-5.6572081762236515
2023-10-27,2,6,4-2-5,104.6,101.85069425332435,-2.7493057466756454
2023-10-27,2,7,1-5-3,25.3,25.188004454561327,-0.11199554543867407
2023-10-27,2,8,2-1-6,39.3,39.1434902071892,-0.15650979281079458
2023-10-27,2,9,4-1-3,29.8,42.13401995962383,12.334019959623827
2023-10-27,2,10,1-3-2,10.9,14.09913851631302,3.1991385163130204
2023-10-27,2,11,1-4-6,31.3,30.69703782039028,-0.6029621796097224
2023-10-28,3,1,1-4-5,31.8,19.345620857431392,-12.454379142568609
2023-10-28,3,3,2-1-3,46.8,31.435775761664527,-15.36422423833547
2023-10-28,3,5,3-6-1,155.6,99.56178766409305,-56.03821233590695
2023-10-28,3,6,4-1-3,28.2,51.64961096745564,23.449610967455637
2023-10-28,3,7,1-4-2,22.0,17.781592741405394,-4.218407258594606
2023-10-28,3,8,1-2-3,6.4,8.615902342132701,2.2159023421327007
2023-10-28,3,9,1-2-3,12.8,8.375026099239976,-4.424973900760024
2023-10-28,3,10,2-1-4,83.2,26.852636005375018,-56.347363994624985
2023-10-28,3,12,1-5-3,23.3,37.67414578645923,14.374145786459227
2023-10-29,4,1,1-3-6,84.0,23.675772143102737,-60.32422785689727
2023-10-29,4,2,1-3-4,13.4,17.62726622424781,4.227266224247808
2023-10-29,4,3,1-3-4,38.0,22.299652143794727,-15.700347856205273
2023-10-29,4,4,3-5-2,35.5,69.93736041654186,34.437360416541864
2023-10-29,4,6,4-2-5,353.0,50.64737636505061,-302.3526236349494
2023-10-29,4,7,1-3-4,7.6,13.16380356613268,5.56380356613268
2023-10-29,4,8,2-1-4,30.3,26.45711338112117,-3.842886618878829
2023-10-29,4,9,1-3-4,22.3,13.116274025049243,-9.183725974950757
2023-10-29,4,10,1-2-4,7.8,10.142489296554242,2.342489296554242
2023-10-29,4,11,2-4-3,286.6,115.05268177133564,-171.54731822866438
2023-10-29,4,12,3-5-4,314.1,183.58085592317406,-130.51914407682597
2023-10-30,5,1,1-3-2,9.5,14.743629805258804,5.243629805258804
2023-10-30,5,2,1-5-2,26.4,24.260730566280454,-2.1392694337195444
2023-10-30,5,3,6-3-2,60.0,122.36662262078828,62.36662262078828
2023-10-30,5,4,1-4-2,12.9,21.473060170125905,8.573060170125904
2023-10-30,5,5,1-3-4,23.3,11.249878515973773,-12.050121484026228
2023-10-30,5,6,1-3-4,5.8,11.052653671013541,5.252653671013541
2023-10-30,5,7,1-4-2,18.6,14.01092795945617,-4.589072040543831
2023-10-30,5,8,2-1-4,24.0,19.893681382417363,-4.106318617582637
2023-10-30,5,9,4-1-2,81.7,40.71507368958765,-40.984926310412355
2023-10-30,5,10,1-2-3,6.9,10.041262875235148,3.1412628752351477
2023-10-30,5,11,1-5-3,93.9,26.770955487475558,-67.12904451252444
2023-10-30,5,12,1-3-6,13.7,19.784042718197412,6.084042718197413
2023-10-31,6,1,2-1-5,35.3,29.811549360534226,-5.488450639465771
2023-10-31,6,2,5-2-1,82.9,152.86601665263032,69.96601665263032
2023-10-31,6,3,1-3-5,17.2,17.5228786143994,0.3228786143994
2023-10-31,6,4,2-5-3,253.0,57.74951928668446,-195.25048071331554
2023-10-31,6,5,6-2-1,14.8,108.91525355709629,94.1152535570963
2023-10-31,6,6,1-3-2,15.9,11.557633653897287,-4.342366346102713
2023-10-31,6,7,1-4-5,29.6,21.88932097336878,-7.710679026631222
2023-10-31,6,8,1-4-2,8.5,11.346311376099495,2.8463113760994947
2023-10-31,6,9,1-4-3,22.2,15.008907596550703,-7.1910924034492965
2023-10-31,6,10,1-4-3,17.5,13.869403949861258,-3.6305960501387418
2023-10-31,6,11,1-3-2,14.8,11.192014897538797,-3.6079851024612033
2023-10-31,6,12,1-3-6,7.6,24.261626747448492,16.661626747448494
2023-11-01,7,1,1-6-3,34.1,35.502526726825934,1.4025267268259327
2023-11-01,7,2,5-4-1,203.5,87.04445654261434,-116.45554345738566
2023-11-01,7,3,2-1-4,35.7,36.63994967972505,0.9399496797250464
2023-11-01,7,4,1-2-6,14.4,18.191885906835576,3.791885906835576
2023-11-01,7,5,2-3-1,78.5,41.567342738882324,-36.932657261117676
2023-11-01,7,6,1-3-2,6.1,12.339489318524109,6.239489318524109
2023-11-01,7,7,6-4-1,161.5,62.438759092374475,-99.06124090762552
2023-11-01,7,8,1-3-5,18.9,20.670719869976896,1.7707198699768973
2023-11-01,7,9,1-4-3,21.3,15.082157213702358,-6.217842786297643
2023-11-01,7,10,1-2-3,20.0,7.704659170023393,-12.295340829976606
2023-11-01,7,11,2-1-5,63.2,54.93394530964162,-8.26605469035838
2023-11-01,7,12,1-4-3,16.9,12.57316295139961,-4.326837048600389
2023-11-05,1,1,4-1-5,23.6,47.93299271853391,24.33299271853391
2023-11-05,1,2,3-5-4,23.9,91.45748520343892,67.55748520343892
2023-11-05,1,3,1-3-5,35.4,19.113269816826488,-16.28673018317351
2023-11-05,1,4,1-4-2,136.1,26.58429581509349,-109.5157041849065
2023-11-05,1,5,1-3-2,5.8,15.851031096431905,10.051031096431906
2023-11-05,1,6,2-1-3,86.5,25.395266543374117,-61.10473345662588
2023-11-05,1,7,2-1-3,124.9,26.897227547377522,-98.00277245262248
2023-11-05,1,8,1-3-4,23.4,12.855280729761079,-10.54471927023892
2023-11-05,1,9,3-4-1,67.4,55.19850529993201,-12.201494700067997
2023-11-05,1,10,1-6-2,112.1,41.30839782301804,-70.79160217698195
2023-11-05,1,11,1-3-6,81.9,26.76051804449242,-55.139481955507584
2023-11-05,1,12,1-2-3,11.0,12.692035757618827,1.692035757618827
2023-11-06,2,1,1-3-6,23.7,19.89181778339333,-3.808182216606671
2023-11-06,2,2,6-1-2,119.8,120.9125943624288,1.1125943624288084
2023-11-06,2,3,3-1-4,40.6,21.451230366201404,-19.148769633798597
2023-11-06,2,4,2-5-3,90.8,60.57837774519087,-30.221622254809127
2023-11-06,2,5,2-1-3,15.7,26.221337382657673,10.521337382657673
2023-11-06,2,6,1-3-4,4.3,9.063854902296066,4.763854902296067
2023-11-06,2,7,3-1-2,10.6,24.86922512465749,14.26922512465749
2023-11-06,2,8,1-2-4,5.7,7.1589718507548055,1.4589718507548053
2023-11-06,2,9,1-6-2,25.1,38.208405834705076,13.108405834705074
2023-11-06,2,10,1-2-5,10.2,12.563332620486312,2.3633326204863128
2023-11-06,2,11,1-2-6,18.3,24.202298323612702,5.902298323612701
2023-11-06,2,12,4-1-6,163.1,103.41102321730851,-59.68897678269148
2023-11-07,3,1,2-5-1,98.7,96.59515432555192,-2.104845674448086
2023-11-07,3,2,1-3-2,29.9,18.63586229858152,-11.264137701418477
2023-11-07,3,3,2-3-1,35.6,72.80826118330066,37.20826118330066
2023-11-07,3,4,1-5-2,38.8,29.461227444373815,-9.338772555626182
2023-11-07,3,5,1-4-5,10.8,19.385524760099663,8.585524760099663
2023-11-07,3,6,3-1-4,11.4,24.919426156075204,13.519426156075204
2023-11-07,3,7,1-3-4,37.2,16.749977051875174,-20.45002294812483
2023-11-07,3,8,2-1-3,79.5,27.439425545017215,-52.060574454982785
2023-11-07,3,10,1-2-4,10.8,10.690084814553428,-0.10991518544657275
2023-11-07,3,11,1-6-3,35.3,39.18640332516842,3.8864033251684234
2023-11-07,3,12,1-4-2,20.0,13.17277138653072,-6.827228613469281
2023-11-08,4,1,2-6-4,32.6,140.45535451052257,107.85535451052257
2023-11-08,4,2,1-4-2,42.1,19.280172556313964,-22.819827443686037
2023-11-08,4,3,1-5-4,733.8,47.67552989339572,-686.1244701066042
2023-11-08,4,4,2-4-5,133.3,68.6765885109832,-64.62341148901682
2023-11-08,4,5,3-6-5,63.3,110.28076530766707,46.98076530766707
2023-11-08,4,6,2-1-3,53.6,35.63005191212321,-17.969948087876794
2023-11-08,4,7,3-1-2,91.9,43.10705655377649,-48.79294344622352
2023-11-08,4,8,1-2-3,4.3,6.408130479962006,2.108130479962006
2023-11-08,4,10,3-1-4,34.1,35.919913933443105,1.8199139334431038
2023-11-08,4,11,5-3-4,532.6,340.56882579563387,-192.03117420436615
2023-11-08,4,12,1-4-2,20.2,10.57524939321353,-9.624750606786469
2023-11-09,5,1,2-1-3,65.8,44.9211563469919,-20.878843653008097
2023-11-09,5,2,1-2-6,13.0,24.934223211169027,11.934223211169027
2023-11-09,5,3,1-4-2,12.1,19.78767440774964,7.6876744077496415
2023-11-09,5,4,1-5-6,25.4,32.45187786709689,7.051877867096891
2023-11-09,5,5,2-1-3,33.1,24.61964790320717,-8.480352096792831
2023-11-09,5,6,6-1-2,699.7,46.687975772545244,-653.0120242274548
2023-11-09,5,7,3-1-4,102.4,36.63188067396621,-65.7681193260338
2023-11-09,5,8,1-4-2,6.3,11.239582430796846,4.939582430796846
2023-11-09,5,10,2-1-3,33.2,49.30862858322619,16.108628583226185
2023-11-09,5,11,2-1-3,115.3,32.25987191279904,-83.04012808720096
2023-11-09,5,12,2-4-3,156.8,192.4870431923199,35.68704319231989
2023-11-10,6,1,1-3-5,50.0,17.445077463665687,-32.55492253633432
2023-11-10,6,3,2-5-6,99.5,40.61132293582138,-58.88867706417862
2023-11-10,6,4,1-2-5,26.2,24.17508106417578,-2.0249189358242177
2023-11-10,6,5,1-3-4,14.8,9.813941841113293,-4.986058158886708
2023-11-10,6,6,1-4-3,7.3,14.614937629869802,7.314937629869802
2023-11-10,6,7,1-4-5,13.4,17.54738508758572,4.14738508758572
2023-11-10,6,8,1-4-3,9.9,15.770243420263109,5.870243420263108
2023-11-10,6,9,1-4-3,8.6,16.94895082031462,8.348950820314622
2023-11-10,6,10,1-2-6,16.4,18.18467086154574,1.7846708615457416
2023-11-10,6,11,1-3-2,12.3,14.405707633565921,2.1057076335659204
2023-11-10,6,12,1-6-2,105.0,46.72016692677999,-58.27983307322001
2023-11-13,1,1,1-3-2,16.0,14.162420896521269,-1.8375791034787312
2023-11-13,1,3,3-1-5,16.6,29.03868459704257,12.43868459704257
2023-11-13,1,4,3-2-6,67.6,61.14263847019945,-6.457361529800544
2023-11-13,1,5,1-3-4,37.4,10.234475000592562,-27.165524999407438
2023-11-13,1,6,1-3-2,8.3,9.507806077432088,1.2078060774320871
2023-11-13,1,7,3-5-1,25.2,52.85222396581636,27.652223965816358
2023-11-13,1,8,1-3-5,51.8,21.35073775537108,-30.449262244628915
2023-11-13,1,9,1-3-5,7.6,16.91706914670409,9.31706914670409
2023-11-13,1,10,1-5-6,88.6,57.967332634944526,-30.632667365055468
2023-11-13,1,11,3-4-1,135.6,100.86475108644548,-34.735248913554514
2023-11-13,1,12,1-4-2,21.8,21.251734835561756,-0.548265164438245
2023-11-14,2,1,1-3-5,14.7,18.205224860908714,3.505224860908715
2023-11-14,2,2,3-2-4,61.4,70.87662634765886,9.476626347658858
2023-11-14,2,3,1-3-2,7.5,18.304590314552552,10.804590314552552
2023-11-14,2,4,1-5-3,26.9,32.32485959351827,5.424859593518271
2023-11-14,2,5,6-2-1,189.7,168.65007232137347,-21.049927678626517
2023-11-14,2,6,1-4-2,12.1,14.901016136724273,2.8010161367242734
2023-11-14,2,7,1-2-5,15.6,16.914136854958816,1.3141368549588162
2023-11-14,2,8,2-1-3,38.6,27.270535648673796,-11.329464351326205
2023-11-14,2,9,2-1-3,16.7,28.642958057133814,11.942958057133815
2023-11-14,2,10,2-5-6,44.8,134.3951993749124,89.59519937491241
2023-11-14,2,12,1-3-5,24.0,12.425309717451789,-11.574690282548211
2023-11-15,3,2,1-4-2,17.2,21.762520977719554,4.562520977719554
2023-11-15,3,3,1-2-6,12.4,22.518484311138703,10.118484311138703
2023-11-15,3,4,1-3-2,44.5,19.2542486569368,-25.2457513430632
2023-11-15,3,5,1-3-2,8.3,12.165225794275193,3.865225794275192
2023-11-15,3,6,1-3-4,4.0,9.39546988389329,5.3954698838932895
2023-11-15,3,7,5-1-3,12.7,85.1470100350324,72.44701003503239
2023-11-15,3,8,4-2-1,48.4,47.10141324729796,-1.298586752702036
2023-11-15,3,9,1-6-2,36.2,46.52701717391212,10.327017173912118
2023-11-15,3,11,1-5-4,38.0,36.34719582195565,-1.6528041780443488
2023-11-15,3,12,4-1-2,40.8,62.78533410091899,21.98533410091899
2023-11-16,4,1,1-2-3,12.0,12.9449821403197,0.9449821403197003
2023-11-16,4,3,1-3-4,17.9,17.86801546505932,-0.031984534940679765
2023-11-16,4,4,2-1-3,15.4,23.783620679045722,8.383620679045722
2023-11-16,4,5,1-2-3,10.8,13.317576277587985,2.5175762775879846
2023-11-16,4,6,1-3-5,8.3,18.593543952738738,10.293543952738737
2023-11-16,4,7,6-2-4,295.0,159.11163522137088,-135.88836477862912
2023-11-16,4,8,1-2-3,11.7,7.412889106319158,-4.2871108936808415
2023-11-16,4,9,2-1-3,15.3,25.390307354836963,10.090307354836963
2023-11-16,4,10,1-4-2,10.4,14.973745669002527,4.573745669002527
2023-11-16,4,11,1-2-4,8.2,9.730483181934005,1.530483181934006
2023-11-16,4,12,1-3-6,70.7,29.54702710939947,-41.15297289060054
2023-11-17,5,1,5-1-6,254.8,74.900872497947,-179.899127502053
2023-11-17,5,2,1-3-6,8.7,21.74310453974585,13.043104539745851
2023-11-17,5,3,3-4-1,135.8,61.098290066969206,-74.7017099330308
2023-11-17,5,4,1-6-2,29.9,37.83152362938896,7.931523629388963
2023-11-17,5,5,6-1-2,62.8,48.19326645801083,-14.606733541989165
2023-11-17,5,6,4-2-5,307.2,60.41973381109202,-246.78026618890797
2023-11-17,5,7,1-3-2,7.7,14.50540454248667,6.805404542486669
2023-11-17,5,8,1-3-4,14.1,13.318093220585505,-0.7819067794144949
2023-11-17,5,10,2-1-3,19.6,38.30292225947835,18.70292225947835
2023-11-17,5,11,2-3-1,49.7,83.95809324586779,34.258093245867784
2023-11-17,5,12,1-2-6,9.8,20.537064649776287,10.737064649776286
2023-11-19,6,1,1-2-3,6.2,11.02080284910541,4.82080284910541
2023-11-19,6,2,1-3-4,12.0,16.22731297662469,4.227312976624692
2023-11-19,6,3,1-6-3,35.8,33.164955465210035,-2.6350445347899623
2023-11-19,6,4,4-3-6,198.1,73.11594655059744,-124.98405344940255
2023-11-19,6,5,1-2-6,10.1,19.60955658089286,9.50955658089286
2023-11-19,6,6,3-1-4,10.6,17.40503363640362,6.8050336364036195
2023-11-19,6,7,1-2-6,4.9,19.800981841542566,14.900981841542565
2023-11-19,6,8,1-4-2,8.5,11.424110976160014,2.924110976160014
2023-11-19,6,9,1-2-3,8.1,8.777919779394397,0.6779197793943972
2023-11-19,6,10,4-1-5,54.7,44.56938409691973,-10.130615903080276
2023-11-19,6,11,1-2-3,6.6,8.450139370780564,1.850139370780564
2023-11-19,6,12,1-4-2,18.1,16.845254161010654,-1.254745838989347
2023-11-21,1,1,4-5-6,37.0,136.85637979655021,99.85637979655021
2023-11-21,1,3,1-3-4,34.8,20.956872377759108,-13.843127622240889
2023-11-21,1,4,1-6-2,80.8,27.65163928756481,-53.14836071243519
2023-11-21,1,5,6-5-4,384.5,210.94223718712507,-173.55776281287493
2023-11-21,1,6,1-3-4,5.8,11.206292868120265,5.406292868120265
2023-11-21,1,7,1-5-3,38.8,29.073318460723,-9.726681539276996
2023-11-21,1,8,4-5-1,20.5,63.5319439142383,43.0319439142383
2023-11-21,1,9,2-4-6,133.3,51.70246825977336,-81.59753174022666
2023-11-21,1,10,3-4-6,64.1,89.2925419041884,25.192541904188403
2023-11-21,1,11,3-1-5,45.8,55.553456279829376,9.75345627982938
2023-11-21,1,12,1-5-2,21.5,22.377110769410603,0.8771107694106028
2023-11-22,2,1,1-3-2,15.1,13.24304338780872,-1.8569566121912793
2023-11-22,2,2,1-5-3,30.8,29.079799873209087,-1.720200126790914
2023-11-22,2,3,3-5-1,42.5,60.34741061919453,17.847410619194527
2023-11-22,2,4,2-6-3,73.2,92.61833941577235,19.41833941577235
2023-11-22,2,5,2-1-4,31.2,20.106762600649283,-11.093237399350716
2023-11-22,2,6,1-3-4,26.4,9.61219759150244,-16.78780240849756
2023-11-22,2,7,1-4-2,5.2,15.248991788866434,10.048991788866434
2023-11-22,2,8,3-1-2,94.2,38.4178179246258,-55.7821820753742
2023-11-22,2,9,1-2-3,6.3,9.811755717021601,3.511755717021601
2023-11-22,2,10,2-1-5,39.0,40.09238034422235,1.0923803442223488
2023-11-22,2,11,1-2-3,12.8,8.21792914334084,-4.582070856659161
2023-11-22,2,12,1-4-6,32.4,24.49499589637991,-7.90500410362009
2023-11-23,3,1,1-3-5,10.7,17.11663812774091,6.41663812774091
2023-11-23,3,2,2-6-5,574.2,76.06642269848774,-498.13357730151233
2023-11-23,3,3,3-1-4,32.0,39.32885196529623,7.328851965296231
2023-11-23,3,4,1-4-3,77.6,21.910309471814898,-55.689690528185096
2023-11-23,3,5,4-5-6,48.2,66.84568294424992,18.645682944249913
2023-11-23,3,6,2-5-1,106.4,42.53273074863165,-63.867269251368356
2023-11-23,3,7,2-1-3,14.9,29.01200015814244,14.112000158142438
2023-11-23,3,8,1-2-4,7.8,5.91489922316968,-1.8851007768303196
2023-11-23,3,9,5-1-3,510.3,113.23994407572022,-397.0600559242798
2023-11-23,3,10,2-1-3,25.0,29.930885673921498,4.930885673921498
2023-11-23,3,11,4-1-2,38.0,50.25318422865248,12.25318422865248
2023-11-23,3,12,5-3-2,269.8,237.70071605042938,-32.09928394957063
2023-11-24,4,1,6-4-2,91.4,157.2172628496437,65.8172628496437
2023-11-24,4,2,1-2-3,28.8,14.92579232814993,-13.87420767185007
2023-11-24,4,3,1-3-4,24.6,17.997418777282427,-6.602581222717575
2023-11-24,4,4,1-3-6,15.1,27.51318519997083,12.413185199970831
2023-11-24,4,5,3-4-5,11.1,61.013550688463084,49.91355068846308
2023-11-24,4,6,2-1-5,24.2,30.85909944473591,6.6590994447359115
2023-11-24,4,7,2-5-1,117.9,30.65413687938583,-87.24586312061417
2023-11-25,5,1,3-5-4,372.5,111.40440132296449,-261.0955986770355
2023-11-25,5,2,3-2-4,257.4,43.60699876714472,-213.79300123285526
2023-11-25,5,3,1-2-3,9.4,16.209519644677812,6.8095196446778115
2023-11-25,5,4,1-3-2,7.2,18.682290385019407,11.482290385019407
2023-11-25,5,5,4-3-5,245.2,78.38355795207845,-166.81644204792156
2023-11-25,5,6,3-1-6,142.0,35.479011854506155,-106.52098814549385
2023-11-25,5,7,1-4-3,8.7,22.04302845577289,13.343028455772892
2023-11-25,5,8,1-2-3,5.5,5.337555459903182,-0.16244454009681775
2023-11-25,5,9,1-4-3,8.1,16.063499783224287,7.963499783224288
2023-11-25,5,10,1-2-4,10.9,11.159188723230258,0.2591887232302579
2023-11-25,5,11,2-4-1,26.6,61.15873973222267,34.55873973222267
2023-11-26,6,1,1-2-6,46.2,21.457494686816062,-24.74250531318394
2023-11-26,6,2,2-3-4,420.5,41.565362724135085,-378.93463727586493
2023-11-26,6,4,1-3-4,8.4,18.302251193500506,9.902251193500506
2023-11-26,6,5,1-4-5,12.3,18.219712479496096,5.919712479496095
2023-11-26,6,6,1-5-4,45.7,40.6447946086348,-5.055205391365206
2023-11-26,6,7,1-5-4,37.6,50.89516327662692,13.295163276626916
2023-11-26,6,8,3-5-2,130.6,179.11108037247735,48.51108037247735
2023-11-26,6,9,3-1-6,150.5,51.98519780930779,-98.51480219069221
2023-11-26,6,10,1-4-3,19.2,13.55683776468043,-5.6431622353195685
2023-11-26,6,11,1-3-4,12.7,12.88491299085728,0.1849129908572813
2023-11-26,6,12,1-2-4,8.6,7.491417084442974,-1.108582915557026
2023-11-28,1,1,1-3-5,60.7,19.507075252221142,-41.19292474777886
2023-11-28,1,2,2-3-4,24.0,50.75549001681638,26.75549001681638
2023-11-28,1,3,2-4-5,134.4,58.93160363729994,-75.46839636270006
2023-11-28,1,4,1-3-2,50.5,20.680156665606823,-29.819843334393177
2023-11-28,1,5,1-4-3,59.0,14.90763126846763,-44.09236873153237
2023-11-28,1,6,1-4-6,167.2,29.80599685118577,-137.39400314881422
2023-11-28,1,7,1-3-2,24.2,12.221642179908898,-11.978357820091102
2023-11-28,1,8,1-4-2,8.6,10.159762331706531,1.5597623317065317
2023-11-28,1,9,1-3-2,8.3,12.893058027640196,4.593058027640195
2023-11-28,1,10,1-5-4,55.7,40.21709973196912,-15.482900268030882
2023-11-28,1,11,4-2-6,529.0,244.38803747167506,-284.61196252832497
2023-11-28,1,12,1-3-4,9.4,12.385838907231431,2.9858389072314306
2023-11-29,2,1,4-6-2,299.0,152.1603823479857,-146.8396176520143
2023-11-29,2,2,6-5-1,723.3,142.90069955245863,-580.3993004475413
2023-11-29,2,3,1-5-6,36.9,42.09717561988426,5.197175619884263
2023-11-29,2,4,4-3-5,45.8,93.28510263042294,47.48510263042294
2023-11-29,2,5,3-1-2,121.8,32.440411180592115,-89.35958881940789
2023-11-29,2,6,1-4-2,23.8,18.047505261001987,-5.7524947389980134
2023-11-29,2,7,1-2-3,6.1,16.225150545597344,10.125150545597345
2023-11-29,2,8,4-5-3,120.4,111.9542397405747,-8.445760259425299
2023-11-29,2,9,1-2-3,5.1,10.613553494694274,5.513553494694275
2023-11-29,2,10,6-1-2,1141.5,229.48975590972933,-912.0102440902707
2023-11-29,2,11,1-4-3,13.4,26.16971189296958,12.76971189296958
2023-11-29,2,12,1-3-5,25.5,13.55921981985941,-11.94078018014059
2023-11-30,3,1,1-4-2,17.5,13.854543146018074,-3.6454568539819263
2023-11-30,3,2,5-4-1,1194.7,114.67343220014163,-1080.0265677998584
2023-11-30,3,3,1-3-5,21.3,20.183526303712835,-1.1164736962871658
2023-11-30,3,4,5-1-3,145.0,78.55428558975251,-66.44571441024749
2023-11-30,3,5,5-1-6,42.3,104.34336185390205,62.043361853902056
2023-11-30,3,7,5-6-2,182.0,86.02559644318616,-95.97440355681384
2023-11-30,3,8,1-2-3,23.9,7.27831013228863,-16.621689867711368
2023-11-30,3,9,4-5-3,52.3,95.77203855661557,43.47203855661557
2023-11-30,3,10,3-6-4,278.3,190.66842604121226,-87.63157395878775
2023-11-30,3,11,2-4-1,66.8,105.2954601412344,38.4954601412344
2023-11-30,3,12,3-1-2,78.5,64.53718708869253,-13.962812911307466
2023-12-01,4,1,3-1-2,47.4,38.06753574118919,-9.332464258810809
2023-12-01,4,2,3-6-5,195.5,68.53725657801051,-126.96274342198949
2023-12-01,4,3,1-2-4,16.4,17.36820980489525,0.9682098048952525
2023-12-01,4,5,4-1-2,61.7,38.9324652821478,-22.7675347178522
2023-12-01,4,6,4-6-2,359.3,134.03862087470975,-225.26137912529026
2023-12-01,4,7,1-3-2,7.2,15.382629658879804,8.182629658879804
2023-12-01,4,8,1-5-3,64.3,35.808645402102094,-28.491354597897903
2023-12-01,4,9,1-2-3,6.3,10.413394038955754,4.113394038955755
2023-12-01,4,10,1-2-3,10.9,8.68867906027328,-2.21132093972672
2023-12-01,4,11,1-2-4,9.9,10.143502045181732,0.24350204518173157
2023-12-01,4,12,1-3-5,25.2,14.715823483106698,-10.484176516893301
2023-12-02,5,1,1-3-6,29.2,23.030912638353595,-6.169087361646405
2023-12-02,5,2,1-2-3,32.2,14.263448483916415,-17.93655151608359
2023-12-02,5,3,1-4-3,10.9,23.202150302997726,12.302150302997726
2023-12-02,5,5,4-2-6,217.6,78.7309870531336,-138.8690129468664
