venue,year,month,start_day,grade,race_name
徳山,2014,1,5,一般,ＫＲＹ山口放送杯争奪戦
徳山,2014,1,13,一般,サンケイスポーツ杯争奪オール女子戦
徳山,2014,1,23,一般,楽天銀行杯争奪戦
徳山,2014,2,10,一般,マンスリーＢＯＡＴ　ＲＡＣＥ杯争奪戦
徳山,2014,2,23,一般,ほぼオールＢ級男子　ＪＬＣ杯争奪戦
徳山,2014,3,14,一般,山口新聞社杯争奪戦
徳山,2014,3,23,一般,ＢＯＡＴＲＡＣＥ徳山６０ｔｈグランプリファイナル
徳山,2014,4,6,一般,ＢＯＡＴ　Ｂｏｙ　ＣＵＰ
徳山,2014,4,17,一般,ほぼオール女子バトル
徳山,2014,5,3,一般,トライアングルＣＵＰ
徳山,2014,5,24,一般,競艇マクール杯争奪戦
徳山,2014,6,1,一般,日刊スポーツ杯争奪戦
徳山,2014,6,13,一般,デイリースポーツ杯争奪戦
徳山,2014,6,21,一般,日本モーターボート選手会会長賞競走
徳山,2014,6,29,一般,新東通信杯争奪戦
徳山,2014,7,8,一般,マンスリーＢＯＡＴＲＡＣＥ杯
徳山,2014,7,21,一般,中日スポーツ杯争奪戦
徳山,2014,8,1,一般,スポーツ報知杯争奪戦
徳山,2014,8,10,一般,日本トーター杯争奪戦
徳山,2014,8,18,一般,黒神杯争奪戦
徳山,2014,8,26,一般,九州スポーツ杯争奪　徳山匠シリーズ第２戦
徳山,2014,9,3,一般,サンケイスポーツ杯争奪戦
徳山,2014,9,11,一般,テレボートカップ・ＪＬＣ杯争奪戦
徳山,2014,9,30,一般,オラレ徳山開設６周年記念競走
徳山,2014,12,6,一般,ボートピア呉徳山　開設２２周年記念競走
徳山,2014,12,14,一般,すなっちゃ徳山３周年記念競走
徳山,2014,12,21,一般,ｙａｂ山口朝日放送杯争奪戦
