開催日,日目,レース,3連単,予測確率,予測順位
2024-01-01,3,1,2-3-6,0.0004428751417939307,98
2024-01-01,3,1,2-1-6,0.0004026486384321745,99
2024-01-01,3,1,6-3-2,0.0003896709856464508,100
2024-01-01,3,1,6-5-4,0.0003832716687000709,101
2024-01-01,3,1,4-6-5,0.00036621682250195987,102
2024-01-01,3,1,6-1-2,0.0003550681036603526,103
2024-01-01,3,1,6-4-5,0.0003333920328294229,104
2024-01-01,3,1,5-2-6,0.00031894900480269276,105
2024-01-01,3,1,2-6-3,0.0002994259837224041,106
2024-01-01,3,1,5-6-2,0.00029840049668845966,107
2024-01-01,3,1,6-2-3,0.00028437445838263556,108
2024-01-01,3,1,2-6-1,0.0002807312170731082,109
2024-01-01,3,1,6-2-1,0.0002666194390139357,110
2024-01-01,3,1,2-5-6,0.0002665262301119033,111
2024-01-01,3,1,6-5-2,0.00023682052990670554,112
2024-01-01,3,1,2-6-5,0.0002077849167176631,113
2024-01-01,3,1,6-2-5,0.00019733999840991506,114
2024-01-01,3,1,4-2-6,0.00011237711326142728,115
2024-01-01,3,1,2-4-6,0.00010771934326478728,116
2024-01-01,3,1,4-6-2,0.00010607936326695235,117
2024-01-01,3,1,2-6-4,9.740785987714321e-05,118
2024-01-01,3,1,6-4-2,9.65712451962274e-05,119
2024-01-01,3,1,6-2-4,9.251136808639506e-05,120
2024-01-01,3,2,2-5-1,0.0546160382845785,1
2024-01-01,3,2,2-5-6,0.04551387203721227,2
2024-01-01,3,2,2-1-5,0.04187058261013143,3
2024-01-01,3,2,5-2-1,0.039318273711991515,4
2024-01-01,3,2,2-5-3,0.03529047763642868,5
2024-01-01,3,2,2-6-5,0.033505100253271095,6
2024-01-01,3,2,2-5-4,0.03309134393241646,7
2024-01-01,3,2,5-2-6,0.03276559294043419,8
2024-01-01,3,2,1-2-5,0.026567707472486598,9
2024-01-01,3,2,5-2-3,0.025405736166839714,10
2024-01-01,3,2,2-3-5,0.02486847393994457,11
2024-01-01,3,2,5-2-4,0.023822572253465332,12
2024-01-01,3,2,2-4-5,0.02310629721560644,13
2024-01-01,3,2,6-2-5,0.02082143671444604,14
2024-01-01,3,2,5-1-2,0.020287922396667397,15
2024-01-01,3,2,2-1-6,0.01799330120649778,16
2024-01-01,3,2,1-5-2,0.017881683527294964,17
2024-01-01,3,2,2-6-1,0.017277829261330632,18
2024-01-01,3,2,5-6-2,0.016448352724116756,19
2024-01-01,3,2,3-2-5,0.015104594384137355,20
2024-01-01,3,2,6-5-2,0.01419867879735613,21
2024-01-01,3,2,4-2-5,0.013966306177456598,22
2024-01-01,3,2,2-1-3,0.013951618823251596,23
2024-01-01,3,2,2-1-4,0.01308222069563677,24
2024-01-01,3,2,2-3-1,0.012824114641539198,25
2024-01-01,3,2,5-3-2,0.012376755572974392,26
2024-01-01,3,2,2-4-1,0.011915399599911093,27
2024-01-01,3,2,5-4-2,0.011532177852616891,28
2024-01-01,3,2,1-2-6,0.011417103205124773,29
2024-01-01,3,2,2-6-3,0.011164172032690075,30
2024-01-01,3,2,6-2-1,0.010737148249322951,31
2024-01-01,3,2,2-3-6,0.010686881200432347,32
2024-01-01,3,2,2-6-4,0.010468474251339106,33
2024-01-01,3,2,3-5-2,0.010442211819867231,34
2024-01-01,3,2,2-4-6,0.00992961023347849,35
2024-01-01,3,2,4-5-2,0.009682517430929285,36
2024-01-01,3,2,1-2-3,0.0088525763091268,37
2024-01-01,3,2,1-2-4,0.008300926112456043,38
2024-01-01,3,2,3-2-1,0.007789100789373099,39
2024-01-01,3,2,2-3-4,0.007770010450423614,40
2024-01-01,3,2,2-4-3,0.00769920624631807,41
2024-01-01,3,2,4-2-1,0.007202111073283644,42
2024-01-01,3,2,6-2-3,0.0069378721356056945,43
2024-01-01,3,2,6-2-4,0.0065055371413128334,44
2024-01-01,3,2,3-2-6,0.00649098960208868,45
2024-01-01,3,2,1-6-2,0.0064850585012237024,46
2024-01-01,3,2,6-1-2,0.00635138724972622,47
2024-01-01,3,2,4-2-6,0.006001826058478109,48
2024-01-01,3,2,1-3-2,0.004898950898784536,49
2024-01-01,3,2,3-2-4,0.004719342911735527,50
2024-01-01,3,2,3-1-2,0.0046894071537875925,51
2024-01-01,3,2,4-2-3,0.004653686861036177,52
2024-01-01,3,2,1-4-2,0.004568378403323892,53
2024-01-01,3,2,4-1-2,0.004351792669283584,54
2024-01-01,3,2,5-1-6,0.004341600606520772,55
2024-01-01,3,2,5-6-1,0.004223875560302303,56
2024-01-01,3,2,6-3-2,0.003908781946352311,57
2024-01-01,3,2,1-5-6,0.0038266672422046072,58
2024-01-01,3,2,3-6-2,0.00382033637902837,59
2024-01-01,3,2,6-5-1,0.003646167696343314,60
2024-01-01,3,2,6-4-2,0.0036454739640299863,61
2024-01-01,3,2,4-6-2,0.003545728128371798,62
2024-01-01,3,2,5-1-3,0.003366383747474962,63
2024-01-01,3,2,1-6-5,0.0032294186298548284,64
2024-01-01,3,2,5-3-1,0.0031783046155054455,65
2024-01-01,3,2,6-1-5,0.0031628532426990264,66
2024-01-01,3,2,5-1-4,0.0031566068202261996,67
2024-01-01,3,2,1-5-3,0.0029671154900348363,68
2024-01-01,3,2,5-4-1,0.0029614202106274224,69
2024-01-01,3,2,1-5-4,0.0027822190501210612,70
