label,valid_year,train_years,best_iteration,ndcg_at_1,ndcg_at_3
学習2014-2020→検証2021,2021,2014-2020,46,0.5459859033700782,0.6946967965062772
学習2014-2021→検証2022,2022,2014-2021,42,0.5453961350193037,0.6875750160936949
学習2014-2022→検証2023,2023,2014-2022,49,0.5423354106241571,0.6799879713464919
学習2014-2023→検証2024,2024,2014-2023,75,0.5413931063401662,0.6844316233800861
